material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Bi_wyckoff,num_Bi_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1039698,NaMg30BiO32,1.6944599553619022,0.8457794175051344,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,Bi,0.0,True,31.0,6.0,2.2360934117159994,2.3039314147770007,2.28131874709,0.03197914132439144,0.0678380030610013,84.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1039742,NaMg30BiO32,1.7745793214415837,0.7433882648248508,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,Bi,0.0,True,31.0,6.0,2.2852308671999997,2.2992023647560003,2.289888033052,0.006586227110119209,0.013971497556000578,96.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1040014,LiMg30BiO32,2.248809745258689,0.0619330336199429,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,Bi,0.0,True,31.0,6.0,2.288453842818,2.293455954432001,2.291788583894,0.002358018028341235,0.0050021116140008814,84.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1040443,KBaBiTeO6,1.7635455122905686,0.8310946165623921,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Bi,0.0,True,4.0,6.0,2.2831410600106397,2.4020195238721023,2.340044445377337,0.03441115693030071,0.11887846386146261,57.31123770870411,32.82579235621141,6.819415596526142,93.18115701754336,6.0,1.0,1,Octahedron
mp-1040443,KBaBiTeO6,1.7635455122905686,0.8310946165623921,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Bi,0.0,True,5.0,6.0,2.2831410600106388,2.4020195238720987,2.340044445377336,0.03441115693029995,0.11887846386145995,57.31123770870413,32.82579235621142,6.819415596526195,93.1811570175434,6.0,1.0,2,Octahedron
mp-1041365,MgBi4O9,1.8477101552124888,1.0367443008935069,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,6.0,Bi,0.0,True,3.0,6.0,2.105607852216321,2.22884206201992,2.15624467533627,0.04137918547780265,0.123234209803599,56.10030155404051,22.986004742345283,15.66286386826772,92.856803332523,6.0,1.0,1,"Square-face capped trigonal prism, Octahedron"
mp-1041365,MgBi4O9,1.8477101552124888,1.0367443008935069,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,6.0,Bi,0.0,True,4.0,6.0,2.1056078522163206,2.22884206201992,2.15624467533627,0.04137918547780275,0.12323420980359945,98.92816788633715,37.68080770282286,39.79636032648883,176.99103857520802,6.0,1.0,2,"Square-face capped trigonal prism, Octahedron"
mp-1041365,MgBi4O9,1.8477101552124888,1.0367443008935069,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,6.0,Bi,0.0,True,7.0,6.0,2.105607852216321,2.228842062019919,2.1562446753362696,0.041379185477802415,0.12323420980359812,56.10030155404051,22.986004742345287,15.66286386826772,92.85680333252303,6.0,1.0,3,"Square-face capped trigonal prism, Octahedron"
mp-1041365,MgBi4O9,1.8477101552124888,1.0367443008935069,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,6.0,Bi,0.0,True,9.0,6.0,2.105607852216321,2.2288420620199205,2.1562446753362705,0.041379185477802796,0.12323420980359945,98.92816788633718,37.680807702822875,39.796360326488845,176.99103857520802,6.0,1.0,4,"Square-face capped trigonal prism, Octahedron"
mp-1041365,MgBi4O9,1.8477101552124888,1.0367443008935069,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,7.0,Bi,0.0,True,2.0,7.0,2.2752469088174987,2.8475406211246854,2.4860637426256575,0.19550756336979297,0.5722937123071867,84.27987181825122,44.75054915120417,12.497302602318246,171.988478093981,7.0,1.0,1,"Square-face capped trigonal prism, Octahedron"
mp-1041365,MgBi4O9,1.8477101552124888,1.0367443008935069,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,7.0,Bi,0.0,True,5.0,7.0,2.2752469088174974,2.8475406211246854,2.4860637426256575,0.19550756336979308,0.5722937123071881,81.40012629607857,33.10622456478024,33.82161254420015,164.26228190369474,7.0,1.0,2,"Square-face capped trigonal prism, Octahedron"
mp-1041365,MgBi4O9,1.8477101552124888,1.0367443008935069,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,7.0,Bi,0.0,True,6.0,7.0,2.2752469088174982,2.8475406211246845,2.486063742625657,0.19550756336979236,0.5722937123071863,81.40012629607855,33.106224564780234,33.821612544200136,164.26228190369469,7.0,1.0,3,"Square-face capped trigonal prism, Octahedron"
mp-1041365,MgBi4O9,1.8477101552124888,1.0367443008935069,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,7.0,Bi,0.0,True,8.0,7.0,2.2752469088174982,2.8475406211246845,2.486063742625657,0.19550756336979247,0.5722937123071863,84.27987181825122,44.75054915120416,12.497302602318216,171.98847809398094,7.0,1.0,4,"Square-face capped trigonal prism, Octahedron"
mp-1041411,CaBi4O9,1.9737708751848368,0.7235601643705513,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,6.0,Bi,0.0,True,,,,,,,,,,,,,,0,"Square-face capped trigonal prism, Octahedron"
mp-1041411,CaBi4O9,1.9737708751848368,0.7235601643705513,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,7.0,Bi,0.0,True,2.0,7.0,2.0330037220617156,3.199937670867394,2.295150375100839,0.3747852693454665,1.1669339488056782,91.50210983166434,42.84095133195811,15.028556565134839,177.80231250505764,7.0,1.0,1,"Square-face capped trigonal prism, Octahedron"
mp-1041411,CaBi4O9,1.9737708751848368,0.7235601643705513,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,7.0,Bi,0.0,True,3.0,7.0,2.2470869221723455,2.692468420815938,2.4374689995440804,0.16486589611088973,0.44538149864359244,84.22087683301206,43.52433542957656,12.804996650835184,167.66606245344377,7.0,1.0,2,"Square-face capped trigonal prism, Octahedron"
mp-1041411,CaBi4O9,1.9737708751848368,0.7235601643705513,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,7.0,Bi,0.0,True,4.0,7.0,2.2470869221723464,2.692468420815939,2.4374689995440812,0.16486589611088973,0.44538149864359244,81.05324069363591,33.621337777668806,29.91228382883046,167.66606245344377,7.0,1.0,3,"Square-face capped trigonal prism, Octahedron"
mp-1041411,CaBi4O9,1.9737708751848368,0.7235601643705513,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,7.0,Bi,0.0,True,5.0,7.0,2.0330037220617148,3.199937670867394,2.295150375100839,0.3747852693454667,1.1669339488056791,51.40486631879452,20.682858939202372,15.482314451976622,92.12508209726461,7.0,1.0,4,"Square-face capped trigonal prism, Octahedron"
mp-1041411,CaBi4O9,1.9737708751848368,0.7235601643705513,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,7.0,Bi,0.0,True,6.0,7.0,2.0330037220617148,3.199937670867394,2.2951503751008393,0.3747852693454668,1.1669339488056791,51.40486631879451,20.682858939202372,15.482314451976574,92.12508209726458,7.0,1.0,5,"Square-face capped trigonal prism, Octahedron"
mp-1041411,CaBi4O9,1.9737708751848368,0.7235601643705513,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,7.0,Bi,0.0,True,7.0,7.0,2.2470869221723464,2.692468420815938,2.437468999544081,0.16486589611088934,0.44538149864359156,84.22087683301204,43.52433542957656,12.804996650835184,167.66606245344377,7.0,1.0,6,"Square-face capped trigonal prism, Octahedron"
mp-1041411,CaBi4O9,1.9737708751848368,0.7235601643705513,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,7.0,Bi,0.0,True,8.0,7.0,2.0330037220617156,3.1999376708673943,2.2951503751008393,0.37478526934546685,1.1669339488056787,91.50210983166433,42.84095133195806,15.028556565134817,177.80231250505716,7.0,1.0,7,"Square-face capped trigonal prism, Octahedron"
