material_id,status,file_path,error,updated_at
mp-1001080,downloaded,out/12/C/structures_cif/mp-1001080.cif,,2026-04-13T17:21:54
mp-1022803,downloaded,out/12/C/structures_cif/mp-1022803.cif,,2026-04-13T17:21:54
mp-1079918,downloaded,out/12/C/structures_cif/mp-1079918.cif,,2026-04-13T17:21:55
mp-1101478,downloaded,out/12/C/structures_cif/mp-1101478.cif,,2026-04-13T17:21:55
mp-1101480,downloaded,out/12/C/structures_cif/mp-1101480.cif,,2026-04-13T17:21:55
mp-1101482,downloaded,out/12/C/structures_cif/mp-1101482.cif,,2026-04-13T17:21:55
mp-1101651,downloaded,out/12/C/structures_cif/mp-1101651.cif,,2026-04-13T17:21:55
mp-1101664,downloaded,out/12/C/structures_cif/mp-1101664.cif,,2026-04-13T17:21:55
mp-1101665,downloaded,out/12/C/structures_cif/mp-1101665.cif,,2026-04-13T17:21:55
mp-1101667,downloaded,out/12/C/structures_cif/mp-1101667.cif,,2026-04-13T17:21:56
mp-1101700,downloaded,out/12/C/structures_cif/mp-1101700.cif,,2026-04-13T17:21:56
mp-1101703,downloaded,out/12/C/structures_cif/mp-1101703.cif,,2026-04-13T17:21:56
mp-1101707,downloaded,out/12/C/structures_cif/mp-1101707.cif,,2026-04-13T17:21:56
mp-1101716,downloaded,out/12/C/structures_cif/mp-1101716.cif,,2026-04-13T17:21:56
mp-1101899,downloaded,out/12/C/structures_cif/mp-1101899.cif,,2026-04-13T17:21:56
mp-1173193,downloaded,out/12/C/structures_cif/mp-1173193.cif,,2026-04-13T17:21:56
mp-1173626,downloaded,out/12/C/structures_cif/mp-1173626.cif,,2026-04-13T17:21:57
mp-1173843,downloaded,out/12/C/structures_cif/mp-1173843.cif,,2026-04-13T17:21:57
mp-1176327,downloaded,out/12/C/structures_cif/mp-1176327.cif,,2026-04-13T17:21:57
mp-1176328,downloaded,out/12/C/structures_cif/mp-1176328.cif,,2026-04-13T17:21:57
mp-1176329,downloaded,out/12/C/structures_cif/mp-1176329.cif,,2026-04-13T17:21:57
mp-1176341,downloaded,out/12/C/structures_cif/mp-1176341.cif,,2026-04-13T17:21:57
mp-1176343,downloaded,out/12/C/structures_cif/mp-1176343.cif,,2026-04-13T17:21:57
mp-1176345,downloaded,out/12/C/structures_cif/mp-1176345.cif,,2026-04-13T17:21:58
mp-1176347,downloaded,out/12/C/structures_cif/mp-1176347.cif,,2026-04-13T17:21:58
mp-1176348,downloaded,out/12/C/structures_cif/mp-1176348.cif,,2026-04-13T17:21:58
mp-1176351,downloaded,out/12/C/structures_cif/mp-1176351.cif,,2026-04-13T17:21:58
mp-1176352,downloaded,out/12/C/structures_cif/mp-1176352.cif,,2026-04-13T17:21:58
mp-1176354,downloaded,out/12/C/structures_cif/mp-1176354.cif,,2026-04-13T17:21:58
mp-1176357,downloaded,out/12/C/structures_cif/mp-1176357.cif,,2026-04-13T17:21:58
mp-1176362,downloaded,out/12/C/structures_cif/mp-1176362.cif,,2026-04-13T17:21:58
mp-1176364,downloaded,out/12/C/structures_cif/mp-1176364.cif,,2026-04-13T17:21:59
mp-1176367,downloaded,out/12/C/structures_cif/mp-1176367.cif,,2026-04-13T17:21:59
mp-1176370,downloaded,out/12/C/structures_cif/mp-1176370.cif,,2026-04-13T17:21:59
mp-1176372,downloaded,out/12/C/structures_cif/mp-1176372.cif,,2026-04-13T17:21:59
mp-1176374,downloaded,out/12/C/structures_cif/mp-1176374.cif,,2026-04-13T17:21:59
mp-1176376,downloaded,out/12/C/structures_cif/mp-1176376.cif,,2026-04-13T17:21:59
mp-1176379,downloaded,out/12/C/structures_cif/mp-1176379.cif,,2026-04-13T17:21:59
mp-1176381,downloaded,out/12/C/structures_cif/mp-1176381.cif,,2026-04-13T17:22:00
mp-1176385,downloaded,out/12/C/structures_cif/mp-1176385.cif,,2026-04-13T17:22:00
mp-1176390,downloaded,out/12/C/structures_cif/mp-1176390.cif,,2026-04-13T17:22:00
mp-1176391,downloaded,out/12/C/structures_cif/mp-1176391.cif,,2026-04-13T17:22:00
mp-1176392,downloaded,out/12/C/structures_cif/mp-1176392.cif,,2026-04-13T17:22:00
mp-1176394,downloaded,out/12/C/structures_cif/mp-1176394.cif,,2026-04-13T17:22:00
mp-1176395,downloaded,out/12/C/structures_cif/mp-1176395.cif,,2026-04-13T17:22:00
mp-1176399,downloaded,out/12/C/structures_cif/mp-1176399.cif,,2026-04-13T17:22:01
mp-1176400,downloaded,out/12/C/structures_cif/mp-1176400.cif,,2026-04-13T17:22:01
mp-1176402,downloaded,out/12/C/structures_cif/mp-1176402.cif,,2026-04-13T17:22:01
mp-1176404,downloaded,out/12/C/structures_cif/mp-1176404.cif,,2026-04-13T17:22:01
mp-1176405,downloaded,out/12/C/structures_cif/mp-1176405.cif,,2026-04-13T17:22:01
mp-1176409,downloaded,out/12/C/structures_cif/mp-1176409.cif,,2026-04-13T17:22:01
mp-1176410,downloaded,out/12/C/structures_cif/mp-1176410.cif,,2026-04-13T17:22:01
mp-1176411,downloaded,out/12/C/structures_cif/mp-1176411.cif,,2026-04-13T17:22:02
mp-1176418,downloaded,out/12/C/structures_cif/mp-1176418.cif,,2026-04-13T17:22:02
mp-1176422,downloaded,out/12/C/structures_cif/mp-1176422.cif,,2026-04-13T17:22:02
mp-1176428,downloaded,out/12/C/structures_cif/mp-1176428.cif,,2026-04-13T17:22:02
mp-1176431,downloaded,out/12/C/structures_cif/mp-1176431.cif,,2026-04-13T17:22:02
mp-1176442,downloaded,out/12/C/structures_cif/mp-1176442.cif,,2026-04-13T17:22:02
mp-1176445,downloaded,out/12/C/structures_cif/mp-1176445.cif,,2026-04-13T17:22:02
mp-1176541,downloaded,out/12/C/structures_cif/mp-1176541.cif,,2026-04-13T17:22:03
mp-1176544,downloaded,out/12/C/structures_cif/mp-1176544.cif,,2026-04-13T17:22:03
mp-1176546,downloaded,out/12/C/structures_cif/mp-1176546.cif,,2026-04-13T17:22:03
mp-1176585,downloaded,out/12/C/structures_cif/mp-1176585.cif,,2026-04-13T17:22:03
mp-1176603,downloaded,out/12/C/structures_cif/mp-1176603.cif,,2026-04-13T17:22:03
mp-1176648,downloaded,out/12/C/structures_cif/mp-1176648.cif,,2026-04-13T17:22:03
mp-1176660,downloaded,out/12/C/structures_cif/mp-1176660.cif,,2026-04-13T17:22:03
mp-1176673,downloaded,out/12/C/structures_cif/mp-1176673.cif,,2026-04-13T17:22:04
mp-1176765,downloaded,out/12/C/structures_cif/mp-1176765.cif,,2026-04-13T17:22:04
mp-1176894,downloaded,out/12/C/structures_cif/mp-1176894.cif,,2026-04-13T17:22:04
mp-1176987,downloaded,out/12/C/structures_cif/mp-1176987.cif,,2026-04-13T17:22:04
mp-1177151,downloaded,out/12/C/structures_cif/mp-1177151.cif,,2026-04-13T17:22:04
mp-1177155,downloaded,out/12/C/structures_cif/mp-1177155.cif,,2026-04-13T17:22:04
mp-1177175,downloaded,out/12/C/structures_cif/mp-1177175.cif,,2026-04-13T17:22:04
mp-1177646,downloaded,out/12/C/structures_cif/mp-1177646.cif,,2026-04-13T17:22:05
mp-1177673,downloaded,out/12/C/structures_cif/mp-1177673.cif,,2026-04-13T17:22:05
mp-1177718,downloaded,out/12/C/structures_cif/mp-1177718.cif,,2026-04-13T17:22:05
mp-1177866,downloaded,out/12/C/structures_cif/mp-1177866.cif,,2026-04-13T17:22:05
