material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-758103,YH2(CO3)2,2,"[2, 3]",1.3580773017420498,0.2244067574093272,"Trigonal plane, Angular",3.5,3.0,4.0
mp-1001080,H2CO3,1,[3],1.2029580812274483,-0.2952024253296379,Trigonal plane,4.0,4.0,4.0
mp-1022803,CoHCO4,1,[3],1.2819037891020124,-0.0378247161636541,"Octahedron, Trigonal plane",4.0,4.0,4.0
mp-1079918,CaCO3,1,[3],1.3583971886003237,0.2406320367660298,"Face-capped octahedron, Trigonal plane",4.0,4.0,4.0
mp-1101478,NaLi5Fe2P2(CO7)2,1,[3],1.3531678537447691,0.1862654740397697,Trigonal plane,4.0,4.0,4.0
mp-1101480,NaMnPCO7,1,[3],1.3422993264983778,0.1837244406087338,Trigonal plane,4.0,4.0,4.0
mp-1101482,NaLi2FePCO7,1,[3],1.3493800433119472,0.170525723726051,Trigonal plane,4.0,4.0,4.0
mp-1101651,NaLi5Fe2P2(CO7)2,1,[3],1.310000731379774,0.0378694337115501,Trigonal plane,4.0,4.0,4.0
mp-1101664,NaMnPCO7,1,[3],1.4067383251647103,0.3983244959248205,Trigonal plane,4.0,4.0,4.0
mp-1101665,NaLi5Fe2P2(CO7)2,1,[3],1.3507820443572762,0.1713449737331337,Trigonal plane,4.0,4.0,4.0
mp-1101667,NaMnPCO7,1,[3],1.4047989616531866,0.3952525598279233,Trigonal plane,4.0,4.0,4.0
mp-1101700,Na5Ni2P2(CO7)2,1,[3],1.3912358379498937,0.3324046712124057,Trigonal plane,4.0,4.0,4.0
mp-1101703,NaLi2FePCO7,1,[3],1.3055316851914864,0.0187709506161301,Trigonal plane,4.0,4.0,4.0
mp-1101707,Na5Ni2P2(CO7)2,1,[3],1.42067472386354,0.4411356419130478,Trigonal plane,4.0,4.0,4.0
mp-1101716,NaLi2FePCO7,1,[3],1.3143021373271842,0.043527275281487,Trigonal plane,4.0,4.0,4.0
mp-1101899,Na2CO3,1,[3],1.353596853587946,0.1841523440447433,Trigonal plane,4.0,4.0,4.0
mp-1173193,Sr8Y4Cu11CO28,1,[3],1.3240595421378842,0.0703344455836154,"Square plane, Trigonal plane, Square pyramid",4.0,4.0,4.0
mp-1173626,Nd2CO5,1,[3],1.3759446226766876,0.3019592264123913,Trigonal plane,4.0,4.0,4.0
mp-1173843,Na3H12Ru2(C2O9)2,1,[3],1.3324903079920871,0.1119389805208016,Trigonal plane,4.0,4.0,4.0
mp-1176327,Na5Ni2P2(CO7)2,1,[3],1.429172758485029,0.4680234874515389,Trigonal plane,4.0,4.0,4.0
mp-1176328,Na5Ni2P2(CO7)2,1,[3],1.4341571475472932,0.4842317193250828,Trigonal plane,4.0,4.0,4.0
mp-1176329,Na5Ni2P(CO4)4,1,[3],1.4158500496284174,0.4230370580779289,Trigonal plane,4.0,4.0,4.0
mp-1176341,Na5Mn2P2(CO7)2,1,[3],1.4491412396729466,0.5185222128559159,Trigonal plane,4.0,4.0,4.0
mp-1176343,Na5LiFe2P2(CO7)2,1,[3],1.3757601183023804,0.2639749994145517,Trigonal plane,4.0,4.0,4.0
mp-1176345,Na5Fe2P2(CO7)2,1,[3],1.46387531987078,0.5701121564493601,Trigonal plane,4.0,4.0,4.0
mp-1176347,Na5Fe2P2(CO7)2,1,[3],1.4898334102134918,0.6635039556785103,Trigonal plane,4.0,4.0,4.0
mp-1176348,Na5Fe2P2(CO7)2,1,[3],1.457708354407956,0.5494900257256692,Trigonal plane,4.0,4.0,4.0
mp-1176351,Na3Li3Fe2P2(CO7)2,1,[3],1.334642868116831,0.1225165713801746,Trigonal plane,4.0,4.0,4.0
mp-1176352,Na5Mn2P2(CO7)2,1,[3],1.4403772452465469,0.4879105056434935,Trigonal plane,4.0,4.0,4.0
mp-1176354,Na3Li3Fe2P2(CO7)2,1,[3],1.3550426667791078,0.1865850099330242,Trigonal plane,4.0,4.0,4.0
mp-1176357,Na5Mn2P2(CO7)2,1,[3],1.4465762263172524,0.5159238975671308,Trigonal plane,4.0,4.0,4.0
mp-1176362,Na3Li3Fe2P2(CO7)2,1,[3],1.3614252954690058,0.2132618402275317,Trigonal plane,4.0,4.0,4.0
