CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,Trigonal plane,52,5,1.2720161574754156,1.2720161574754156,0.0,1.0,0.6842105263157895
1.0,"Linear, Octahedron",12,1,1.2033191219613457,1.2033191219613457,0.0,1.0,0.15789473684210525
1.0,"Square plane, Trigonal plane",12,1,1.2518978815421573,1.2518978815421573,0.0,1.0,0.15789473684210525
2.0,Angular,44,44,,,,,0.6197183098591549
2.0,Trigonal plane,8,1,1.2781267575720365,1.282432450403107,0.0043056928310705594,1.0,0.11267605633802817
2.0,"Octahedron, Angular",5,5,,,,,0.07042253521126761
2.0,"Dodecahedron with triangular faces - p2345 plane normalized, Angular",4,4,,,,,0.056338028169014086
2.0,"Angular, Diminished icosahedron",1,1,,,,,0.014084507042253521
2.0,"Bicapped octahedron (cap faces with one atom in common), Angular",1,1,,,,,0.014084507042253521
2.0,"Bicapped square prism (adjacent faces), Angular, Tricapped triangular prism (two square-face caps and one triangular-face cap)",1,1,,,,,0.014084507042253521
2.0,"Bicapped square prism (opposite faces), Angular",1,1,,,,,0.014084507042253521
2.0,"Pentagonal bipyramid, Angular",1,1,,,,,0.014084507042253521
2.0,Single neighbor,1,1,,,,,0.014084507042253521
2.0,"Square antiprism, Angular",1,1,,,,,0.014084507042253521
2.0,"Square-face bicapped trigonal prism, Angular",1,1,,,,,0.014084507042253521
2.0,"Trigonal plane, Angular",1,1,,,,,0.014084507042253521
2.0,no_data,1,1,,,,,0.014084507042253521
3.0,Trigonal plane,1015,600,1.2773321364770385,1.2999334838980083,0.01777377294887104,0.8714208535926525,0.7563338301043219
3.0,"Octahedron, Trigonal plane",136,83,1.2801502231623438,1.3001383122450856,0.015731994403221806,0.8795180722891566,0.10134128166915052
3.0,"Trigonal plane, Bicapped square prism (adjacent faces)",20,3,1.293554526943558,1.2975873119613333,0.004192866825470611,0.16666666666666666,0.014903129657228018
3.0,"Dodecahedron with triangular faces - p2345 plane normalized, Trigonal plane",18,9,1.2922239929491801,1.296861931477988,0.003612927573068875,0.5714285714285714,0.013412816691505217
3.0,"Trigonal plane, Square pyramid",14,4,1.2798118005582042,1.298250634322582,0.01405543855312427,1.0,0.010432190760059613
3.0,"Trigonal prism, Trigonal plane",13,3,1.3008474584107197,1.3032702884109206,0.0034248015750422346,0.3333333333333333,0.009687034277198211
3.0,"Trigonal plane, Trigonal bipyramid",10,5,1.2874018434731322,1.3004170950442047,0.011811428957307805,1.0,0.007451564828614009
3.0,"Square plane, Trigonal plane",8,7,1.2439220587521058,1.2895882903649465,0.03229974294068458,0.6666666666666666,0.005961251862891207
3.0,"Square-face capped square prism, Trigonal plane",8,1,1.285728853435213,1.2932169183866664,0.00639609699309859,1.0,0.005961251862891207
3.0,"Square plane, Trigonal plane, Square pyramid",7,4,1.291606317307578,1.29686052361141,0.004587724988115276,0.8,0.005216095380029807
3.0,"Trigonal plane, Square-face capped trigonal prism",7,3,1.2908662469553371,1.3002183943451624,0.007375735122184507,0.7777777777777777,0.005216095380029807
3.0,"Linear, Trigonal plane",6,4,1.2885063428286372,1.3027962318447512,0.010297858492608874,0.6666666666666666,0.004470938897168405
3.0,"Square-face bicapped trigonal prism, Trigonal plane",6,3,1.2627189710755968,1.3067750143396384,0.04834392084239404,0.6666666666666666,0.004470938897168405
3.0,"Trigonal plane, Pentagonal-face capped pentagonal antiprism",6,1,1.3004731396340754,1.3046052162425064,0.002921821340380531,0.0,0.004470938897168405
3.0,"Trigonal plane, Tricapped triangular prism (three square-face caps), Tricapped triangular prism (two square-face caps and one triangular-face cap)",6,1,1.264740056508659,1.3017912605037232,0.02621845278620868,0.6666666666666666,0.004470938897168405
