CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,4.0,76,7,1.25799268724689,1.25799268724689,0.0,1.0
2.0,3.0,54,54,,,,0.7605633802816901
2.0,4.0,10,3,1.2781267575720365,1.282432450403107,0.0043056928310705594,0.14084507042253522
2.0,3.5,3,3,,,,0.04225352112676056
2.0,2.5,2,2,,,,0.028169014084507043
2.0,2.0,1,1,,,,0.014084507042253521
2.0,3.33333333,1,1,,,,0.014084507042253521
3.0,4.0,1334,763,1.2792036262652542,1.2998587282214351,0.016425098711181876,0.9940387481371088
3.0,3.0,7,4,1.2873998406038965,1.3047840818663323,0.012586428974582899,0.005216095380029807
3.0,3.5,1,1,,,,0.0007451564828614009
