material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,C_wyckoff,num_C_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1001080,H2CO3,1.2029580812274483,-0.2952024253296379,[3.0],4.0,4.0,4.0,Trigonal plane,2c,1,3.0,C,0.0,True,4.0,3.0,1.256780768747625,1.3022862898451428,1.2871177828126366,0.02145150836632152,0.04550552109751793,120.0,5.046413902268436,112.86329301806384,123.56835349096808,3.0,1.0,1,Trigonal plane
mp-1001080,H2CO3,1.2029580812274483,-0.2952024253296379,[3.0],4.0,4.0,4.0,Trigonal plane,2c,1,3.0,C,0.0,True,5.0,3.0,1.256780768747625,1.3022862898451433,1.2871177828126366,0.021451508366321464,0.045505521097518375,120.0,5.04641390226845,112.86329301806383,123.56835349096811,3.0,1.0,2,Trigonal plane
mp-1022803,CoHCO4,1.2819037891020124,-0.0378247161636541,[3.0],4.0,4.0,4.0,"Octahedron, Trigonal plane","6h, 6g",2,3.0,C,0.0,True,,,,,,,,,,,,,,0,"Octahedron, Trigonal plane"
mp-1079918,CaCO3,1.3583971886003237,0.2406320367660298,[3.0],4.0,4.0,4.0,"Face-capped octahedron, Trigonal plane",2i,2,3.0,C,0.0,True,,,,,,,,,,,,,,0,"Face-capped octahedron, Trigonal plane"
mp-1101478,NaLi5Fe2P2(CO7)2,1.3531678537447691,0.1862654740397697,[3.0],4.0,4.0,4.0,Trigonal plane,2a,1,3.0,C,0.0,True,20.0,3.0,1.2931069263709665,1.3038431068642364,1.299441872039844,0.004591355727057624,0.010736180493269964,78.94876652641193,30.545454449643593,44.0165811805975,118.42267602714485,3.0,1.0,1,Trigonal plane
mp-1101478,NaLi5Fe2P2(CO7)2,1.3531678537447691,0.1862654740397697,[3.0],4.0,4.0,4.0,Trigonal plane,2a,1,3.0,C,0.0,True,21.0,3.0,1.2931069263709651,1.303843106864236,1.2994418720398435,0.004591355727058094,0.010736180493270853,78.94876652641192,30.545454449643593,44.01658118059746,118.42267602714482,3.0,1.0,2,Trigonal plane
mp-1101480,NaMnPCO7,1.3422993264983778,0.1837244406087338,[3.0],4.0,4.0,4.0,Trigonal plane,"1a, 2b",1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1101482,NaLi2FePCO7,1.3493800433119472,0.170525723726051,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,20.0,3.0,1.3003767357964027,1.3025426188908487,1.3016876390781125,0.0009411560451106667,0.002165883094445986,79.57182061457526,29.804367917733664,47.6230056445679,119.35600417942948,3.0,1.0,1,Trigonal plane
mp-1101651,NaLi5Fe2P2(CO7)2,1.310000731379774,0.0378694337115501,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1101664,NaMnPCO7,1.4067383251647103,0.3983244959248205,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1101665,NaLi5Fe2P2(CO7)2,1.3507820443572762,0.1713449737331337,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,20.0,3.0,1.298683359537392,1.3069307834496002,1.303141498190679,0.0034000513666985117,0.00824742391220834,79.22150484149873,30.497776971271037,44.55975491110352,118.7806032873559,3.0,1.0,1,Trigonal plane
mp-1101665,NaLi5Fe2P2(CO7)2,1.3507820443572762,0.1713449737331337,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,23.0,3.0,1.291448650428774,1.3048729070867688,1.2998530160761321,0.00598017101928739,0.013424256657994738,78.630296613212,28.790908627294776,49.72592829520549,117.91749131138396,3.0,1.0,2,Trigonal plane
mp-1101667,NaMnPCO7,1.4047989616531866,0.3952525598279233,[3.0],4.0,4.0,4.0,Trigonal plane,4e,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1101700,Na5Ni2P2(CO7)2,1.3912358379498937,0.3324046712124057,[3.0],4.0,4.0,4.0,Trigonal plane,2i,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1101703,NaLi2FePCO7,1.3055316851914864,0.0187709506161301,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1101707,Na5Ni2P2(CO7)2,1.42067472386354,0.4411356419130478,[3.0],4.0,4.0,4.0,Trigonal plane,2i,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1101716,NaLi2FePCO7,1.3143021373271842,0.043527275281487,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,20.0,3.0,1.2997214025032204,1.304698435423883,1.3025283494332063,0.002081170834787155,0.00497703292066265,79.61344768158348,31.264135167150588,42.953891155204275,119.3494612067639,3.0,1.0,1,Trigonal plane
mp-1101899,Na2CO3,1.353596853587946,0.1841523440447433,[3.0],4.0,4.0,4.0,Trigonal plane,2i,1,3.0,C,0.0,True,4.0,3.0,1.2994778994590392,1.3029560511307379,1.3006388125111383,0.0016385362118623672,0.003478151671698626,119.99784511503798,0.30164374275694184,119.78449291866748,120.42443378181743,3.0,1.0,1,Trigonal plane
mp-1101899,Na2CO3,1.353596853587946,0.1841523440447433,[3.0],4.0,4.0,4.0,Trigonal plane,2i,1,3.0,C,0.0,True,5.0,3.0,1.2994778994590386,1.3029560511307376,1.3006388125111383,0.0016385362118622106,0.00347815167169907,119.99784511503798,0.30164374275694855,119.78449291866742,120.42443378181743,3.0,1.0,2,Trigonal plane
mp-1173193,Sr8Y4Cu11CO28,1.3240595421378842,0.0703344455836154,[3.0],4.0,4.0,4.0,"Square plane, Trigonal plane, Square pyramid","1a, 2d",3,3.0,C,0.0,True,23.0,3.0,1.3009727885262046,1.3099035276410926,1.3039497015645012,0.004209990792763164,0.008930739114888064,120.0,0.6912654687921245,119.51120149941694,120.97759700116602,0.0,0.0,1,"Square plane, Trigonal plane, Square pyramid"
mp-1173626,Nd2CO5,1.3759446226766876,0.3019592264123913,[3.0],4.0,4.0,4.0,Trigonal plane,2c,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1173843,Na3H12Ru2(C2O9)2,1.3324903079920871,0.1119389805208016,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,34.0,3.0,1.279931027305058,1.3119393108488173,1.3000331191872476,0.014294804165014966,0.0320082835437594,119.99976705846933,1.3080162334471188,118.25426540033239,121.4028740617478,3.0,1.0,1,Trigonal plane
mp-1173843,Na3H12Ru2(C2O9)2,1.3324903079920871,0.1119389805208016,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,35.0,3.0,1.263734518831188,1.3239318156584983,1.3026499289020146,0.027557630457968517,0.06019729682731034,89.81949469110772,40.09944075735355,33.224110894634784,121.22678837674496,3.0,1.0,2,Trigonal plane
mp-1173843,Na3H12Ru2(C2O9)2,1.3324903079920871,0.1119389805208016,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,36.0,3.0,1.2742176667981888,1.3246110177080825,1.3000944468207618,0.020595470062623633,0.05039335090989372,85.51474666398671,31.412718147903067,45.61507562063045,122.38056516429681,3.0,1.0,3,Trigonal plane
mp-1173843,Na3H12Ru2(C2O9)2,1.3324903079920871,0.1119389805208016,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,37.0,3.0,1.2576080187728227,1.3245663601816826,1.301779836362911,0.03123942982109304,0.06695834140885992,119.99661070036233,1.0954413054482584,118.44860603134184,120.823040499444,3.0,1.0,4,Trigonal plane
mp-1173843,Na3H12Ru2(C2O9)2,1.3324903079920871,0.1119389805208016,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,38.0,3.0,1.2569155241048076,1.3256093732875966,1.3020841749205427,0.031948296817521524,0.06869384918278909,119.99792896701844,1.1673313037614972,118.36349018157544,121.0162725790473,3.0,1.0,5,Trigonal plane
mp-1173843,Na3H12Ru2(C2O9)2,1.3324903079920871,0.1119389805208016,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,39.0,3.0,1.2715045458553322,1.3193456029666384,1.3004500362197111,0.020783686068954352,0.04784105711130615,85.72483393580514,30.490638470910262,47.393910210498845,121.99508361705436,3.0,1.0,6,Trigonal plane
mp-1173843,Na3H12Ru2(C2O9)2,1.3324903079920871,0.1119389805208016,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,40.0,3.0,1.2636075878468795,1.3262056149781707,1.3034851077947305,0.028288991562456147,0.06259802713129115,89.05867976840187,40.446853914080926,31.988719173932665,120.9383103657133,3.0,1.0,7,Trigonal plane
mp-1173843,Na3H12Ru2(C2O9)2,1.3324903079920871,0.1119389805208016,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,41.0,3.0,1.2718205260246236,1.3213258930035396,1.3004107306190742,0.020926459242198332,0.049505366978916054,119.99879880740609,1.3668649395145533,118.60044487440051,121.85380203803643,3.0,1.0,8,Trigonal plane
