material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-1200595,V4Cd9O19,3,"[5, 6, 7]",1.9308032832153021,0.4099179849246375,"Square-face capped trigonal prism, Square pyramid, Octahedron, Trigonal prism, Pentagonal bipyramid, Trigonal bipyramid",2.0,2.0,2.0
mp-1227896,Cd15As9Cl2O37,3,"[5, 6]",2.133292878670028,0.225019868022476,"Octahedron, Tricapped triangular prism (three square-face caps)",2.0,2.0,2.0
mp-542117,Cd3Se3O10,3,"[5, 6, 7]",2.354746573913571,-0.0015837508283656,"Trigonal bipyramid, Square-face capped trigonal prism, Square antiprism",2.0,2.0,2.0
mp-561273,V2Cd6Se5O21,3,"[6, 7, 8]",2.171319163054698,0.220037030759048,"Cube, Square-face capped trigonal prism",2.0,2.0,2.0
mp-1189868,Cd4BiB3O10,2,"[6, 8]",1.5718952440989762,0.7183536271299001,"Hexagonal bipyramid, Octahedron",2.0,2.0,2.0
mp-1192091,Cd3(BO3)2,2,"[5, 6]",1.9138959830068625,0.3901076385347614,"Octahedron, Trigonal prism",2.0,2.0,2.0
mp-1194787,Cd2B6PbO12,2,"[6, 7]",2.105069872092142,0.2798830473757237,"Octahedron, Square-face capped trigonal prism",2.0,2.0,2.0
mp-1195436,Cd3BPO7,2,"[5, 6]",1.746081134016436,0.5923626557653165,"Octahedron, Pentagonal bipyramid",2.0,2.0,2.0
mp-1198923,Cd2AsHO5,2,"[5, 6]",2.1122907347924307,0.2069126453857208,"Octahedron, Trigonal bipyramid",2.0,2.0,2.0
mp-1204954,Cd12Ge17(B4O29)2,2,"[7, 8]",2.0183907137171007,0.3356424234249663,Square antiprism,2.0,2.0,2.0
mp-1213890,Cd2Mo3O8,2,"[4, 6]",2.015924730877092,0.2910808317435398,"Tetrahedron, Octahedron",2.0,2.0,2.0
mp-1216514,V4Cd3(PO4)6,2,"[5, 6]",2.1711935324761407,0.1469453014710963,"Square-face capped trigonal prism, Trigonal prism",2.0,2.0,2.0
mp-1216762,V2Cd3O8,2,"[4, 6]",2.18120671488592,0.1452305053617529,"Tetrahedron, Octahedron",2.0,2.0,2.0
mp-1218628,Sr5Cd5P6(O12F)2,2,"[5, 6]",2.6441323479225827,-0.1852531924490297,"Pentagonal bipyramid, Tricapped triangular prism (three square-face caps)",2.0,2.0,2.0
mp-1221478,Na2Cd2Fe(PO4)3,2,"[6, 8]",1.6538936441777092,0.6050698994844735,"Octahedron, Dodecahedron with triangular faces - p2345 plane normalized",2.0,2.0,2.0
mp-1227191,Cd5Si(PO6)2,2,"[6, 7]",1.973162864736074,0.3816267275557312,"Face-capped octahedron, Trigonal prism, Square-face capped trigonal prism, Square-face bicapped trigonal prism",2.0,2.0,2.0
mp-1227196,Cd5Ge(PO6)2,2,"[6, 7]",1.9072411651447303,0.4438242741182099,"Square-face capped trigonal prism, Trigonal prism",2.0,2.0,2.0
mp-1227791,Ca3Cd5(P2O7)4,2,"[6, 7]",1.9339361526584449,0.3839310363548379,"Octahedron, Square-face bicapped trigonal prism",2.0,2.0,2.0
mp-13335,Cd(BO2)2,2,"[4, 12]",2.019101663980808,0.3536928993073421,"Trigonal prism, Icosahedron",2.0,2.0,2.0
mp-13602,Cd3(AsO4)2,2,"[5, 6]",1.693543385554626,0.6381696054069856,"Square pyramid, Square-face capped trigonal prism, Trigonal prism",2.0,2.0,2.0
mp-13718,NaCd4(PO4)3,2,"[6, 7]",1.578630928939165,0.731267938258173,Square-face capped trigonal prism,2.0,2.0,2.0
mp-13820,Cd3SiO5,2,"[5, 6]",1.948053922073448,0.3712149188299888,"Octahedron, Square pyramid",2.0,2.0,2.0
mp-14243,Cd3TeO6,2,"[6, 7]",1.3422956941679605,0.9220139669448616,"Octahedron, Square-face bicapped trigonal prism",2.0,2.0,2.0
mp-23643,Cd5P3ClO12,2,"[5, 6]",2.6175821391794662,-0.1897214067546567,"Octahedron, Tricapped triangular prism (three square-face caps)",2.0,2.0,2.0
mp-24405,LiCd4Ge5HO15,2,"[6, 7]",1.739543831105759,0.5636243646455528,"Octahedron, Square-face capped trigonal prism",2.0,2.0,2.0
mp-27198,Cd(NO3)2,2,"[6, 7]",1.695392814414928,0.5897189556080884,"Pentagonal bipyramid, Face-capped octahedron",2.0,2.0,2.0
mp-27686,Cd2P2O7,2,"[6, 7]",1.428396467513903,0.8183169610595961,"Octahedron, Pentagonal bipyramid",2.0,2.0,2.0
mp-531175,Cd(GaO2)2,2,"[4, 6]",1.9969587011315817,0.2536146322042386,"Tetrahedron, Octahedron",2.0,2.0,2.0
mp-531238,Cd(GaO2)2,2,"[4, 6]",1.9952671085031723,0.2540994426281925,no_data,2.0,2.0,2.0
mp-532027,Cd(FeO2)2,2,"[4, 6]",2.000509109923265,0.260149231694896,no_data,2.0,2.0,2.0
mp-558221,Ba2V4Cd3O15,2,"[5, 6]",1.844116772843865,0.4830780768962394,"Octahedron, Square pyramid",2.0,2.0,2.0
mp-559503,KVCdO4,2,"[5, 6]",1.7340725357182272,0.5764418800386337,"Octahedron, Trigonal bipyramid",2.0,2.0,2.0
mp-6078,Na2Cd3Si3O10,2,"[5, 6]",2.016568381017515,0.3238998187188147,Octahedron,2.0,2.0,2.0
mp-675857,Cd2SnO4,2,"[4, 6]",2.0286219139088417,0.2591070267608625,"Tetrahedron, Octahedron",2.0,2.0,2.0
mp-680761,Cd3(PO4)2,2,"[5, 6]",1.723708651888216,0.5659681484871483,"Octahedron, Pentagonal bipyramid, Trigonal bipyramid, Trigonal prism",2.0,2.0,2.0
mp-690912,Cd10As6HClO25,2,"[5, 6]",2.168884554143706,0.1914251332275351,"Octahedron, Tricapped triangular prism (three square-face caps)",2.0,2.0,2.0
