material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cd_wyckoff,num_Cd_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1006058,UCd2O5,2.2213744224715417,0.0695676293507447,[4.0],2.0,2.0,2.0,Square-face capped trigonal prism,4f,1,4.0,Cd,0.0,True,,,,,,,,,,,,,,0,Square-face capped trigonal prism
mp-1102318,LiCdBO3,0.2816359149654046,2.3362119030480923,[5.0],2.0,2.0,2.0,Trigonal bipyramid,2i,1,5.0,Cd,0.0,True,,,,,,,,,,,,,,0,Trigonal bipyramid
mp-1173705,NaCdIn2(PO4)3,2.348436274436187,-0.0036163024294853,[6.0],2.0,2.0,2.0,Trigonal prism,2e,1,6.0,Cd,0.0,True,2.0,6.0,2.325530118767546,2.363775823048146,2.3444414568768015,0.01561658601581318,0.038245704280599924,77.60441875212315,33.55552221217909,18.22663468029978,132.74521932313328,6.0,1.0,1,Trigonal prism
mp-1173705,NaCdIn2(PO4)3,2.348436274436187,-0.0036163024294853,[6.0],2.0,2.0,2.0,Trigonal prism,2e,1,6.0,Cd,0.0,True,3.0,6.0,2.325530118767547,2.3637758230481456,2.3444414568768015,0.015616586015813094,0.03824570428059859,77.60441875212318,33.55552221217909,18.22663468029976,132.74521932313326,6.0,1.0,2,Trigonal prism
mp-1173728,Na2MnCdFe(PO4)3,2.089634331973876,0.238794954025439,[6.0],2.0,2.0,2.0,"Octahedron, Dodecahedron with triangular faces - p2345 plane normalized","1b, 1a",2,6.0,Cd,0.0,True,6.0,6.0,2.31841604375108,2.362694295626817,2.344248302674528,0.018815925719813217,0.044278251875736974,89.59731385923163,35.8765446711313,18.825005653909493,143.68115085293792,6.0,1.0,1,"Octahedron, Dodecahedron with triangular faces - p2345 plane normalized"
mp-1173819,Na3Cd4P6H10(ClO8)3,2.169413078098494,0.1325916631980117,[4.0],2.0,2.0,2.0,Octahedron,1a,1,4.0,Cd,0.0,True,3.0,4.0,2.2910735213775424,2.339664410953516,2.313841039849785,0.01762878057580345,0.048590889575973684,82.54639229368472,31.513012678247186,18.263452587646007,110.88327428832332,4.0,1.0,1,Octahedron
mp-1173819,Na3Cd4P6H10(ClO8)3,2.169413078098494,0.1325916631980117,[4.0],2.0,2.0,2.0,Octahedron,1a,1,4.0,Cd,0.0,True,4.0,4.0,2.2688728097529904,2.333356979422411,2.305690187680058,0.023283490823630862,0.0644841696694205,98.19080313943637,45.02259586443442,48.1265241430379,177.1582006694394,4.0,1.0,2,Octahedron
mp-1173819,Na3Cd4P6H10(ClO8)3,2.169413078098494,0.1325916631980117,[4.0],2.0,2.0,2.0,Octahedron,1a,1,4.0,Cd,0.0,True,5.0,4.0,2.2902301163324257,2.3399137678493895,2.3139563325413803,0.01797949428023992,0.049683651516963856,79.55724791231857,30.19428557045328,19.456460004792408,110.9519425872478,4.0,1.0,3,Octahedron
mp-1173819,Na3Cd4P6H10(ClO8)3,2.169413078098494,0.1325916631980117,[4.0],2.0,2.0,2.0,Octahedron,1a,1,4.0,Cd,0.0,True,6.0,4.0,2.2685672230120124,2.3341605864599937,2.3055826895641522,0.02362412435355151,0.06559336344798128,57.65711845423147,24.87758224186752,20.729515082014323,84.08685107041931,4.0,1.0,4,Octahedron
mp-1173827,NaCdFe(PO4)2,1.9276310381277504,0.365086864166431,[6.0],2.0,2.0,2.0,"Octahedron, Pentagonal bipyramid, Trigonal prism",1a,3,6.0,Cd,0.0,True,8.0,6.0,2.1987797563290252,2.458109046503967,2.2825857091313697,0.09124837254167815,0.259329290174942,77.27956026864798,31.05016035480358,21.808317400091894,122.421068576468,6.0,1.0,1,"Octahedron, Pentagonal bipyramid, Trigonal prism"
mp-1173827,NaCdFe(PO4)2,1.9276310381277504,0.365086864166431,[6.0],2.0,2.0,2.0,"Octahedron, Pentagonal bipyramid, Trigonal prism",1a,3,6.0,Cd,0.0,True,10.0,6.0,2.2663617514267163,2.6129589142198597,2.3632532355184126,0.11975021505032353,0.34659716279314345,106.77593009086007,35.79123552769269,70.25803650308616,177.42558027111426,6.0,1.0,2,"Octahedron, Pentagonal bipyramid, Trigonal prism"
mp-1173827,NaCdFe(PO4)2,1.9276310381277504,0.365086864166431,[6.0],2.0,2.0,2.0,"Octahedron, Pentagonal bipyramid, Trigonal prism",1a,3,6.0,Cd,0.0,True,11.0,6.0,2.203718691487757,2.5666895948654,2.3017600501133155,0.12223808279471585,0.3629709033776427,80.51646471944106,39.45446744134666,3.8569908330721123,167.8878290134095,6.0,1.0,3,"Octahedron, Pentagonal bipyramid, Trigonal prism"
mp-1181899,Cd(BrO2)2,2.252390078815691,0.1012572425887422,[6.0],2.0,2.0,2.0,Octahedron,2c,1,6.0,Cd,0.0,True,0.0,6.0,2.338185781181377,2.3792409112273485,2.358359994310702,0.0167681344312192,0.04105513004597139,32.57197311896851,20.083027125387378,0.0,54.88260432024138,6.0,1.0,1,Octahedron
mp-1181899,Cd(BrO2)2,2.252390078815691,0.1012572425887422,[6.0],2.0,2.0,2.0,Octahedron,2c,1,6.0,Cd,0.0,True,1.0,6.0,2.338185781181377,2.379240911227349,2.358359994310702,0.016768134431219203,0.04105513004597183,42.190225127468516,22.748968090933655,0.0,83.74736852209668,6.0,1.0,2,Octahedron
mp-1183876,CdHg2SeO6,2.374300264371281,-0.0030092967325168,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cd,0.0,True,0.0,6.0,2.3281099850932887,2.459514691890289,2.3768395027664737,0.04526624276263405,0.13140470679700034,78.59106339255635,37.813204249705365,26.07311677006694,157.0371129067168,6.0,1.0,1,Octahedron
mp-1183876,CdHg2SeO6,2.374300264371281,-0.0030092967325168,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cd,0.0,True,1.0,6.0,2.328109985093289,2.4595148642317453,2.3768395276563994,0.045266292422618815,0.1314048791384561,78.59106473851242,37.813206997243185,26.073130725177723,157.0371129067168,6.0,1.0,2,Octahedron
mp-1188876,Sr2UCdO6,2.476797194681844,-0.1151915191206609,[6.0],2.0,2.0,2.0,Octahedron,2b,1,6.0,Cd,0.0,True,6.0,6.0,2.320756229460662,2.3657715089995803,2.3498621324098647,0.020610758985850155,0.045015279538918485,60.5970062134869,24.362648127981167,22.213605036236903,97.61439080287279,6.0,1.0,1,Octahedron
mp-1188876,Sr2UCdO6,2.476797194681844,-0.1151915191206609,[6.0],2.0,2.0,2.0,Octahedron,2b,1,6.0,Cd,0.0,True,7.0,6.0,2.320756229460662,2.3657715089995803,2.3498621324098647,0.020610758985850013,0.045015279538918485,50.7042013388577,23.832394023901912,12.659676610163883,80.88077484015409,6.0,1.0,2,Octahedron
mp-1189868,Cd4BiB3O10,1.5718952440989762,0.7183536271299001,"[6.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Octahedron",2b,2,6.0,Cd,0.0,True,0.0,6.0,2.301044125551468,2.3855761494377266,2.3429118531326045,0.03229226534171269,0.08453202388625858,47.307876763582385,23.89834837188938,0.0,82.01477440074146,6.0,1.0,1,"Hexagonal bipyramid, Octahedron"
mp-1189868,Cd4BiB3O10,1.5718952440989762,0.7183536271299001,"[6.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Octahedron",2b,2,6.0,Cd,0.0,True,1.0,6.0,2.3010394015274533,2.385582032204776,2.342913010992197,0.032292136915020864,0.0845426306773227,68.8513375279941,44.08050496537493,0.0,130.10350336789077,6.0,1.0,2,"Hexagonal bipyramid, Octahedron"
mp-1189868,Cd4BiB3O10,1.5718952440989762,0.7183536271299001,"[6.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Octahedron",2b,2,8.0,Cd,0.0,True,2.0,8.0,2.2925774848314746,2.9886551509998958,2.5458728535849438,0.25291112073023814,0.6960776661684211,78.94313466384592,35.59572626356609,0.0,162.28882237109423,8.0,1.0,1,"Hexagonal bipyramid, Octahedron"
mp-1189868,Cd4BiB3O10,1.5718952440989762,0.7183536271299001,"[6.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Octahedron",2b,2,8.0,Cd,0.0,True,3.0,8.0,2.2925774840408395,2.988649077176871,2.5458708499286735,0.2529101617169567,0.6960715931360313,57.8025413709256,46.32853079353557,0.0,171.07383583792475,8.0,1.0,2,"Hexagonal bipyramid, Octahedron"
mp-1190335,BaCdAs2O7,1.8973068311991528,0.4545777999139572,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cd,0.0,True,2.0,6.0,2.26460020558274,2.5569147597414212,2.3821462476587993,0.11891002844158914,0.29231455415868135,97.68537084889883,35.0610322728174,23.612222105899807,175.2355871477254,6.0,1.0,1,Octahedron
mp-1190335,BaCdAs2O7,1.8973068311991528,0.4545777999139572,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cd,0.0,True,3.0,6.0,2.2646002055827394,2.556914759741421,2.3821462476587993,0.11891002844158922,0.29231455415868135,97.68537084889881,35.0610322728174,23.612222105899775,175.2355871477254,6.0,1.0,2,Octahedron
mp-1190367,SrCdAs2O7,1.8332934857483991,0.4936413661173802,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cd,0.0,True,2.0,6.0,2.2739548769365245,2.5125819195452506,2.3635085873188295,0.0813063664041996,0.23862704260872603,97.924241189999,34.716075876797554,24.755889463081044,171.6319775731271,6.0,1.0,1,Octahedron
mp-1190367,SrCdAs2O7,1.8332934857483991,0.4936413661173802,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cd,0.0,True,3.0,6.0,2.273954876936524,2.512581919545251,2.3635085873188295,0.0813063664041997,0.2386270426087269,97.924241189999,34.71607587679756,24.755889463081015,171.6319775731271,6.0,1.0,2,Octahedron
mp-1190488,Al4CdO7,1.575424176152413,0.7740197665282942,[5.0],2.0,2.0,2.0,Trigonal bipyramid,2e,1,5.0,Cd,0.0,True,,,,,,,,,,,,,,0,Trigonal bipyramid
mp-1191189,Cd2Sb2O7,2.0119025490558022,0.3156533841430043,[8.0],2.0,2.0,2.0,Hexagonal bipyramid,4d,1,8.0,Cd,0.0,True,0.0,8.0,2.230696542452786,2.5774724210433537,2.49077845139571,0.15015836013954859,0.3467758785905679,60.585831854733485,50.55519525632707,9.501973025437074,148.22521113398773,8.0,1.0,1,Hexagonal bipyramid
mp-1191189,Cd2Sb2O7,2.0119025490558022,0.3156533841430043,[8.0],2.0,2.0,2.0,Hexagonal bipyramid,4d,1,8.0,Cd,0.0,True,1.0,8.0,2.2306965424527863,2.5774724210433533,2.4907784513957094,0.15015836013954834,0.346775878590567,60.585831854733456,50.55519525632706,9.501973025437074,148.22521113398773,8.0,1.0,2,Hexagonal bipyramid
mp-1191189,Cd2Sb2O7,2.0119025490558022,0.3156533841430043,[8.0],2.0,2.0,2.0,Hexagonal bipyramid,4d,1,8.0,Cd,0.0,True,2.0,8.0,2.230696542452786,2.577472421043352,2.490778451395709,0.15015836013954856,0.34677587859056613,60.58583185473346,50.55519525632707,9.501973025437074,148.22521113398776,8.0,1.0,3,Hexagonal bipyramid
mp-1191189,Cd2Sb2O7,2.0119025490558022,0.3156533841430043,[8.0],2.0,2.0,2.0,Hexagonal bipyramid,4d,1,8.0,Cd,0.0,True,3.0,8.0,2.230696542452786,2.577472421043352,2.49077845139571,0.15015836013954867,0.34677587859056613,55.27223863706556,66.2712158848393,7.69249261642573,179.99999879258172,8.0,1.0,4,Hexagonal bipyramid
mp-1191962,CdIClO3,2.455877334852381,-0.0582464541071614,[4.0],2.0,2.0,2.0,Octahedron,4e,1,4.0,Cd,0.0,True,0.0,4.0,2.362135126123232,2.3857502008418026,2.3739426634825174,0.011807537359284748,0.023615074718570384,69.03687801066359,30.02342666528054,15.346967047701511,98.23920479716709,4.0,1.0,1,Octahedron
mp-1191962,CdIClO3,2.455877334852381,-0.0582464541071614,[4.0],2.0,2.0,2.0,Octahedron,4e,1,4.0,Cd,0.0,True,1.0,4.0,2.362135126123232,2.385750200841802,2.373942663482517,0.011807537359284748,0.02361507471856994,69.03687801066359,30.023426665280546,15.34696704770146,98.23920479716708,4.0,1.0,2,Octahedron
mp-1191962,CdIClO3,2.455877334852381,-0.0582464541071614,[4.0],2.0,2.0,2.0,Octahedron,4e,1,4.0,Cd,0.0,True,2.0,4.0,2.3621351261232313,2.385751164554806,2.373942904410768,0.011807778292451823,0.023616038431574893,69.03686576773768,30.023403292248386,15.347001383931191,98.23917957451587,4.0,1.0,3,Octahedron
mp-1191962,CdIClO3,2.455877334852381,-0.0582464541071614,[4.0],2.0,2.0,2.0,Octahedron,4e,1,4.0,Cd,0.0,True,3.0,4.0,2.362135126123232,2.3857502008418026,2.3739426634825174,0.011807537359284748,0.023615074718570384,69.03687801066359,30.02342666528055,15.34696704770146,98.23920479716708,4.0,1.0,4,Octahedron
mp-1192091,Cd3(BO3)2,1.9138959830068625,0.3901076385347614,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal prism",2i,2,5.0,Cd,0.0,True,,,,,,,,,,,,,,0,"Octahedron, Trigonal prism"
mp-1192091,Cd3(BO3)2,1.9138959830068625,0.3901076385347614,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal prism",2i,2,6.0,Cd,0.0,True,0.0,6.0,2.2683061290452127,2.380029282276166,2.316257758505633,0.039373534750448906,0.11172315323095328,62.64676836462096,30.057424091128993,15.271938095110553,112.00533519605077,6.0,1.0,1,"Octahedron, Trigonal prism"
mp-1192091,Cd3(BO3)2,1.9138959830068625,0.3901076385347614,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal prism",2i,2,6.0,Cd,0.0,True,1.0,6.0,2.268306129045214,2.3800292822761655,2.3162577585056336,0.03937353475044849,0.1117231532309515,62.64676836462096,30.05742409112899,15.271938095110553,112.00533519605075,6.0,1.0,2,"Octahedron, Trigonal prism"
mp-1192091,Cd3(BO3)2,1.9138959830068625,0.3901076385347614,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal prism",2i,2,6.0,Cd,0.0,True,2.0,6.0,2.2229142867942295,2.8739071243951613,2.3733716097025352,0.22531414696165492,0.6509928376009317,68.22313308071364,27.366302837326486,24.316171793527555,111.42561702876246,6.0,1.0,3,"Octahedron, Trigonal prism"
mp-1192091,Cd3(BO3)2,1.9138959830068625,0.3901076385347614,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal prism",2i,2,6.0,Cd,0.0,True,3.0,6.0,2.22291428679423,2.8739071243951626,2.3733716097025357,0.22531414696165533,0.6509928376009326,68.22313308071364,27.366302837326483,24.31617179352754,111.42561702876245,6.0,1.0,4,"Octahedron, Trigonal prism"
mp-1192091,Cd3(BO3)2,1.9138959830068625,0.3901076385347614,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal prism",2i,2,6.0,Cd,0.0,True,4.0,6.0,2.1700498610180174,2.434679658372159,2.3451500639043403,0.08317583880718714,0.2646297973541416,75.6937431754097,30.793222020759906,23.675903868272577,133.41651291134218,6.0,1.0,5,"Octahedron, Trigonal prism"
mp-1192091,Cd3(BO3)2,1.9138959830068625,0.3901076385347614,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal prism",2i,2,6.0,Cd,0.0,True,5.0,6.0,2.1700498610180174,2.4346796583721586,2.3451500639043394,0.08317583880718696,0.26462979735414116,75.6937431754097,30.793222020759906,23.675903868272577,133.41651291134218,6.0,1.0,6,"Octahedron, Trigonal prism"
mp-1192772,NaCdPO4,1.419718599707405,0.8815927447172156,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Cd,0.0,True,4.0,6.0,2.263799433449789,2.4460666613534126,2.3489722343377437,0.06402347396890208,0.18226722790362349,94.50389189394134,35.32429529722903,15.240672056710382,172.39573343870296,6.0,1.0,1,Octahedron
mp-1192772,NaCdPO4,1.419718599707405,0.8815927447172156,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Cd,0.0,True,5.0,6.0,2.2637994334497895,2.446066661353412,2.3489722343377437,0.06402347396890168,0.1822672279036226,93.77079351065332,35.55752770570376,12.07018985963773,172.39573343870296,6.0,1.0,2,Octahedron
mp-1192772,NaCdPO4,1.419718599707405,0.8815927447172156,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Cd,0.0,True,6.0,6.0,2.263799433449788,2.4460666613534126,2.3489722343377433,0.06402347396890191,0.18226722790362437,62.51857050295006,23.920769359727643,12.07018985963773,99.48817591408876,6.0,1.0,3,Octahedron
mp-1192772,NaCdPO4,1.419718599707405,0.8815927447172156,[6.0],2.0,2.0,2.0,Octahedron,4a,1,6.0,Cd,0.0,True,7.0,6.0,2.263799433449789,2.446066661353411,2.3489722343377433,0.06402347396890165,0.18226722790362215,62.84246195506909,23.84453631249334,15.24067205671043,100.22345548120532,6.0,1.0,4,Octahedron
mp-1194532,Cd2Ni6Te3PbO18,1.667471693844788,0.5650789297908898,[6.0],2.0,2.0,2.0,Trigonal prism,4f,1,6.0,Cd,0.0,True,,,,,,,,,,,,,,0,Trigonal prism
mp-1194560,Rb2CdP2O7,2.376428161781247,-0.1188951594893477,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Cd,0.0,True,8.0,5.0,2.2062408925191965,2.329741525777062,2.2674424621843228,0.04328925599389979,0.12350063325786564,72.14908683086588,28.087380743912657,21.846408041397694,105.78129172303437,5.0,1.0,1,Trigonal bipyramid
mp-1194560,Rb2CdP2O7,2.376428161781247,-0.1188951594893477,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Cd,0.0,True,9.0,5.0,2.2062408925191965,2.3297415257770617,2.2674424621843228,0.043289255993899906,0.1235006332578652,62.96144792742568,20.770466498835145,21.846408041397677,89.44116834080704,5.0,1.0,2,Trigonal bipyramid
mp-1194560,Rb2CdP2O7,2.376428161781247,-0.1188951594893477,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Cd,0.0,True,10.0,5.0,2.2062408925191965,2.32974152577706,2.2674424621843228,0.0432892559938992,0.12350063325786342,72.14908683086585,28.087380743912664,21.846408041397623,105.78129172303436,5.0,1.0,3,Trigonal bipyramid
mp-1194560,Rb2CdP2O7,2.376428161781247,-0.1188951594893477,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Cd,0.0,True,11.0,5.0,2.206240892519196,2.329741525777061,2.2674424621843228,0.04328925599389946,0.12350063325786476,62.96144792742568,20.77046649883514,21.846408041397694,89.44116834080705,5.0,1.0,4,Trigonal bipyramid
mp-1194602,CdH2SO5,2.2476300658935977,0.0780054782267282,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Cd,0.0,True,,,,,,,,,,,,,,0,Octahedron
mp-1194787,Cd2B6PbO12,2.105069872092142,0.2798830473757237,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Square-face capped trigonal prism",4e,2,6.0,Cd,0.0,True,,,,,,,,,,,,,,0,"Octahedron, Square-face capped trigonal prism"
mp-1194787,Cd2B6PbO12,2.105069872092142,0.2798830473757237,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Square-face capped trigonal prism",4e,2,7.0,Cd,0.0,True,0.0,7.0,2.213536820947583,2.7011833181289626,2.4406713650772187,0.15812177703803063,0.4876464971813794,100.79961717555653,31.54383284495107,54.888764371739036,168.53425667231386,7.0,1.0,1,"Octahedron, Square-face capped trigonal prism"
