material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-777398,Co6OF11,4,"[0, 1, 2]",1.135031653377602,1.96056378433116,Octahedron,2.25,2.0,3.0
mp-1218565,Sr4Co3ReO12,3,[6],1.8655277235565173,0.1262709114671893,Octahedron,2.333333333333333,2.0,3.0
mp-1228475,Ba5Mn(Co2O7)2,3,"[4, 6]",1.7975228630252793,0.3406947512026111,"Tetrahedron, Octahedron",3.6666666666666665,3.0,4.0
mp-1275116,Co5SbO8,3,"[4, 6]",1.852922693529769,0.2354826489728522,"Tetrahedron, Octahedron",2.333333333333333,2.0,3.0
mp-1291653,LiCo5O7F,3,"[4, 5, 6]",1.6596096059015626,0.4572333678311366,"Tetrahedron, Octahedron",2.6666666666666665,2.0,3.0
mp-1304367,Co5SbO8,3,"[4, 6]",1.8702589135004721,0.2214179913550717,"Tetrahedron, Octahedron",2.333333333333333,2.0,3.0
mp-1311663,Co5SbO8,3,"[4, 6]",1.8717819362579944,0.2222894401441404,"Tetrahedron, Octahedron",2.333333333333333,2.0,3.0
mp-1638962,Li3Co2(CO3)4,3,"[5, 6]",1.802497765016393,0.3233838720222461,"Octahedron, Trigonal bipyramid, Trigonal prism",2.6666666666666665,2.0,3.0
mp-1640104,Li3Co2(CO3)4,3,"[5, 6]",1.8028389451539928,0.3235450069760647,no_data,2.6666666666666665,2.0,3.0
mp-1641018,Li3Co2(CO3)4,3,"[5, 6]",1.812214917434923,0.3127221583816867,"Octahedron, Trigonal prism",2.6666666666666665,2.0,3.0
mp-1666679,CoSb(PO4)2,3,"[4, 5]",1.8280315943363528,0.3609145756537134,"See-saw, Trigonal bipyramid",2.333333333333333,2.0,3.0
mp-1666719,CoSb(PO4)2,3,"[4, 5]",1.9390733572999508,0.1926681235582666,Trigonal bipyramid,2.6666666666666665,2.0,3.0
mp-18381,SrCo6O11,3,"[5, 6]",1.9275697402899798,-0.050956866579208095,"Octahedron, Trigonal bipyramid",3.3333333333333335,3.0,4.0
