CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
1.0,2,2,1.0,2.0
2.0,2,2,1.0,2.0
3.0,2,12,0.9230769230769231,1.8461538461538463
3.0,3,1,0.07692307692307693,0.23076923076923078
4.0,2,94,0.5433526011560693,1.0867052023121386
4.0,3,62,0.3583815028901734,1.0751445086705202
4.0,4,17,0.09826589595375723,0.3930635838150289
5.0,2,79,0.7745098039215687,1.5490196078431373
5.0,3,17,0.16666666666666666,0.5
5.0,4,6,0.058823529411764705,0.23529411764705882
6.0,1,3,0.004054054054054054,0.004054054054054054
6.0,2,439,0.5932432432432433,1.1864864864864866
6.0,3,221,0.29864864864864865,0.895945945945946
6.0,4,77,0.10405405405405406,0.41621621621621624
7.0,2,2,0.6666666666666666,1.3333333333333333
7.0,4,1,0.3333333333333333,1.3333333333333333
8.0,2,3,1.0,2.0
