CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,Octahedron,39,9,1.871435488592307,1.871435488592307,0.0,1.0,0.7647058823529411
1.0,"Tetrahedron, Octahedron",12,1,1.920167240825094,1.920167240825094,0.0,1.0,0.23529411764705882
2.0,Octahedron,16,4,1.8888358569496413,1.9369384958562097,0.04810263890656848,1.0,0.8
2.0,"Octahedron, Square plane, Square pyramid",2,1,1.9588937103050372,1.9588937103050377,4.440892098500626e-16,1.0,0.1
2.0,"Trigonal plane, Linear",2,1,1.7605631806430537,1.7614760834582763,0.0009129028152226604,0.0,0.1
3.0,Trigonal plane,62,13,1.8017728427938815,1.8486820959349148,0.047846788812509,0.8387096774193549,0.8493150684931506
3.0,"Tetrahedron, Trigonal plane",4,1,1.8123242049414425,1.875175058262288,0.0869513198485967,1.0,0.0547945205479452
3.0,no_data,4,1,1.743870506785862,1.8358723088929751,0.08646098426181269,0.6666666666666666,0.0547945205479452
3.0,"Trigonal plane, Linear",2,1,1.7590870872311162,1.8556651234706774,0.07641348270409831,0.6666666666666666,0.0273972602739726
3.0,"Tetrahedron, Octahedron",1,1,,,,,0.0136986301369863
4.0,Tetrahedron,620,101,1.8969802019491695,1.9276421290386552,0.02712383215229805,0.9471311475409836,0.5267629566694987
4.0,"Tetrahedron, Octahedron",343,75,1.8650992070634766,1.9134118461664364,0.04222566880943212,0.9844213649851632,0.29141886151231944
4.0,Octahedron,66,14,2.0526731463170593,2.1059503051165356,0.0556258224242237,1.0,0.056074766355140186
4.0,no_data,51,7,1.8415592143040185,1.8976354126450603,0.04943386225248402,1.0,0.04333050127442651
4.0,Square plane,32,13,1.8843739370011094,1.9197330886716915,0.03367776379805207,0.8548387096774194,0.027187765505522515
4.0,"Octahedron, Square plane, Square pyramid",24,1,2.0181572752984356,2.0793297370850468,0.06054575245631599,1.0,0.020390824129141887
4.0,"Tetrahedron, Octahedron, Trigonal bipyramid",6,2,1.966039030056028,1.968130873343244,0.003390225401980413,1.0,0.005097706032285472
4.0,"Tetrahedron, Trigonal bipyramid",5,3,1.9519825698641684,1.982829710047688,0.022836292411706132,1.0,0.004248088360237893
4.0,"Octahedron, Trigonal bipyramid, Trigonal prism",4,1,1.9860575730823395,2.12163203810013,0.08689677418066831,1.0,0.0033984706881903144
4.0,"Tetrahedron, Trigonal plane",4,1,1.795262179187049,1.8881022668167056,0.06934233015432802,1.0,0.0033984706881903144
4.0,See-saw,3,2,1.766927065825716,1.7804573175872558,0.009558756132103396,1.0,0.002548853016142736
4.0,Trigonal bipyramid,3,3,,,,,0.002548853016142736
4.0,"Octahedron, See-saw",2,2,,,,,0.0016992353440951572
4.0,"Octahedron, Square plane",2,2,1.8116829720913608,1.8116829720913612,2.7194799110210365e-16,1.0,0.0016992353440951572
4.0,"Octahedron, Square pyramid",2,1,2.0495794750835046,2.0822888343259343,0.03270178913870818,1.0,0.0016992353440951572
4.0,"Octahedron, Trigonal bipyramid",2,1,2.03579861125667,2.0960554392878303,0.0601789978983439,1.0,0.0016992353440951572
4.0,"Tetrahedron, Octahedron, Square pyramid",2,1,1.814444044135453,1.873107490637137,0.051408750480950394,1.0,0.0016992353440951572
4.0,"Tetrahedron, Square pyramid",2,1,1.8331688707072338,1.858204406178654,0.02635279609431978,1.0,0.0016992353440951572
4.0,"Octahedron, See-saw, Trigonal bipyramid",1,1,,,,,0.0008496176720475786
4.0,"See-saw, Trigonal bipyramid",1,1,,,,,0.0008496176720475786
4.0,"Square plane, Square pyramid",1,1,1.830033325172728,1.8413843700229062,0.011351044850177128,1.0,0.0008496176720475786
4.0,"Square plane, Trigonal bipyramid",1,1,,,,,0.0008496176720475786
5.0,Square pyramid,75,37,1.9251557141275364,2.010589285312789,0.06259019710769385,0.9587301587301587,0.19430051813471502
5.0,"Octahedron, Trigonal bipyramid",74,24,1.9824485221017272,2.0509201986203993,0.06906402678893285,1.0,0.19170984455958548
5.0,"Octahedron, Square pyramid",61,13,1.9122015134534898,1.98628551960641,0.06612384357015559,0.9857142857142858,0.15803108808290156
5.0,Octahedron,53,8,2.045058250652596,2.11609452918253,0.05828736545677401,1.0,0.13730569948186527
5.0,Trigonal bipyramid,40,15,1.9589712080945905,2.0603442401431584,0.1027899253506039,1.0,0.10362694300518134
5.0,"Tetrahedron, Trigonal bipyramid",22,3,1.9672711663183136,2.168138020453118,0.36444358465174176,1.0,0.05699481865284974
5.0,"Tetrahedron, Square pyramid",20,1,1.8990112765778266,1.983676622934534,0.07268367454237643,0.96,0.05181347150259067
5.0,"Tetrahedron, Octahedron",11,2,1.8939481359138526,2.0582579312382334,0.25033548685506235,1.0,0.02849740932642487
