CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,2.5,28,4,1.8597749399432675,1.8597749399432675,0.0,0.5490196078431373
1.0,2.0,12,1,1.920167240825094,1.920167240825094,0.0,0.23529411764705882
1.0,2.333333333333333,10,4,1.9139243216714044,1.9139243216714044,0.0,0.19607843137254902
1.0,2.25,1,1,1.7730425199744473,1.7730425199744473,0.0,0.0196078431372549
2.0,2.5,12,1,1.8422797374809399,1.9062364737219284,0.06395673624098867,0.6
2.0,2.0,4,2,1.9986598664998434,1.9992002134031512,0.0005403469033080643,0.2
2.0,1.5,2,1,1.7605631806430537,1.7614760834582763,0.0009129028152226604,0.1
2.0,2.25,1,1,2.013412131492196,2.013412131492196,0.0,0.05
2.0,2.333333333333333,1,1,2.023752684541486,2.0237526845414866,3.1401849173675503e-16,0.05
3.0,2.0,58,12,1.8008947121652623,1.8556636268401834,0.05569697381041777,0.7945205479452054
3.0,2.5,8,2,1.799388744529592,1.8405772352902565,0.05045393683292239,0.1095890410958904
3.0,3.0,4,1,1.7719229595769814,1.7773427943832711,0.006523536787396362,0.0547945205479452
3.0,1.5,2,1,1.7590870872311162,1.8556651234706774,0.07641348270409831,0.0273972602739726
3.0,2.33,1,1,,,,0.0136986301369863
4.0,2.5,377,37,1.9025444705784713,1.9345120930180066,0.027686791971069595,0.32030586236193714
4.0,2.0,360,92,1.98249471495393,2.0163416394615687,0.0306532327767868,0.3058623619371283
4.0,3.0,294,62,1.8226718416872922,1.8843897308755897,0.05646269917069934,0.2497875955819881
4.0,4.0,64,17,1.7829594454196251,1.8096437481808574,0.026108903766525568,0.05437553101104503
4.0,2.6666666666666665,26,7,1.9060158896944221,1.9208133752589296,0.013094404960856182,0.022090059473237042
4.0,3.5,25,10,1.806189583134656,1.8426021616652002,0.02679407357528084,0.021240441801189464
4.0,2.333333333333333,17,5,1.9751385387859721,1.9980210109727885,0.01615109779099564,0.014443500424808835
4.0,3.25,8,2,1.824565157643709,1.8430453702464185,0.014344695073602517,0.006796941376380629
4.0,3.6666666666666665,5,2,1.764744835091395,1.8202766975319733,0.03354910840734214,0.004248088360237893
4.0,3.333333333333333,1,1,,,,0.0008496176720475786
5.0,2.0,246,77,2.013879797416957,2.1026765852609897,0.10967795387660807,0.6373056994818653
5.0,2.6666666666666665,56,7,1.8730916936766462,1.9680539689518592,0.08711509643206718,0.14507772020725387
5.0,3.0,42,17,1.8526254626275183,1.9604676540372077,0.07988431196309155,0.10880829015544041
5.0,2.5,16,6,1.9271306285018823,2.015648379008553,0.07576670020120967,0.04145077720207254
5.0,4.0,12,6,1.785959856183663,1.885443561661652,0.04996473142806404,0.031088082901554404
5.0,3.5,8,3,1.843903933826827,1.8894356407549413,0.03367729496923355,0.02072538860103627
5.0,2.333333333333333,2,1,,,,0.0051813471502590676
5.0,3.333333333333333,2,1,1.8194651521076395,1.9026299690899564,0.10185293528179003,0.0051813471502590676
5.0,3.6666666666666665,2,1,1.8216227253537456,1.859176582087464,0.07510771334088075,0.0051813471502590676
6.0,2.0,1687,439,2.048110382072694,2.1272422407300793,0.07274902763141611,0.3162136832239925
6.0,3.5,1604,128,1.8936438888090474,1.9267114885920373,0.025728718007179862,0.3006560449859419
6.0,3.0,893,220,1.9084881519160595,2.016059763208903,0.10267460145864817,0.16738519212746017
6.0,2.5,438,50,1.9866664721978422,2.0609130765787866,0.06718445889084242,0.08209934395501406
6.0,4.0,294,77,1.8736165328217118,1.9173859603284888,0.034920017943408994,0.055107778819119026
6.0,2.6666666666666665,146,9,1.9877416328613886,2.0339250338763506,0.03711149500159653,0.027366447985004688
6.0,3.6666666666666665,60,3,1.880308423523695,1.9227430312794493,0.03619178436438678,0.011246485473289597
6.0,2.333333333333333,57,5,1.9953087275236838,2.0639033186831792,0.0514814909733878,0.010684161199625118
6.0,3.333333333333333,32,2,1.8818335691681376,1.9589681028324302,0.10070856736600084,0.005998125585754452
6.0,2.91,22,1,1.9405982781371314,1.9476484646779404,0.008065720396642205,0.004123711340206186
6.0,3.25,16,3,1.9220167123127045,1.9644723090897676,0.03194912949083976,0.002999062792877226
6.0,3.38,16,1,1.8901827140195888,1.914604311925536,0.016330984321399344,0.002999062792877226
6.0,3.43,14,1,1.8915151117808926,1.9057042158561401,0.013481380763165064,0.0026241799437675727
6.0,3.71,14,1,1.898608719423667,1.933301201635645,0.030112255964459832,0.0026241799437675727
6.0,2.67,12,1,1.9156858530685688,1.960158993783257,0.033636253923000826,0.0022492970946579195
6.0,2.17,8,1,2.0234409863233926,2.115103340368803,0.0661982803702763,0.001499531396438613
6.0,2.33,8,1,2.082734444832632,2.095329816355064,0.011525138225895447,0.001499531396438613
6.0,3.88,8,1,1.87140395696798,1.8912293986417583,0.013120392988919871,0.001499531396438613
6.0,1.0,3,3,2.223037557864,2.248035785844667,0.0309388833949214,0.0005623242736644799
6.0,3.33,3,1,1.92270023911059,1.9292892335971128,0.009318192671630027,0.0005623242736644799
7.0,2.0,5,2,2.112972355813031,2.2723126118116364,0.20411753811135527,0.8333333333333334
7.0,4.0,1,1,,,,0.16666666666666666
8.0,2.0,9,3,2.2053975848614282,2.2987771205907226,0.09321040723309669,1.0
