material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-1222580,Li5Cr3(PO4)4,3,"[4, 5, 6]",1.8237309723301791,0.3191914576685571,"Square plane, Trigonal bipyramid, Octahedron",2.333333333333333,2.0,3.0
mp-1223201,LiCr4(PO4)3,3,"[4, 5, 6]",1.7236716285246712,0.49506156507369353,"Square plane, Octahedron, Square pyramid",2.0,2.0,2.0
mp-556318,Cr4Si2Cl2O7,3,"[3, 4, 5]",1.4871562893237382,0.7173972208545248,"Square plane, Trigonal prism, Pentagonal pyramid, Square pyramid",2.0,2.0,2.0
mp-557963,Cr4Si2Br2O7,3,"[3, 4, 5]",1.6122250802855451,0.5821418594812963,"Trigonal bipyramid, Trigonal prism, Square plane, Square pyramid",2.0,2.0,2.0
mp-1012789,LiCr3P3O13,2,"[5, 6]",1.9009325962220955,0.1433469981329798,"Octahedron, Square pyramid",3.333333333333333,3.0,4.0
mp-1040902,MgCr2(PO4)2,2,"[4, 6]",1.8939371470866528,0.2924265766977872,"Octahedron, Square plane",2.0,2.0,2.0
mp-1047869,CaCr3P3O13,2,"[5, 6]",1.8452841045594568,0.2579918530140405,"Octahedron, Square pyramid",3.0,3.0,3.0
mp-1049295,MgCr2O4,2,"[4, 6]",1.9162266218670485,0.1615804508023461,"Octahedron, Tetrahedron",3.0,3.0,3.0
mp-1101544,Li2Cr5(PO4)4,2,"[4, 5]",2.050164881314504,0.0464060746890279,"Trigonal bipyramid, Octahedron, See-saw",2.0,2.0,2.0
mp-1101719,NaCr3O8,2,"[4, 6]",1.8769102438237824,0.7947993090227141,"Octahedron, Tetrahedron",5.0,5.0,5.0
mp-1190531,Ba5Cr5O14,2,"[4, 6]",1.8031009662458064,0.3438156388563798,"Octahedron, Tetrahedron",3.6666666666666665,3.0,4.0
mp-1193190,K2Cr3O9,2,"[4, 6]",1.8282948439452256,0.4214685343315075,"Octahedron, Tetrahedron",5.333333333333333,5.0,6.0
mp-1277718,Cr4OF11,2,"[0, 1]",1.843897701432432,0.997650829268386,Octahedron,3.333333333333333,3.0,4.0
mp-13869,Cr5O12,2,"[4, 6]",1.8260985491049395,0.4183823619700489,"Octahedron, Tetrahedron",4.666666666666667,4.0,5.0
