CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
3.0,2,4,0.5,1.0
3.0,3,2,0.25,0.75
3.0,5,1,0.125,0.625
3.0,6,1,0.125,0.75
4.0,2,28,0.125,0.25
4.0,3,22,0.09821428571428571,0.29464285714285715
4.0,4,8,0.03571428571428571,0.14285714285714285
4.0,5,32,0.14285714285714285,0.7142857142857142
4.0,6,134,0.5982142857142857,3.5892857142857144
5.0,2,36,0.8,1.6
5.0,3,3,0.06666666666666667,0.2
5.0,4,1,0.022222222222222223,0.08888888888888889
5.0,5,5,0.1111111111111111,0.5555555555555556
6.0,2,87,0.14897260273972604,0.2979452054794521
6.0,3,426,0.7294520547945206,2.1883561643835616
6.0,4,39,0.06678082191780822,0.2671232876712329
6.0,5,31,0.053082191780821915,0.2654109589041096
6.0,6,1,0.0017123287671232876,0.010273972602739725
7.0,2,2,1.0,2.0
