CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Octahedron,3.333333333333333,52,14,1.8305157109530477,1.8305157109530477,0.0,1.0,1.0
3.0,Octahedron,3.0,8,2,1.9957838781759507,2.0078414267323526,0.011200547369010196,1.0,1.0
3.0,Square plane,2.0,4,1,2.076224578414157,2.106418392219805,0.027347541675491246,1.0,1.0
3.0,"Square plane, T-shaped",2.0,4,1,2.066196625981501,2.110047275273612,0.03334834216233903,1.0,1.0
3.0,"Square plane, Trigonal prism, Pentagonal pyramid, Square pyramid",2.0,8,1,2.0663048772358543,2.088284091364042,0.021138965522733845,1.0,1.0
3.0,Tetrahedron,6.0,4,1,1.6243540115968855,1.625710233667351,0.0009604504362099138,0.0,1.0
3.0,"Trigonal bipyramid, Trigonal prism, Square plane, Square pyramid",2.0,8,1,2.0663603662481265,2.0926429835749345,0.023470694212266423,1.0,1.0
3.0,"Trigonal plane, Tetrahedron",5.333333333333333,2,1,1.6684825962805658,1.7258020077223186,0.07385383009579355,1.0,0.6666666666666666
3.0,"Trigonal plane, Tetrahedron",5.0,1,1,1.690115630980156,1.7258709128401037,0.032630750389550635,0.0,0.3333333333333333
4.0,Octahedron,3.0,61,21,1.9774402039085806,1.997820319849926,0.0200857095153836,1.0,0.7922077922077922
4.0,Octahedron,2.0,12,4,2.0706026228046754,2.115600317490213,0.044467051501021634,1.0,0.15584415584415584
4.0,Octahedron,2.5,4,1,2.047665984760084,2.0495981940808696,0.0017994460611054732,1.0,0.05194805194805195
4.0,"Octahedron, Square plane",2.0,3,2,2.01536727165459,2.026276802503917,0.01090953084932711,1.0,0.6
4.0,"Octahedron, Square plane",2.5,2,1,2.021519954176019,2.0368763587611407,0.015356404585120331,1.0,0.4
4.0,"Octahedron, Square plane, Square pyramid",2.0,1,1,,,,,1.0
4.0,"Octahedron, Tetrahedron",5.0,44,10,1.6059361314528646,1.6617193837237139,0.035794998213837095,0.8977272727272727,0.5176470588235295
