CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,3.333333333333333,52,14,1.8305157109530477,1.8305157109530477,0.0,1.0
3.0,2.0,24,4,2.06795861522727,2.0963866362285617,0.024985867217971802,0.6153846153846154
3.0,3.0,8,2,1.9957838781759507,2.0078414267323526,0.011200547369010196,0.20512820512820512
3.0,6.0,4,1,1.6243540115968855,1.625710233667351,0.0009604504362099138,0.10256410256410256
3.0,5.333333333333333,2,1,1.6684825962805658,1.7258020077223186,0.07385383009579355,0.05128205128205128
3.0,5.0,1,1,1.690115630980156,1.7258709128401037,0.032630750389550635,0.02564102564102564
4.0,6.0,647,133,1.629804627875114,1.6684485674663345,0.04297543511289414,0.6063730084348641
4.0,5.0,156,32,1.6685929130424062,1.699979962977367,0.020983409479023756,0.14620431115276475
4.0,2.0,95,28,2.0464163276436333,2.0639815947159637,0.01633163711865115,0.08903467666354264
4.0,3.0,62,22,1.9767323671566053,1.9970502462551376,0.020223291480225804,0.05810684161199625
4.0,4.666666666666667,24,2,1.6313577203121723,1.6687304742310136,0.027306046771134507,0.022492970946579195
4.0,5.5,24,5,1.6765199824875818,1.700607853566525,0.017575813774096324,0.022492970946579195
4.0,4.0,22,8,1.7610206158348374,1.7857886139152654,0.023028021172849734,0.020618556701030927
4.0,5.333333333333333,20,3,1.6298850110302872,1.6740995728118573,0.05276977511535067,0.01874414245548266
4.0,2.5,6,2,2.0389506412320624,2.0453575823076267,0.006318432235777092,0.005623242736644799
4.0,5.33333333,6,2,1.5845856325031764,1.6717777303463703,0.05250194759013044,0.005623242736644799
4.0,3.333333333333333,2,1,1.7839890307911659,1.8090768039261003,0.04345316905017849,0.0018744142455482662
4.0,3.6666666666666665,2,1,1.7158800573315587,1.8069041097182632,0.05255612517769874,0.0018744142455482662
4.0,2.333333333333333,1,1,,,,0.0009372071227741331
5.0,2.0,91,36,2.047433773534456,2.1790278824478175,0.16910479230865538,0.7054263565891473
5.0,5.0,17,5,1.6044928373069476,1.8233243253388605,0.11137374037030935,0.13178294573643412
5.0,2.333333333333333,10,4,2.0036584371526756,2.108544045884101,0.11204432217046265,0.07751937984496124
5.0,3.0,7,3,1.906348079642577,1.955505387949665,0.034050541300770745,0.05426356589147287
5.0,4.0,2,1,1.7391206735835998,1.8607432663127281,0.10191989432876311,0.015503875968992248
5.0,2.5,1,1,,,,0.007751937984496124
5.0,3.333333333333333,1,1,,,,0.007751937984496124
6.0,3.0,1511,424,1.978474561395466,2.0150210373716995,0.028674800068400858,0.5337336630166019
6.0,3.5,367,59,1.9655878963944453,1.998167033734556,0.024442581324426685,0.12963617096432356
6.0,2.0,285,87,2.0583493418853736,2.2241262216808475,0.18260778240810005,0.10067114093959731
6.0,4.0,178,39,1.9208015857422962,1.9731847077208378,0.03735112586165548,0.06287530907806428
6.0,2.5,170,33,2.005587076627017,2.0757738172909246,0.060333915247061616,0.06004945249028612
6.0,4.5,153,25,1.9011528672818172,1.9491881853720834,0.03491171628582885,0.054044507241257506
6.0,5.0,73,31,1.927694531193335,1.9607966018947947,0.024555281894260997,0.025785941363475805
6.0,2.333333333333333,19,4,2.0069922944482306,2.158708515073108,0.1702178027710385,0.006711409395973154
6.0,3.44444444,18,1,1.9606865710681503,1.9918557912519026,0.020742990208222845,0.006358177322500883
6.0,4.666666666666667,16,2,1.9802824516776187,2.0027744108020693,0.020446440241436638,0.00565171317555634
6.0,3.333333333333333,11,2,1.9579452021810255,2.0353123499601393,0.11087474150879227,0.003885552808194984
6.0,2.16666667,8,1,2.030139709723647,2.2019617118331505,0.18970071918842826,0.00282585658777817
6.0,3.75,8,2,1.9073459937420951,1.9658094948498994,0.034841726725038345,0.00282585658777817
6.0,5.333333333333333,4,2,1.8674003958829932,1.9605047544912524,0.06971667145993986,0.001412928293889085
6.0,3.33333333,3,1,1.9829832495869646,2.01260457437207,0.020882972187032084,0.0010596962204168139
6.0,3.6666666666666665,3,1,1.9851729782783896,2.008296784792862,0.01974627481841126,0.0010596962204168139
6.0,5.33333333,3,2,1.894576800948333,1.9290514404587213,0.02985089853816657,0.0010596962204168139
6.0,6.0,1,1,2.004626146335365,2.0362509616775584,0.022374949510680593,0.00035323207347227127
7.0,2.0,10,2,2.0681986675882795,2.353863265234983,0.24046267130049825,1.0
