material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cu_wyckoff,num_Cu_chemenvs,CN,element,charge_range,is_single_charge
mp-1023127,Ba4Cu3PbO9,3.960136162363437,-2.882459965751112,[4.0],2.0,2.0,2.0,Square plane,6b,1,4.0,Cu,0.0,True
mp-1035796,Mg14FeCuO16,1.7844386153678182,0.2160522036441709,[6.0],1.0,1.0,1.0,Octahedron,1c,1,6.0,Cu,0.0,True
mp-1037287,Mg30CrCuO32,1.9268495358481617,0.1722178741848251,[6.0],1.0,1.0,1.0,Octahedron,1a,1,6.0,Cu,0.0,True
mp-1037288,Mg30CrCuO32,1.34715359484044,0.5040083037531635,[6.0],1.0,1.0,1.0,Octahedron,1a,1,6.0,Cu,0.0,True
mp-1037298,Mg30FeCuO32,1.9545991370172189,0.1170117110777348,[6.0],1.0,1.0,1.0,Octahedron,1b,1,6.0,Cu,0.0,True
mp-1037357,Mg30FeCuO32,1.6778897508059345,0.3152011514114408,[6.0],1.0,1.0,1.0,Octahedron,1c,1,6.0,Cu,0.0,True
mp-1037549,Mg30VCuO32,1.1851830847243383,0.5904347228553151,[6.0],1.0,1.0,1.0,Octahedron,1a,1,6.0,Cu,0.0,True
mp-1037716,YMg30CuO32,2.3302858730802294,-0.0409070485033487,[6.0],1.0,1.0,1.0,Octahedron,1c,1,6.0,Cu,0.0,True
mp-1037730,YMg30CuO32,3.453182388218643,-0.6789518850048102,[6.0],1.0,1.0,1.0,Octahedron,1b,1,6.0,Cu,0.0,True
mp-1038308,Mg30AlCuO32,0.9032941283129782,0.7600086762303553,[6.0],1.0,1.0,1.0,Octahedron,1b,1,6.0,Cu,0.0,True
mp-1038310,Mg30AlCuO32,1.172753704987747,0.6020270787550177,[6.0],1.0,1.0,1.0,Octahedron,1c,1,6.0,Cu,0.0,True
mp-1041019,CuReO4,1.0857394237802636,1.3107652515308883,"[4.0, 5.0]",2.0,2.0,2.0,See-saw,4e,1,4.0,Cu,0.0,True
mp-1041019,CuReO4,1.0857394237802636,1.3107652515308883,"[4.0, 5.0]",2.0,2.0,2.0,See-saw,4e,1,5.0,Cu,0.0,True
mp-1041392,V2Zn(CuO4)2,1.805935274933418,0.2205605378081475,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane",4e,2,4.0,Cu,0.0,True
mp-1041392,V2Zn(CuO4)2,1.805935274933418,0.2205605378081475,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane",4e,2,5.0,Cu,0.0,True
mp-1041444,CaV2(CuO4)2,1.5352593167820037,0.5842484492229514,"[4.0, 5.0]",2.0,2.0,2.0,"Trigonal bipyramid, See-saw",4e,2,4.0,Cu,0.0,True
mp-1041444,CaV2(CuO4)2,1.5352593167820037,0.5842484492229514,"[4.0, 5.0]",2.0,2.0,2.0,"Trigonal bipyramid, See-saw",4e,2,5.0,Cu,0.0,True
mp-1041631,Mg(CuO2)2,1.288977896626001,1.5069277679557307,[5.0],3.0,3.0,3.0,Square pyramid,8e,1,5.0,Cu,0.0,True
mp-1041636,CaCuP2O7,1.3970953680152554,0.7566502621325543,[5.0],2.0,2.0,2.0,Square pyramid,2i,1,5.0,Cu,0.0,True
mp-1041698,ZnCuP2O7,1.5269656959860207,0.5921162809163635,[5.0],2.0,2.0,2.0,Square pyramid,2i,1,5.0,Cu,0.0,True
mp-1041735,V2ZnCuO7,1.8435532597188584,0.121797050155105,[4.0],2.0,2.0,2.0,no_data,no_data,1,4.0,Cu,0.0,True
mp-1041741,MgCuP2O7,1.5769700687108283,0.5586912692838026,[5.0],2.0,2.0,2.0,Trigonal bipyramid,2i,1,5.0,Cu,0.0,True
mp-1041772,MgV2CuO7,1.891952431884991,0.0700116018765701,[4.0],2.0,2.0,2.0,See-saw,"4g, 2f",1,4.0,Cu,0.0,True
mp-1042399,MgCuAs2O7,1.6980894739941377,0.3944537529358147,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Cu,0.0,True
mp-1042425,ZnCuAs2O7,1.7036898119986543,0.3756833948336983,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Cu,0.0,True
mp-1043118,Cu3(MoO3)4,1.9553389004899189,0.0708379832162109,[4.0],3.0,3.0,3.0,Square plane,"1e, 1g, 1f",1,4.0,Cu,0.0,True
mp-1043730,CaTiCu(PO4)3,1.7698641754811324,0.3372467202294726,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Cu,0.0,True
mp-1043903,CaLaFeCuO6,1.486266557446415,0.7166460571488464,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Cu,0.0,True
mp-1044124,MgCuP2O7,3.702311487391884,-1.3516600566492791,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Cu,0.0,True
mp-1044464,CaPr(CuO3)2,1.9597793157416763,0.0009107566215697,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Cu,0.0,True
mp-1044602,ZnCuP2O7,4.455052759258921,-2.008339047186532,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Cu,0.0,True
mp-1045605,YCu7O12,1.8045919192789763,0.1941110793144051,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Square plane","4c, 3b",2,4.0,Cu,0.0,True
mp-1045605,YCu7O12,1.8045919192789763,0.1941110793144051,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Square plane","4c, 3b",2,6.0,Cu,0.0,True
mp-1045680,CaCu(PO3)4,2.578859809788574,-0.4063821465191085,[6.0],2.0,2.0,2.0,Octahedron,2c,1,6.0,Cu,0.0,True
mp-1045729,MgCu(PO3)4,1.7922677446811983,0.28020750549553,[6.0],2.0,2.0,2.0,Octahedron,2d,1,6.0,Cu,0.0,True
mp-1046153,SrMgCu(PO4)2,1.007625840500457,1.0605080174041324,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cu,0.0,True
mp-1046155,SrZnCu(PO4)2,1.699409517493772,0.4290116811894866,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cu,0.0,True
mp-1046249,SrCaCu(PO4)2,0.8653857520446391,1.24685329220783,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Cu,0.0,True
mp-1047107,CaCu3(P2O7)2,1.0852220682894618,0.9585875870515356,[6.0],2.0,2.0,2.0,Octahedron,"2a, 4e",1,6.0,Cu,0.0,True
mp-1047601,Zn(CuO2)2,1.3751514761092944,0.9885299797335092,[6.0],2.0,2.0,2.0,Square pyramid,8e,1,6.0,Cu,0.0,True
mp-1096779,Ba4Ce(CuO3)3,3.8869553294158727,-2.7580347106589547,[4.0],2.0,2.0,2.0,Square plane,6b,1,4.0,Cu,0.0,True
mp-1099761,Sr2Cu2O5,1.7443653552840743,0.2468084156713092,"[4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Tetrahedron","2a, 2b",2,4.0,Cu,0.0,True
mp-1099761,Sr2Cu2O5,1.7443653552840743,0.2468084156713092,"[4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Tetrahedron","2a, 2b",2,6.0,Cu,0.0,True
mp-1100802,Zr8MnCu2(PO4)12,2.1711288941028384,-0.3448103864789135,[2.0],1.0,1.0,1.0,Linear,2i,1,2.0,Cu,0.0,True
mp-1100940,VCu6AgMo5O24,1.952094615601448,0.145188875178268,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid, Square pyramid",1a,3,5.0,Cu,0.0,True
mp-1100940,VCu6AgMo5O24,1.952094615601448,0.145188875178268,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid, Square pyramid",1a,3,6.0,Cu,0.0,True
mp-1101238,V4FeCuO12,1.8136684688319504,0.179255027408659,[6.0],1.0,1.0,1.0,Octahedron,2b,1,6.0,Cu,0.0,True
mp-1101275,TiCu3(PO4)4,1.8222797211539727,0.1631598227993934,"[4.0, 4.0]",2.5,2.0,3.0,See-saw,"1a, 1b",1,4.0,Cu,1.0,False
mp-1101275,TiCu3(PO4)4,1.8222797211539727,0.1631598227993934,"[4.0, 4.0]",2.5,2.0,3.0,See-saw,"1a, 1b",1,4.0,Cu,1.0,False
mp-1101389,Ti3MnCu2(PO4)6,2.1469198884478136,0.0764583171394631,"[6.0, 6.0]",1.5,1.0,2.0,Octahedron,1a,1,6.0,Cu,1.0,False
mp-1101389,Ti3MnCu2(PO4)6,2.1469198884478136,0.0764583171394631,"[6.0, 6.0]",1.5,1.0,2.0,Octahedron,1a,1,6.0,Cu,1.0,False
mp-1101698,NaCu2O3,2.031530095860965,-0.1767002046485496,[4.0],2.0,2.0,2.0,Square plane,4e,1,4.0,Cu,0.0,True
mp-1103557,MgVCuO4,1.1388140209251587,1.3556987655866992,[4.0],2.0,2.0,2.0,Tetrahedron,2c,1,4.0,Cu,0.0,True
