CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
0.0,2,1,1.0,2.0
1.0,2,3,1.0,2.0
2.0,1,14,0.4827586206896552,0.4827586206896552
2.0,2,15,0.5172413793103449,1.0344827586206897
3.0,1,8,0.13333333333333333,0.13333333333333333
3.0,2,52,0.8666666666666667,1.7333333333333334
4.0,1,18,0.041474654377880185,0.041474654377880185
4.0,2,398,0.9170506912442397,1.8341013824884793
4.0,3,18,0.041474654377880185,0.12442396313364056
5.0,1,2,0.0056179775280898875,0.0056179775280898875
5.0,2,345,0.9691011235955056,1.9382022471910112
5.0,3,9,0.025280898876404494,0.07584269662921347
6.0,1,35,0.0857843137254902,0.0857843137254902
6.0,2,343,0.8406862745098039,1.6813725490196079
6.0,3,30,0.07352941176470588,0.22058823529411764
7.0,2,1,1.0,2.0
8.0,2,1,1.0,2.0
