CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Square plane,2.0,36,2,1.9034974030235199,1.9034974030235199,0.0,1.0,1.0
1.0,"Trigonal bipyramid, Tetrahedron, Square plane",1.8,2,1,1.9998386471123735,1.9998386471123735,0.0,1.0,1.0
1.0,"Trigonal plane, Tetrahedron, Square plane",1.3333333333333333,2,1,2.006739813308517,2.006739813308517,0.0,1.0,1.0
2.0,Linear,1.0,60,11,1.8171139336471438,1.8308828402395763,0.013768906592432604,0.9830508474576272,0.6521739130434783
2.0,Linear,1.5,32,3,1.8330328993508984,1.834304870033798,0.0012719706828995658,1.0,0.34782608695652173
2.0,"Linear, Square plane",1.5,4,1,1.8358689136413369,1.843544508679612,0.007675595038275224,1.0,0.5
2.0,"Linear, Square plane",1.6666666666666667,2,1,1.8115201102968026,1.8238067639402162,0.012286653643413692,1.0,0.25
2.0,"Linear, Square plane",1.0,1,1,1.8298067886049498,1.82980678860495,2.220446049250313e-16,1.0,0.125
2.0,"Linear, Square plane",2.0,1,1,,,,,0.125
2.0,Octahedron,2.0,8,1,2.2473342073618214,2.257231070133327,0.00989686277150556,1.0,1.0
2.0,"Octahedron, Square plane",2.0,2,1,1.8948434885668504,1.8948434885668508,3.9407474581269944e-16,1.0,1.0
2.0,"Octahedron, Square pyramid, Linear, Square plane",1.6666666666666667,4,1,1.8594380459334654,1.8619412488777847,0.002503202944319244,1.0,1.0
2.0,"Octahedron, Tetrahedron",2.0,8,1,1.954391499658257,2.0357143429664237,0.08132284330816687,1.0,1.0
2.0,"Octahedron, Trigonal bipyramid",2.0,2,1,1.9217908020919998,1.9217908020920007,8.881784197001252e-16,1.0,1.0
2.0,"Octahedron, Trigonal bipyramid, T-shaped",1.6666666666666667,2,1,1.9589218583567385,1.9589218583567392,5.551115123125783e-16,1.0,0.6666666666666666
2.0,"Octahedron, Trigonal bipyramid, T-shaped",2.0,1,1,1.9496893402475333,1.9496893406171396,3.6960645655172435e-10,1.0,0.3333333333333333
2.0,Square plane,2.0,8,1,1.934232690750853,1.9374649968058986,0.003232306055045625,1.0,1.0
2.0,"Square pyramid, Linear",1.5,44,28,1.845670523701134,1.8489290877778977,0.003258564076763797,0.7954545454545454,0.6567164179104478
2.0,"Square pyramid, Linear",1.6666666666666667,16,3,1.858935191895645,1.8591887775986746,0.00025358570302964185,0.625,0.23880597014925373
2.0,"Square pyramid, Linear",1.75,4,1,1.8050491784776108,1.8050491799227824,1.445171535981078e-09,0.0,0.05970149253731343
2.0,"Square pyramid, Linear",1.83,2,1,1.8589303391753407,1.859058563375318,0.00012822419997710055,0.0,0.029850746268656716
2.0,"Square pyramid, Linear",2.0,1,1,1.862256626899767,1.8628164963776253,0.0005598694778584656,1.0,0.014925373134328358
2.0,"Square pyramid, Linear, Square plane",1.6666666666666667,28,2,1.8004717151669105,1.80510008587116,0.004628370704249477,0.21428571428571427,0.9655172413793104
2.0,"Square pyramid, Linear, Square plane",2.0,1,1,1.7888031036749992,1.7888031036749994,3.510833468576701e-16,1.0,0.034482758620689655
2.0,"Square pyramid, T-shaped, Linear",1.6666666666666667,1,1,1.8058032702746407,1.805803270274641,3.510833468576701e-16,1.0,1.0
2.0,"Trigonal bipyramid, Square pyramid",2.0,16,1,1.913111008817795,1.921939777922673,0.008828769104877968,1.0,1.0
2.0,"Trigonal bipyramid, Square pyramid, Square plane, See-saw",2.0,33,2,1.937402614083076,1.98243467886552,0.045032064782444,1.0,1.0
2.0,"Trigonal bipyramid, T-shaped, Square plane",1.6666666666666667,1,1,,,,,1.0
2.0,"Trigonal bipyramid, Tetrahedron, Square plane",1.8,2,1,1.9352108800801,1.9771989792019915,0.04198809912189161,1.0,1.0
2.0,"Trigonal plane, Linear, Square plane",1.0,1,1,,,,,1.0
3.0,Linear,1.0,4,4,,,,,1.0
3.0,"Octahedron, Square plane",2.0,5,2,1.900331525338958,1.9401673381840756,0.029692184899940754,1.0,1.0
3.0,"Octahedron, Trigonal bipyramid",2.0,16,2,1.9204977254030007,2.019571227262363,0.1305670901218542,1.0,1.0
3.0,Square plane,2.0,59,7,1.8762981882313767,1.8942226491902117,0.01898820887932392,1.0,1.0
3.0,"Square pyramid, See-saw",1.0,1,1,,,,,1.0
3.0,"Square pyramid, Square plane",2.0,16,1,1.9510552997236381,1.9625401082656266,0.013518636586956881,1.0,1.0
3.0,"Square pyramid, T-shaped",2.0,18,9,1.8265334921281307,1.854879908252709,0.03657856585703785,1.0,0.6923076923076923
3.0,"Square pyramid, T-shaped",1.5,8,1,1.8455919995363401,2.0863662616454333,0.339122846826889,1.0,0.3076923076923077
3.0,"Square pyramid, T-shaped, Linear",1.6666666666666667,4,1,1.8322699859989182,1.8546578816733104,0.03154016246710595,1.0,1.0
3.0,"Square pyramid, T-shaped, Square plane",2.0,28,5,1.832604005391028,1.855050374623602,0.03085388580849007,1.0,0.7777777777777778
3.0,"Square pyramid, T-shaped, Square plane",1.75,6,3,1.8220417836209457,1.8711950145356908,0.06597060443462845,1.0,0.16666666666666666
3.0,"Square pyramid, T-shaped, Square plane",2.333333333333333,2,1,1.8273421511603152,1.853122905627567,0.03590058967825191,1.0,0.05555555555555555
3.0,T-shaped,2.0,10,9,1.8048525045471306,1.8368527624837296,0.0452551985803298,1.0,0.8333333333333334
3.0,T-shaped,1.0,2,2,,,,,0.16666666666666666
3.0,"T-shaped, See-saw",2.0,8,2,1.8515054793731658,1.9211237404883752,0.09845508905796053,1.0,1.0
3.0,"T-shaped, Square plane",1.5,2,1,1.8991503998654466,1.9830880453909412,0.11855752860983701,1.0,0.5
3.0,"T-shaped, Square plane",2.333333333333333,2,1,,,,,0.5
3.0,"T-shaped, Square plane, See-saw",2.0,1,1,1.8693658372799098,1.923970924029702,0.07310348213452612,1.0,1.0
3.0,"Trigonal bipyramid, Linear, Square plane",1.8,18,1,1.9455522126788907,2.022804011469942,0.05654979912215677,1.0,1.0
3.0,"Trigonal bipyramid, Square pyramid",2.0,12,1,1.9288088896752493,1.9488746857047763,0.01619317111120523,1.0,1.0
3.0,"Trigonal bipyramid, Square pyramid, Square plane",2.0,3,2,1.973398959048381,1.9863869334711386,0.00927378998239316,1.0,1.0
3.0,"Trigonal bipyramid, Square pyramid, Square plane, See-saw",2.0,24,1,1.9492827438395925,2.111051719509649,0.18452472739747774,1.0,1.0
3.0,"Trigonal bipyramid, T-shaped",1.5,1,1,,,,,1.0
3.0,"Trigonal bipyramid, Tetrahedron, Square plane",1.8,2,1,1.9882035563777112,2.093492856583117,0.07465882315407227,1.0,1.0
3.0,Trigonal plane,2.0,9,2,1.8723928169832724,1.9005782851837094,0.019930135695446768,1.0,0.6923076923076923
3.0,Trigonal plane,2.5,4,1,1.8397078570453929,1.8509587072721936,0.008272309814863356,1.0,0.3076923076923077
3.0,"Trigonal plane, Linear, Square plane",1.0,1,1,,,,,1.0
3.0,no_data,2.0,1,1,,,,,1.0
4.0,"Cube, Square plane",1.5,4,2,,,,,1.0
4.0,"Cube, Trigonal prism, Square plane",1.5,2,1,,,,,1.0
4.0,"Cube, Trigonal prism, Square plane, Octahedron",1.5,2,1,,,,,1.0
