CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,Square plane,36,2,1.9034974030235199,1.9034974030235199,0.0,1.0,0.9
1.0,"Trigonal bipyramid, Tetrahedron, Square plane",2,1,1.9998386471123735,1.9998386471123735,0.0,1.0,0.05
1.0,"Trigonal plane, Tetrahedron, Square plane",2,1,2.006739813308517,2.006739813308517,0.0,1.0,0.05
2.0,Linear,92,14,1.8227118116968155,1.8320861913760058,0.009374379679190218,0.989010989010989,0.32280701754385965
2.0,"Square pyramid, Linear",67,34,1.847056419885688,1.8492691141287416,0.002212694243053435,0.6865671641791045,0.23508771929824562
2.0,"Trigonal bipyramid, Square pyramid, Square plane, See-saw",33,2,1.937402614083076,1.98243467886552,0.045032064782444,1.0,0.11578947368421053
2.0,"Square pyramid, Linear, Square plane",29,3,1.8000693492533963,1.8045381209678442,0.004468771714447783,0.2413793103448276,0.10175438596491228
2.0,"Trigonal bipyramid, Square pyramid",16,1,1.913111008817795,1.921939777922673,0.008828769104877968,1.0,0.056140350877192984
2.0,"Linear, Square plane",8,4,1.8280460948234147,1.8359426216005474,0.007896526777132642,1.0,0.028070175438596492
2.0,Octahedron,8,1,2.2473342073618214,2.257231070133327,0.00989686277150556,1.0,0.028070175438596492
2.0,"Octahedron, Tetrahedron",8,1,1.954391499658257,2.0357143429664237,0.08132284330816687,1.0,0.028070175438596492
2.0,Square plane,8,1,1.934232690750853,1.9374649968058986,0.003232306055045625,1.0,0.028070175438596492
2.0,"Octahedron, Square pyramid, Linear, Square plane",4,1,1.8594380459334654,1.8619412488777847,0.002503202944319244,1.0,0.014035087719298246
2.0,"Octahedron, Trigonal bipyramid, T-shaped",3,2,1.9558443523203366,1.9558443524435392,1.2320252225824966e-10,1.0,0.010526315789473684
2.0,"Octahedron, Square plane",2,1,1.8948434885668504,1.8948434885668508,3.9407474581269944e-16,1.0,0.007017543859649123
2.0,"Octahedron, Trigonal bipyramid",2,1,1.9217908020919998,1.9217908020920007,8.881784197001252e-16,1.0,0.007017543859649123
2.0,"Trigonal bipyramid, Tetrahedron, Square plane",2,1,1.9352108800801,1.9771989792019915,0.04198809912189161,1.0,0.007017543859649123
2.0,"Square pyramid, T-shaped, Linear",1,1,1.8058032702746407,1.805803270274641,3.510833468576701e-16,1.0,0.0035087719298245615
2.0,"Trigonal bipyramid, T-shaped, Square plane",1,1,,,,,0.0035087719298245615
2.0,"Trigonal plane, Linear, Square plane",1,1,,,,,0.0035087719298245615
3.0,Square plane,59,7,1.8762981882313767,1.8942226491902117,0.01898820887932392,1.0,0.2209737827715356
3.0,"Square pyramid, T-shaped, Square plane",36,9,1.8305513098609747,1.8576340663313924,0.036987044683388794,1.0,0.1348314606741573
3.0,"Square pyramid, T-shaped",26,10,1.8323976482537339,1.9261064785273934,0.12966911384776128,1.0,0.09737827715355805
3.0,"Trigonal bipyramid, Square pyramid, Square plane, See-saw",24,1,1.9492827438395925,2.111051719509649,0.18452472739747774,1.0,0.0898876404494382
3.0,"Trigonal bipyramid, Linear, Square plane",18,1,1.9455522126788907,2.022804011469942,0.05654979912215677,1.0,0.06741573033707865
3.0,"Octahedron, Trigonal bipyramid",16,2,1.9204977254030007,2.019571227262363,0.1305670901218542,1.0,0.0599250936329588
3.0,"Square pyramid, Square plane",16,1,1.9510552997236381,1.9625401082656266,0.013518636586956881,1.0,0.0599250936329588
3.0,Trigonal plane,13,3,1.8614978303373126,1.8840384258798706,0.0160441937352523,1.0,0.04868913857677903
3.0,T-shaped,12,11,1.8048525045471306,1.8368527624837296,0.0452551985803298,1.0,0.0449438202247191
3.0,"Trigonal bipyramid, Square pyramid",12,1,1.9288088896752493,1.9488746857047763,0.01619317111120523,1.0,0.0449438202247191
3.0,"T-shaped, See-saw",8,2,1.8515054793731658,1.9211237404883752,0.09845508905796053,1.0,0.0299625468164794
3.0,"Octahedron, Square plane",5,2,1.900331525338958,1.9401673381840756,0.029692184899940754,1.0,0.018726591760299626
3.0,Linear,4,4,,,,,0.0149812734082397
3.0,"Square pyramid, T-shaped, Linear",4,1,1.8322699859989182,1.8546578816733104,0.03154016246710595,1.0,0.0149812734082397
3.0,"T-shaped, Square plane",4,2,1.8991503998654466,1.9830880453909412,0.11855752860983701,1.0,0.0149812734082397
3.0,"Trigonal bipyramid, Square pyramid, Square plane",3,2,1.973398959048381,1.9863869334711386,0.00927378998239316,1.0,0.011235955056179775
3.0,"Trigonal bipyramid, Tetrahedron, Square plane",2,1,1.9882035563777112,2.093492856583117,0.07465882315407227,1.0,0.00749063670411985
3.0,"Square pyramid, See-saw",1,1,,,,,0.003745318352059925
3.0,"T-shaped, Square plane, See-saw",1,1,1.8693658372799098,1.923970924029702,0.07310348213452612,1.0,0.003745318352059925
3.0,"Trigonal bipyramid, T-shaped",1,1,,,,,0.003745318352059925
3.0,"Trigonal plane, Linear, Square plane",1,1,,,,,0.003745318352059925
3.0,no_data,1,1,,,,,0.003745318352059925
4.0,Square plane,757,163,1.9072629082573693,1.9288563797309937,0.020856735387122058,0.9955947136563876,0.4272009029345372
4.0,"Square pyramid, Square plane",457,111,1.8869519183340409,1.9301213438567288,0.03588222895904235,0.8835616438356164,0.25790067720090293
4.0,"Octahedron, Square plane",125,36,1.9395866132420758,1.9690333499751895,0.03197922496095465,1.0,0.07054176072234764
4.0,"Octahedron, Tetrahedron",55,9,1.9784593616672803,2.000077204050175,0.01949223252818172,1.0,0.031038374717832957
4.0,Tetrahedron,40,15,1.9653503053826715,1.991245100938478,0.03364743578658378,1.0,0.022573363431151242
4.0,"Trigonal bipyramid, Square plane",32,21,1.9373439013223215,2.0107719622099434,0.0829225996621768,1.0,0.01805869074492099
4.0,See-saw,28,16,1.920796978843655,1.9407749264788257,0.015614401979536724,1.0,0.01580135440180587
4.0,"Square pyramid, T-shaped, Square plane",26,9,1.8907320715513316,1.9137479876232226,0.02844137085977997,1.0,0.014672686230248307
4.0,Square pyramid,22,8,1.9507220185325471,2.11749724332801,0.24555668451698928,1.0,0.012415349887133182
4.0,"Trigonal bipyramid, Square pyramid, Square plane, See-saw",21,3,1.9465960785884335,1.964432916760024,0.020087184077991097,1.0,0.011851015801354402
4.0,"T-shaped, Square plane",18,2,1.864042833596984,2.0475559911096854,0.2597982963515238,1.0,0.010158013544018058
4.0,"Octahedron, Trigonal bipyramid, Square pyramid",15,1,1.8693459352577273,2.0194165883599937,0.17496491226080374,1.0,0.008465011286681716
4.0,no_data,15,6,1.8834791598521985,1.9192371487161097,0.031169010987770824,0.9583333333333334,0.008465011286681716
4.0,Octahedron,13,8,2.0032006923516215,2.083831436106504,0.07528357453588737,1.0,0.007336343115124154
4.0,"Trigonal bipyramid, Square pyramid, Square plane",13,7,1.9266245276620488,2.0832424401955865,0.22054195892144257,0.9545454545454546,0.007336343115124154
4.0,"Square plane, See-saw",12,1,1.9022072146522933,1.9136669308232674,0.010234737086868539,1.0,0.006772009029345372
4.0,"T-shaped, See-saw",10,4,1.8431666527316186,1.9262644632544998,0.08320514114856332,1.0,0.0056433408577878106
4.0,"Octahedron, Square pyramid, Square plane",9,7,1.900125140514871,1.9269421446738444,0.02567295061338992,0.75,0.005079006772009029
4.0,"Octahedron, Square pyramid",8,5,2.1114000606276706,2.111619041723787,0.00019728517037590396,1.0,0.004514672686230248
4.0,"Octahedron, Trigonal bipyramid, T-shaped",8,2,1.9340342071871635,2.0118863743961364,0.07544466369661486,1.0,0.004514672686230248
4.0,"T-shaped, Square plane, See-saw",8,1,1.8739179377227226,1.8964241225710672,0.021049274537426915,1.0,0.004514672686230248
4.0,"Octahedron, See-saw",6,3,1.9143124363204325,2.2691126110763156,0.354800174755883,1.0,0.003386004514672686
4.0,"Octahedron, Trigonal bipyramid, Square plane",6,4,1.902924032126312,1.9092232791551615,0.006299247028849236,1.0,0.003386004514672686
4.0,"Tetrahedron, See-saw",6,2,2.013358427272296,2.0469648255480295,0.022053288878436002,1.0,0.003386004514672686
4.0,"Linear, Square plane",5,4,1.9064776681214093,2.010829746769973,0.09899776783124464,0.8333333333333334,0.0028216704288939053
4.0,"Trigonal bipyramid, Square pyramid",5,2,1.846644020009565,2.0954543166641715,0.3210249182864445,1.0,0.0028216704288939053
4.0,"Cube, Square plane",4,2,,,,,0.002257336343115124
4.0,Linear,4,4,,,,,0.002257336343115124
4.0,"Octahedron, Trigonal bipyramid, Square pyramid, Square plane",4,3,,,,,0.002257336343115124
4.0,"Square pyramid, See-saw",4,3,1.9133055899341964,1.964031829333335,0.03257150859057246,1.0,0.002257336343115124
4.0,"Trigonal bipyramid, Linear, Square plane",4,1,1.9465161147594632,1.9664644654792842,0.01921416927218901,1.0,0.002257336343115124
4.0,"Trigonal plane, Tetrahedron, Square plane",4,1,1.9859188047317218,1.991511909236778,0.005761907872680187,1.0,0.002257336343115124
4.0,"Square plane, Trigonal prism",3,2,1.9300104814910548,1.9342800805064444,0.004269599015389369,1.0,0.001693002257336343
4.0,Trigonal bipyramid,3,3,,,,,0.001693002257336343
4.0,"Cube, Trigonal prism, Square plane",2,1,,,,,0.001128668171557562
4.0,"Cube, Trigonal prism, Square plane, Octahedron",2,1,,,,,0.001128668171557562
4.0,"Octahedron, Trigonal prism, Square plane",2,1,1.9168644522755316,1.9260762959642115,0.009211843688679222,1.0,0.001128668171557562
4.0,T-shaped,2,2,,,,,0.001128668171557562
4.0,"Trigonal bipyramid, See-saw",2,2,,,,,0.001128668171557562
4.0,"Trigonal bipyramid, Tetrahedron, Square plane",2,1,1.917458941877073,1.9397492639145832,0.021681790793486547,1.0,0.001128668171557562
4.0,Dodecahedron with triangular faces,1,1,,,,,0.000564334085778781
4.0,"Octahedron, Square pyramid, Linear, Square plane",1,1,,,,,0.000564334085778781
4.0,"Octahedron, Square pyramid, Trigonal bipyramid, Square plane, See-saw",1,1,,,,,0.000564334085778781
4.0,"Octahedron, Trigonal bipyramid, See-saw",1,1,,,,,0.000564334085778781
4.0,"Pentagonal bipyramid, Square plane",1,1,,,,,0.000564334085778781
4.0,"Square pyramid, Linear, Square plane",1,1,1.8968747538899997,1.9257311269449997,0.02885637305500005,0.5,0.000564334085778781
4.0,"Tetrahedron, T-shaped",1,1,,,,,0.000564334085778781
4.0,"Trigonal bipyramid, T-shaped, Square plane",1,1,,,,,0.000564334085778781
4.0,"Trigonal bipyramid, Tetrahedron",1,1,,,,,0.000564334085778781
4.0,"Trigonal plane, Linear, Square plane",1,1,,,,,0.000564334085778781
5.0,"Square pyramid, Square plane",533,108,1.9489724336098844,2.0339177730608324,0.13577900872632553,0.9961612284069098,0.3007900677200903
5.0,Square pyramid,328,93,1.9560689339522523,2.0398265000258236,0.13783482381124323,0.983448275862069,0.18510158013544017
5.0,Trigonal bipyramid,117,40,1.9283101908783675,2.061352865271751,0.15799474256983417,0.9942307692307693,0.06602708803611738
5.0,"Square pyramid, Linear",106,34,1.9421556160475868,2.0439592430266162,0.19657419240317045,1.0,0.05981941309255079
5.0,"Trigonal bipyramid, Square pyramid",98,15,1.930544060694871,2.0549156972102804,0.1421467021326036,1.0,0.055304740406320545
5.0,"Square pyramid, T-shaped, Square plane",82,9,1.9424330565819745,2.0552079465814184,0.1808180025580221,1.0,0.046275395033860044
5.0,"Octahedron, Square pyramid",62,21,1.9326249710303058,2.0378059540377187,0.13342818976291337,0.9925925925925926,0.034988713318284424
5.0,"Octahedron, Trigonal bipyramid",58,19,1.91207517437342,2.0302744950924865,0.1145649965062305,1.0,0.0327313769751693
5.0,no_data,49,5,1.878327430380246,2.006184427090426,0.14831712706612812,0.9333333333333332,0.027652370203160272
5.0,"Square pyramid, T-shaped",44,10,1.9545659060946237,2.073618005567509,0.20170089876762853,1.0,0.024830699774266364
5.0,Square plane,39,8,1.9281619000729702,2.106969113886173,0.3486746204127237,1.0,0.02200902934537246
5.0,"Octahedron, Trigonal bipyramid, Square pyramid, Square plane",30,3,1.9289248080225683,2.0686071747232924,0.17169398427864316,1.0,0.016930022573363433
5.0,"Square pyramid, Linear, Square plane",30,3,1.9206213305352198,2.0751912068715264,0.2709459881397568,1.0,0.016930022573363433
5.0,"Trigonal bipyramid, Square plane",27,18,1.861023763791269,2.0179869372752655,0.2491008710781827,1.0,0.015237020316027089
5.0,"Trigonal bipyramid, See-saw",24,4,1.933151167744679,2.102568554318692,0.26979542228322556,1.0,0.013544018058690745
5.0,"Trigonal bipyramid, Square pyramid, Square plane",24,8,1.9467660308944246,2.0686915805641926,0.16398854305284025,1.0,0.013544018058690745
5.0,"Octahedron, Trigonal bipyramid, Square pyramid",13,6,1.923628623061198,2.0729279351705276,0.14145514519492985,1.0,0.007336343115124154
5.0,"T-shaped, See-saw",12,2,1.848205008682471,2.2268556978529177,0.4094732485464196,1.0,0.006772009029345372
5.0,Octahedron,11,4,1.955906352183568,2.178576120321871,0.2195074858146942,1.0,0.006207674943566591
5.0,"Octahedron, Square pyramid, Square plane",11,5,1.9110288827456472,2.0435588736377577,0.20372991065440807,0.8666666666666667,0.006207674943566591
5.0,See-saw,10,2,1.9169304081885805,2.1895531198582905,0.35286367055635487,1.0,0.0056433408577878106
5.0,"Square pyramid, T-shaped, Linear",10,1,1.946943371857392,2.0805486276629606,0.2382777084271602,1.0,0.0056433408577878106
5.0,"Octahedron, Square pyramid, Trigonal bipyramid, Square plane, See-saw",8,1,1.8933620845824557,2.0572232634607674,0.22555867610458183,1.0,0.004514672686230248
5.0,"Square pyramid, See-saw",6,2,1.9452138035662745,2.114785407349298,0.2378660655211289,1.0,0.003386004514672686
5.0,"Trigonal bipyramid, Square pyramid, Square plane, See-saw",6,2,1.9322174302307789,2.077704551219345,0.1494159527072534,1.0,0.003386004514672686
5.0,"Trigonal bipyramid, T-shaped",6,1,1.8826797758150082,2.3286316101868865,0.44030341644026044,1.0,0.003386004514672686
5.0,"Linear, Square plane",4,1,1.8571722417004244,2.091154680174416,0.3003858928407981,0.8,0.002257336343115124
5.0,"Octahedron, Square plane",4,1,1.9501364097234222,2.0673799724363993,0.17895282939857846,1.0,0.002257336343115124
