CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,2.0,36,2,1.9034974030235199,1.9034974030235199,0.0,0.9
1.0,1.3333333333333333,2,1,2.006739813308517,2.006739813308517,0.0,0.05
1.0,1.8,2,1,1.9998386471123735,1.9998386471123735,0.0,0.05
2.0,2.0,81,12,1.960821840501671,1.99061552063197,0.0297936801302989,0.28421052631578947
2.0,1.5,80,32,1.84012539345805,1.8428101717253438,0.002684778267293676,0.2807017543859649
2.0,1.0,62,13,1.8173254812297737,1.8308649060456659,0.013539424815892065,0.21754385964912282
2.0,1.6666666666666667,54,10,1.829068122383385,1.8322424218179427,0.0031742994345578383,0.18947368421052632
2.0,1.75,4,1,1.8050491784776108,1.8050491799227824,1.445171535981078e-09,0.014035087719298246
2.0,1.8,2,1,1.9352108800801,1.9771989792019915,0.04198809912189161,0.007017543859649123
2.0,1.83,2,1,1.8589303391753407,1.859058563375318,0.00012822419997710055,0.007017543859649123
3.0,2.0,210,45,1.8868402644346838,1.933321914874269,0.05482200120897,0.7865168539325843
3.0,1.8,20,2,1.9498173470487727,2.02987289598126,0.058360701525348314,0.0749063670411985
3.0,1.5,11,3,1.8563036796021612,2.065710618394535,0.2950097831834786,0.04119850187265917
3.0,1.0,8,8,,,,0.0299625468164794
3.0,1.75,6,3,1.8220417836209457,1.8711950145356908,0.06597060443462845,0.02247191011235955
3.0,1.6666666666666667,4,1,1.8322699859989182,1.8546578816733104,0.03154016246710595,0.0149812734082397
3.0,2.333333333333333,4,2,1.8273421511603152,1.853122905627567,0.03590058967825191,0.0149812734082397
3.0,2.5,4,1,1.8397078570453929,1.8509587072721936,0.008272309814863356,0.0149812734082397
4.0,2.0,1057,353,1.915579236513229,1.9568086449922721,0.041705397891924754,0.5965011286681715
4.0,2.5,169,26,1.8975536855282376,1.910040804077636,0.01162975031161326,0.09537246049661399
4.0,2.333333333333333,104,11,1.8519091385068671,1.9059961070112161,0.06428088765333098,0.05869074492099323
4.0,1.5,92,19,1.9217771446541951,1.9502269259407585,0.03138289815782741,0.05191873589164785
4.0,1.75,82,6,1.9131106836754697,1.9303131129283888,0.01665568758328794,0.046275395033860044
4.0,2.25,70,8,1.892055865104921,1.9287861583772554,0.03172746748140133,0.039503386004514675
4.0,3.0,41,18,1.8268551294679942,1.845769017420205,0.017442287895851605,0.023137697516930022
4.0,1.6666666666666667,38,13,1.9612060465859316,1.9894864165337773,0.023870744878493496,0.02144469525959368
4.0,1.0,37,17,1.9631381926196103,1.9855125683872232,0.024572077380395196,0.0208803611738149
4.0,1.3333333333333333,30,4,1.9760579747615286,1.9922439307657789,0.012013691435091083,0.016930022573363433
4.0,2.08,18,3,1.8462993841501811,1.9151535528609156,0.04775021858338577,0.010158013544018058
4.0,2.1666666666666665,15,1,1.8693459352577273,2.0194165883599937,0.17496491226080374,0.008465011286681716
4.0,1.8,6,2,1.9368303904653332,1.9575593982910504,0.02003670977928819,0.003386004514672686
4.0,2.142857142857143,4,1,1.8541970037117537,1.9077783296631932,0.04517650170149197,0.002257336343115124
4.0,1.33,3,1,1.9579168744524207,1.9582445980792464,0.00032772362682592177,0.001693002257336343
4.0,1.6,2,1,1.9145122822861902,1.9145122829221028,5.938780118820696e-10,0.001128668171557562
4.0,2.6666666666666665,2,1,,,,0.001128668171557562
4.0,1.67,1,1,,,,0.000564334085778781
4.0,2.83,1,1,,,,0.000564334085778781
5.0,2.0,1242,327,1.9410648371961554,2.0527875063180168,0.15861380934706812,0.7009029345372461
5.0,1.5,128,36,1.945833770591363,2.0665994142861717,0.192253313937811,0.07223476297968397
5.0,1.6666666666666667,75,14,1.930343896595667,2.0713949324527503,0.23913690222752976,0.04232505643340858
5.0,1.75,74,8,1.9380787420288947,2.0471684217245456,0.18075039800546291,0.0417607223476298
5.0,2.25,62,8,1.9550138316308143,2.031569739472203,0.12719712782411827,0.034988713318284424
5.0,2.5,56,13,1.9293875722855813,2.02419764632323,0.1577520188876133,0.03160270880361174
