material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cu_wyckoff,num_Cu_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1023127,Ba4Cu3PbO9,3.960136162363437,-2.882459965751112,[4.0],2.0,2.0,2.0,Square plane,6b,1,4.0,Cu,0.0,True,8.0,4.0,1.8734742518399998,2.0482112500000014,1.9608427509200004,0.08736849908000022,0.17473699816000154,90.0,51.96152422706632,0.0,180.0,4.0,1.0,1,Square plane
mp-1023127,Ba4Cu3PbO9,3.960136162363437,-2.882459965751112,[4.0],2.0,2.0,2.0,Square plane,6b,1,4.0,Cu,0.0,True,9.0,4.0,1.8734742518399994,2.0482112500000005,1.96084275092,0.08736849907999966,0.1747369981600011,90.0,51.96152422706632,0.0,180.0,4.0,1.0,2,Square plane
mp-1023127,Ba4Cu3PbO9,3.960136162363437,-2.882459965751112,[4.0],2.0,2.0,2.0,Square plane,6b,1,4.0,Cu,0.0,True,10.0,4.0,1.8734742518399994,2.0482112500000005,1.9608427509200002,0.08736849907999977,0.1747369981600011,90.0,51.96152422706632,0.0,180.0,4.0,1.0,3,Square plane
mp-1023127,Ba4Cu3PbO9,3.960136162363437,-2.882459965751112,[4.0],2.0,2.0,2.0,Square plane,6b,1,4.0,Cu,0.0,True,11.0,4.0,1.8734742518399994,2.0482112500000005,1.96084275092,0.08736849907999966,0.1747369981600011,90.0,51.96152422706632,0.0,180.0,4.0,1.0,4,Square plane
mp-1023127,Ba4Cu3PbO9,3.960136162363437,-2.882459965751112,[4.0],2.0,2.0,2.0,Square plane,6b,1,4.0,Cu,0.0,True,12.0,4.0,1.873474251839999,2.0482112500000014,1.96084275092,0.08736849908000044,0.17473699816000243,90.0,51.96152422706632,0.0,180.0,4.0,1.0,5,Square plane
mp-1023127,Ba4Cu3PbO9,3.960136162363437,-2.882459965751112,[4.0],2.0,2.0,2.0,Square plane,6b,1,4.0,Cu,0.0,True,13.0,4.0,1.87347425184,2.0482112500000005,1.96084275092,0.08736849907999988,0.17473699816000043,90.0,51.96152422706632,0.0,180.0,4.0,1.0,6,Square plane
mp-1035796,Mg14FeCuO16,1.7844386153678182,0.2160522036441709,[6.0],1.0,1.0,1.0,Octahedron,1c,1,6.0,Cu,0.0,True,15.0,6.0,2.120002865,2.233583359538824,2.1762137048977377,0.046376282182655514,0.1135804945388239,84.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1037287,Mg30CrCuO32,1.9268495358481617,0.1722178741848251,[6.0],1.0,1.0,1.0,Octahedron,1a,1,6.0,Cu,0.0,True,31.0,6.0,2.2219705394919993,2.2659627018030015,2.236634593595667,0.02073810419277835,0.043992162311002225,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1037288,Mg30CrCuO32,1.34715359484044,0.5040083037531635,[6.0],1.0,1.0,1.0,Octahedron,1a,1,6.0,Cu,0.0,True,31.0,6.0,2.231613643658,2.25980108599,2.2504052718793335,0.01328768774484114,0.02818744233199988,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1037298,Mg30FeCuO32,1.9545991370172189,0.1170117110777348,[6.0],1.0,1.0,1.0,Octahedron,1b,1,6.0,Cu,0.0,True,31.0,6.0,2.155118809248,2.185003279781001,2.1650802994256666,0.014087674510702742,0.02988447053300103,84.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1037357,Mg30FeCuO32,1.6778897508059345,0.3152011514114408,[6.0],1.0,1.0,1.0,Octahedron,1c,1,6.0,Cu,0.0,True,31.0,6.0,2.2310531877920003,2.2486179592170004,2.2427630354086667,0.008280112656405877,0.017564771425000014,96.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1037549,Mg30VCuO32,1.1851830847243383,0.5904347228553151,[6.0],1.0,1.0,1.0,Octahedron,1a,1,6.0,Cu,0.0,True,31.0,6.0,2.2213720421899996,2.254268013252,2.2433026895646666,0.015507309474437878,0.032895971062000484,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1037716,YMg30CuO32,2.3302858730802294,-0.0409070485033487,[6.0],1.0,1.0,1.0,Octahedron,1c,1,6.0,Cu,0.0,True,31.0,6.0,2.256218556744,2.258494096320001,2.2569770699360006,0.0010726996433653162,0.00227553957600124,96.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1037730,YMg30CuO32,3.453182388218643,-0.6789518850048102,[6.0],1.0,1.0,1.0,Octahedron,1b,1,6.0,Cu,0.0,True,31.0,6.0,2.1162648250999996,2.289700193088,2.231885541690667,0.0817561928220534,0.17343536798800052,84.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1038308,Mg30AlCuO32,0.9032941283129782,0.7600086762303553,[6.0],1.0,1.0,1.0,Octahedron,1b,1,6.0,Cu,0.0,True,31.0,6.0,2.2056814161459997,2.399818981947,2.2703939380796663,0.09151732617395761,0.19413756580100028,84.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1038310,Mg30AlCuO32,1.172753704987747,0.6020270787550177,[6.0],1.0,1.0,1.0,Octahedron,1c,1,6.0,Cu,0.0,True,31.0,6.0,2.229264400514999,2.2628503826640003,2.251655055281,0.0158325838202457,0.033585982149001214,96.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1041019,CuReO4,1.0857394237802636,1.3107652515308883,"[4.0, 5.0]",2.0,2.0,2.0,See-saw,4e,1,4.0,Cu,0.0,True,,,,,,,,,,,,,,0,See-saw
