CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
0.0,2,1,0.5,1.0
0.0,3,1,0.5,1.5
1.0,2,6,0.75,1.5
1.0,3,2,0.25,0.75
2.0,2,5,0.45454545454545453,0.9090909090909091
2.0,3,6,0.5454545454545454,1.6363636363636362
3.0,2,16,0.8888888888888888,1.7777777777777777
3.0,3,2,0.1111111111111111,0.3333333333333333
4.0,2,75,0.24834437086092714,0.4966887417218543
4.0,3,215,0.7119205298013245,2.135761589403973
4.0,4,9,0.029801324503311258,0.11920529801324503
4.0,5,1,0.0033112582781456954,0.016556291390728478
4.0,6,2,0.006622516556291391,0.039735099337748346
5.0,2,243,0.6585365853658537,1.3170731707317074
5.0,3,124,0.33604336043360433,1.008130081300813
5.0,4,2,0.005420054200542005,0.02168021680216802
6.0,1,2,0.001447178002894356,0.001447178002894356
6.0,2,376,0.27206946454413894,0.5441389290882779
6.0,3,970,0.7018813314037626,2.105643994211288
6.0,4,33,0.023878437047756874,0.0955137481910275
6.0,5,1,0.000723589001447178,0.00361794500723589
7.0,2,1,0.5,1.0
7.0,3,1,0.5,1.5
