CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Octahedron,2.333333333333333,25,12,2.002943673794147,2.002943673794147,0.0,1.0,0.5208333333333334
1.0,Octahedron,2.0,14,4,1.9967508121609452,1.9967508121609452,0.0,1.0,0.2916666666666667
1.0,Octahedron,3.0,4,2,1.9115724243509327,1.9115724243509327,0.0,1.0,0.08333333333333333
1.0,Octahedron,2.6666666666666665,3,2,1.958076857800516,1.958076857800516,0.0,1.0,0.0625
1.0,Octahedron,2.5,2,1,2.004156855914897,2.004156855914897,0.0,1.0,0.041666666666666664
1.0,"Pentagonal bipyramid, Octahedron",2.0,8,1,2.0462669365025374,2.0462669365025374,0.0,1.0,1.0
1.0,"Square-face capped trigonal prism, Pentagonal bipyramid, Octahedron",2.0,8,1,2.041641439760742,2.041641439760742,0.0,1.0,1.0
2.0,"Linear, Octahedron, Square pyramid",2.0,1,1,1.9537853009633854,1.953785300963386,5.661048867003676e-16,1.0,1.0
2.0,Octahedron,2.0,10,3,2.0019113306794996,2.0019113306795,2.737295801102583e-16,1.0,0.2857142857142857
2.0,Octahedron,2.333333333333333,10,7,1.9316302433572805,1.931839644105039,0.00020940074775846186,1.0,0.2857142857142857
2.0,Octahedron,3.0,10,6,1.9790430645522423,1.9875379902193426,0.008494925667100316,1.0,0.2857142857142857
2.0,Octahedron,2.6666666666666665,3,2,1.9373974925231188,1.9405068962064114,0.003109403683292371,1.0,0.08571428571428572
2.0,Octahedron,2.5,2,1,1.8849578364123587,1.9005053982832327,0.015547561870874027,1.0,0.05714285714285714
2.0,"Octahedron, Square pyramid",2.0,2,1,1.983596789310567,1.9839395366989658,0.0003427473883986787,1.0,1.0
3.0,"Linear, Octahedron, Square pyramid",2.0,2,1,2.126887771585181,2.1646191677054847,0.050168915774794015,1.0,1.0
3.0,Octahedron,2.6666666666666665,6,2,1.9369924920847499,1.965232274341619,0.024289445427490855,1.0,0.46153846153846156
3.0,Octahedron,2.0,4,1,2.0509603705475623,2.125209808304484,0.058221898887716596,1.0,0.3076923076923077
3.0,Octahedron,3.0,3,2,1.9269764626239285,1.9423172925766616,0.0216952097772143,1.0,0.23076923076923078
3.0,"Octahedron, Square pyramid",2.0,4,1,1.9866506058135103,2.0383050435470382,0.040767336192592055,1.0,1.0
3.0,Trigonal plane,2.0,54,12,1.8936618892284243,1.9046629392639858,0.01434277309960078,0.654320987654321,1.0
3.0,"Trigonal plane, Square pyramid, See-saw",2.0,2,1,1.968396541342956,2.0515072604649918,0.08173937374062706,1.0,1.0
3.0,"Trigonal plane, Tetrahedron",2.5,12,3,1.8562306091575407,1.871323875575878,0.010673174416476918,0.5555555555555555,1.0
4.0,"Linear, Octahedron, Square pyramid",2.0,1,1,,,,,1.0
4.0,Octahedron,3.0,101,21,1.9890439178091237,2.0219904600587184,0.0322847747460764,1.0,0.520618556701031
4.0,Octahedron,2.0,85,19,2.0836216409688433,2.1525387439443895,0.058131283161748946,1.0,0.4381443298969072
4.0,Octahedron,2.5,8,2,2.0151269709859565,2.0722723625664066,0.061433739865883574,1.0,0.041237113402061855
4.0,"Octahedron, See-saw",2.0,2,2,,,,,1.0
4.0,"Octahedron, Square plane, Square pyramid",3.25,2,1,1.8540867693644998,1.870367973698143,0.010141172171607617,1.0,1.0
4.0,"Octahedron, Square pyramid",2.0,3,2,2.0730310471389197,2.1305852609827163,0.05701444462806024,1.0,1.0
4.0,"Octahedron, Tetrahedron",3.0,594,85,1.883022827838762,1.9087793362535588,0.020904408062925844,0.9906621392190152,0.8296089385474861
4.0,"Octahedron, Tetrahedron",2.5,45,8,1.9538107588660059,1.9872718904353917,0.025458973581177054,1.0,0.06284916201117319
4.0,"Octahedron, Tetrahedron",2.0,40,6,1.9983423878686768,2.01443569996181,0.013192025852293196,1.0,0.055865921787709494
4.0,"Octahedron, Tetrahedron",2.6666666666666665,19,8,1.9056220340728787,1.9259650725556225,0.01752185975376669,1.0,0.02653631284916201
4.0,"Octahedron, Tetrahedron",2.333333333333333,16,2,1.962884348157254,1.9921503088699333,0.0199436293248451,1.0,0.0223463687150838
4.0,"Octahedron, Tetrahedron",3.333333333333333,2,1,1.879059409813895,1.882120711234665,0.00306130142076938,1.0,0.002793296089385475
4.0,"Octahedron, Tetrahedron, Square pyramid",3.0,28,2,1.8580225325501798,1.9047726756415337,0.032578878971929334,0.8928571428571429,0.875
4.0,"Octahedron, Tetrahedron, Square pyramid",3.333333333333333,4,1,1.800346315702427,1.839467948807798,0.023523089890041086,1.0,0.125
4.0,"Pentagonal pyramid, Octahedron",2.333333333333333,1,1,,,,,1.0
4.0,See-saw,4.0,4,1,1.8111112659865503,1.8338106335311097,0.027584889705142803,1.0,0.8
4.0,See-saw,2.0,1,1,,,,,0.2
4.0,"See-saw, Octahedron, Square pyramid",3.0,1,1,,,,,1.0
4.0,Square plane,2.0,16,7,1.9764256355847183,2.0043118518776635,0.028117447342809847,1.0,1.0
4.0,"Square plane, Octahedron",2.0,4,3,1.978060778917314,2.015542264092903,0.03748148517558894,1.0,0.6666666666666666
4.0,"Square plane, Octahedron",2.333333333333333,2,1,1.9589967367676557,2.031719535513962,0.06880624353101908,1.0,0.3333333333333333
4.0,"Square plane, Octahedron, Square pyramid",3.25,1,1,1.8643570659699997,1.8678629937975006,0.0035059278275000327,1.0,1.0
4.0,"Square pyramid, Square plane, See-saw",2.0,1,1,,,,,1.0
