CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,Octahedron,48,21,1.9907695249529578,1.9907695249529578,0.0,1.0,0.75
1.0,"Pentagonal bipyramid, Octahedron",8,1,2.0462669365025374,2.0462669365025374,0.0,1.0,0.125
1.0,"Square-face capped trigonal prism, Pentagonal bipyramid, Octahedron",8,1,2.041641439760742,2.041641439760742,0.0,1.0,0.125
2.0,Octahedron,35,19,1.9630844153224083,1.9667263181492716,0.0036419028268633055,1.0,0.9210526315789473
2.0,"Octahedron, Square pyramid",2,1,1.983596789310567,1.9839395366989658,0.0003427473883986787,1.0,0.05263157894736842
2.0,"Linear, Octahedron, Square pyramid",1,1,1.9537853009633854,1.953785300963386,5.661048867003676e-16,1.0,0.02631578947368421
3.0,Trigonal plane,54,12,1.8936618892284243,1.9046629392639858,0.01434277309960078,0.654320987654321,0.6206896551724138
3.0,Octahedron,13,5,1.9697481401977335,2.0091680582305873,0.03413153057288111,1.0,0.14942528735632185
3.0,"Trigonal plane, Tetrahedron",12,3,1.8562306091575407,1.871323875575878,0.010673174416476918,0.5555555555555555,0.13793103448275862
3.0,"Octahedron, Square pyramid",4,1,1.9866506058135103,2.0383050435470382,0.040767336192592055,1.0,0.04597701149425287
3.0,"Linear, Octahedron, Square pyramid",2,1,2.126887771585181,2.1646191677054847,0.050168915774794015,1.0,0.022988505747126436
3.0,"Trigonal plane, Square pyramid, See-saw",2,1,1.968396541342956,2.0515072604649918,0.08173937374062706,1.0,0.022988505747126436
4.0,"Octahedron, Tetrahedron",716,110,1.8963807486614297,1.9219517227346783,0.02059657834271258,0.9922644163150492,0.43158529234478604
4.0,Tetrahedron,633,154,1.882318066536622,1.9118603021990337,0.024186757968927813,0.8322314049586776,0.38155515370705245
4.0,Octahedron,194,42,2.031288442010321,2.080893626206169,0.04474227955371863,1.0,0.11693791440626884
4.0,"Octahedron, Tetrahedron, Square pyramid",32,3,1.8508130054442107,1.896609584787317,0.0314469053366933,0.90625,0.019288728149487643
4.0,Square plane,16,7,1.9764256355847183,2.0043118518776635,0.028117447342809847,1.0,0.009644364074743821
4.0,"Trigonal plane, Tetrahedron",10,3,1.9150627422406046,1.9208510931126692,0.007354672708988858,0.6,0.006027727546714889
4.0,"Trigonal bipyramid, Octahedron",8,3,2.1102906395777477,2.1306796376945125,0.017421372430716547,1.0,0.004822182037371911
4.0,"Trigonal bipyramid, See-saw",7,3,2.009072299173297,2.0277163725272804,0.01676647118823899,1.0,0.004219409282700422
4.0,"Square plane, Octahedron",6,4,1.9685287578424848,2.0236308998034325,0.05314386435330401,1.0,0.003616636528028933
4.0,See-saw,5,2,1.8111112659865503,1.8338106335311097,0.027584889705142803,1.0,0.0030138637733574444
4.0,"Trigonal bipyramid, Tetrahedron",5,3,1.977068508409041,2.021911413126063,0.03046319404104625,1.0,0.0030138637733574444
4.0,Trigonal bipyramid,4,3,2.081776596355322,2.1185722491811925,0.023293617985802775,1.0,0.0024110910186859553
4.0,no_data,4,2,1.976236771492223,2.164428841651188,0.18819207015896333,1.0,0.0024110910186859553
4.0,"Octahedron, Square pyramid",3,2,2.0730310471389197,2.1305852609827163,0.05701444462806024,1.0,0.0018083182640144665
4.0,"Octahedron, See-saw",2,2,,,,,0.0012055455093429777
4.0,"Octahedron, Square plane, Square pyramid",2,1,1.8540867693644998,1.870367973698143,0.010141172171607617,1.0,0.0012055455093429777
4.0,"Tetrahedron, Square pyramid",2,1,1.8281204264589466,1.8362759131632593,0.00534468350034437,1.0,0.0012055455093429777
4.0,"Trigonal bipyramid, Square plane",2,2,,,,,0.0012055455093429777
4.0,"Linear, Octahedron, Square pyramid",1,1,,,,,0.0006027727546714888
4.0,"Pentagonal pyramid, Octahedron",1,1,,,,,0.0006027727546714888
4.0,"See-saw, Octahedron, Square pyramid",1,1,,,,,0.0006027727546714888
4.0,"Square plane, Octahedron, Square pyramid",1,1,1.8643570659699997,1.8678629937975006,0.0035059278275000327,1.0,0.0006027727546714888
4.0,"Square pyramid, Square plane, See-saw",1,1,,,,,0.0006027727546714888
4.0,Square-face bicapped trigonal prism,1,1,,,,,0.0006027727546714888
4.0,"Trigonal bipyramid, Octahedron, Tetrahedron",1,1,,,,,0.0006027727546714888
4.0,"Trigonal plane, Square pyramid, See-saw",1,1,,,,,0.0006027727546714888
5.0,Trigonal bipyramid,645,208,1.9745687658960296,2.0801154092319134,0.08682758399117774,0.995897435897436,0.5269607843137255
5.0,Square pyramid,207,115,1.963314667533862,2.043925753527186,0.04911618406052893,0.963013698630137,0.16911764705882354
5.0,Octahedron,115,28,2.0691156114581366,2.136220305707656,0.066564293585325,1.0,0.09395424836601307
5.0,"Octahedron, Square pyramid",102,33,1.9025656541992344,1.9681840646267965,0.04430678895396443,0.9711340206185567,0.08333333333333333
5.0,"Trigonal bipyramid, Octahedron",66,33,1.9232818630871689,2.006538304612706,0.08896972534418826,1.0,0.05392156862745098
5.0,"Trigonal bipyramid, Octahedron, Square pyramid",16,2,1.9191166588276127,1.9855954528808846,0.060345805564347446,1.0,0.013071895424836602
5.0,"Trigonal bipyramid, Square pyramid",16,1,1.9023212199516664,1.9463514839828746,0.04118305890215599,1.0,0.013071895424836602
5.0,"Trigonal bipyramid, See-saw",10,3,1.9978482094863836,2.200792539754173,0.325926484070411,1.0,0.008169934640522876
5.0,"Octahedron, Tetrahedron, Square pyramid",9,3,1.9210613738273727,2.0272548314070864,0.11076194942762813,1.0,0.007352941176470588
5.0,no_data,9,3,2.0966938132251647,2.157354662415473,0.039862520227080554,1.0,0.007352941176470588
5.0,"Trigonal bipyramid, Octahedron, Tetrahedron",5,1,1.9709315893860615,2.063291337265457,0.1504054946011065,1.0,0.004084967320261438
5.0,"Trigonal bipyramid, Tetrahedron",5,3,1.9817608060048721,2.1619708059651592,0.24090659429302283,1.0,0.004084967320261438
5.0,"Trigonal plane, Square pyramid, See-saw",4,1,2.045348112156016,2.2401710557874446,0.20299938657694885,1.0,0.0032679738562091504
5.0,"Octahedron, Square plane, Square pyramid",2,1,1.8942325915270006,1.9381491299597142,0.03516049367067711,0.6,0.0016339869281045752
5.0,"Square plane, Octahedron, Square pyramid",2,1,1.8856166726460022,1.9363671974259888,0.04392174756757024,0.6,0.0016339869281045752
5.0,"Square pyramid, Square plane, See-saw",2,1,2.066951268749442,2.129904939884864,0.04523049972614019,1.0,0.0016339869281045752
5.0,"Trigonal bipyramid, Square plane",2,2,,,,,0.0016339869281045752
5.0,"Dodecahedron with triangular faces - p2345 plane normalized, Octahedron",1,1,,,,,0.0008169934640522876
5.0,"Pentagonal bipyramid, Octahedron",1,1,,,,,0.0008169934640522876
5.0,"Square plane, Octahedron",1,1,,,,,0.0008169934640522876
5.0,"Tetrahedron, Square pyramid",1,1,,,,,0.0008169934640522876
5.0,"Trigonal prism, Octahedron",1,1,,,,,0.0008169934640522876
5.0,"Trigonal prism, Octahedron, Square pyramid",1,1,,,,,0.0008169934640522876
5.0,"Trigonal prism, Trigonal bipyramid, Octahedron, Square pyramid",1,1,,,,,0.0008169934640522876
6.0,Octahedron,5624,1438,2.006552048875176,2.0848106031146454,0.06295313085648115,0.998327659320313,0.795024031665253
6.0,"Octahedron, Tetrahedron",843,110,2.0144020509167495,2.0693666442147496,0.057225804032973455,1.0,0.1191687871077184
6.0,"Trigonal bipyramid, Octahedron",186,32,1.9819351349478043,2.1195474404539185,0.1451355542687817,1.0,0.026293469041560644
6.0,"Octahedron, Square pyramid",181,33,1.9587401347131799,2.0376683133823725,0.08345482046223525,0.9742173112338859,0.025586655357647724
6.0,"Trigonal prism, Octahedron",39,6,2.005358370495979,2.115064887101061,0.10078670892008239,1.0,0.00551314673452078
6.0,no_data,31,5,2.062107247560915,2.1285589193364833,0.09770886491901402,1.0,0.004382244840260108
6.0,"Octahedron, Tetrahedron, Square pyramid",28,3,1.9672742342408094,2.145150377977529,0.24639429143683103,1.0,0.003958156629912355
6.0,"Octahedron, Cube",20,3,2.0172676832197274,2.070651020392525,0.044329763952186615,1.0,0.0028272547356516823
6.0,"Trigonal prism, Trigonal bipyramid, Octahedron, Square pyramid",20,1,2.0829871244301343,2.2643751075928846,0.2578971460933503,1.0,0.0028272547356516823
6.0,"Trigonal bipyramid, Octahedron, Square pyramid",14,2,1.9877989247122023,2.0442364746402424,0.050667457142121376,1.0,0.0019790783149561775
6.0,"Square plane, Octahedron",13,3,2.044324461760885,2.161054409060389,0.08858886166103447,1.0,0.0018377155781735934
6.0,Trigonal prism,13,5,2.0666421357986158,2.161341393211091,0.08937633643191112,1.0,0.0018377155781735934
6.0,"Dodecahedron with triangular faces - p2345 plane normalized, Octahedron",8,1,1.9853619777211888,2.1109301402698004,0.09774636688607044,1.0,0.0011309018942606728
6.0,"Octahedron, See-saw",8,2,2.0860971007259574,2.215666857661099,0.1343881326715722,1.0,0.0011309018942606728
6.0,"See-saw, Octahedron, Square pyramid",8,1,1.9204474717934825,2.1367734293785987,0.26410181791431797,1.0,0.0011309018942606728
6.0,"Trigonal prism, Octahedron, Square pyramid",8,1,2.113029760735147,2.197621744528783,0.06789839295007766,1.0,0.0011309018942606728
6.0,"Pentagonal pyramid, Octahedron",7,1,2.031054041759528,2.181791628275828,0.14134368455055882,1.0,0.0009895391574780887
6.0,"Square plane, Octahedron, Square pyramid",7,1,1.9374610835219606,1.97915816640982,0.04305090616535399,0.6666666666666666,0.0009895391574780887
6.0,"Octahedron, Square plane, Square pyramid",6,1,1.9317864154681537,1.9891209892909139,0.05213818633136714,0.6666666666666666,0.0008481764206955047
6.0,"Pentagonal bipyramid, Octahedron",6,2,2.0685581596642404,2.204294724243758,0.12570570851694254,1.0,0.0008481764206955047
6.0,"Trigonal bipyramid, Octahedron, Tetrahedron",4,1,2.0258403005560988,2.0703036205846566,0.029904153374952502,1.0,0.0005654509471303364
7.0,Pentagonal bipyramid,4,1,1.961851326343084,2.0781744240791866,0.07650522125697115,1.0,0.5
7.0,"Pentagonal bipyramid, Octahedron",4,1,2.0570004537325355,2.324713634331805,0.26002082280651717,1.0,0.5
8.0,"Octahedron, Cube",8,2,2.2619586066773647,2.38491860384282,0.12295659181684747,1.0,1.0
