material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Fe_wyckoff,num_Fe_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1022808,Ba2NbFeO6,1.779063084849549,0.4093750858556083,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Fe,0.0,True,12.0,6.0,2.0300519421994494,2.0984400829065946,2.0642460106501175,0.03419406567593968,0.06838814070714516,57.66056964947852,26.575551179744622,25.902819679456897,102.4709806836267,6.0,1.0,1,Octahedron
mp-1022808,Ba2NbFeO6,1.779063084849549,0.4093750858556083,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Fe,0.0,True,13.0,6.0,2.030051942199449,2.098440082906595,2.0642460106501175,0.03419406567594005,0.06838814070714605,57.660569649478525,26.57555117974463,25.902819679456897,102.4709806836267,6.0,1.0,2,Octahedron
mp-1022808,Ba2NbFeO6,1.779063084849549,0.4093750858556083,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Fe,0.0,True,14.0,6.0,2.030051942199451,2.098440082906593,2.064246010650118,0.0341940656759385,0.06838814070714161,57.660569649478525,26.575551179744625,25.902819679456897,102.4709806836267,6.0,1.0,3,Octahedron
mp-1022808,Ba2NbFeO6,1.779063084849549,0.4093750858556083,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Fe,0.0,True,15.0,6.0,2.03005194219945,2.098440082906594,2.0642460106501175,0.034194065675939384,0.06838814070714427,57.66056964947852,26.575551179744622,25.902819679456897,102.4709806836267,6.0,1.0,4,Octahedron
mp-1022809,Ba4NbFeO8,1.8060292873198365,0.272686270807271,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Fe,0.0,True,20.0,4.0,1.852481456303133,1.9437277757961242,1.886736057586022,0.035925208448863925,0.09124631949299111,76.49072099880314,19.78144889178639,44.5762831509533,106.76219870522195,2.0,0.5,1,Tetrahedron
mp-1022809,Ba4NbFeO8,1.8060292873198365,0.272686270807271,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Fe,0.0,True,21.0,4.0,1.852481456303132,1.9437277757961242,1.8867360575860224,0.035925208448864064,0.09124631949299222,109.30158783443807,5.336300594863986,104.52121679913367,120.14342511180222,2.0,0.5,2,Tetrahedron
mp-1022809,Ba4NbFeO8,1.8060292873198365,0.272686270807271,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Fe,0.0,True,22.0,4.0,1.852481456303133,1.943727775796124,1.8867360575860226,0.03592520844886363,0.09124631949299089,76.49072099880314,19.781448891786376,44.57628315095333,106.7621987052219,2.0,0.5,3,Tetrahedron
mp-1022809,Ba4NbFeO8,1.8060292873198365,0.272686270807271,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Fe,0.0,True,23.0,4.0,1.8524814563031333,1.9437277757961244,1.8867360575860226,0.035925208448863696,0.09124631949299111,109.30158783443805,5.336300594864023,104.52121679913364,120.14342511180229,2.0,0.5,4,Tetrahedron
mp-1032467,LiMg6FeO8,2.5943250815214407,-0.7229975368646541,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Fe,0.0,True,7.0,6.0,2.062391070176279,2.108110725,2.0928708400587595,0.02155245197290762,0.04571965482372109,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1032500,LiMg6FeO8,1.5566671367770712,0.7364536148662136,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Fe,0.0,True,7.0,6.0,1.9749635190404145,2.117948565,2.0702868830134715,0.06740379707086168,0.1429850459595854,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1035435,LiMg14FeO16,1.5193393867219416,0.7901645248298281,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Fe,0.0,True,15.0,6.0,1.9975426185236946,2.123898465,2.068793273693264,0.0528327990752927,0.12635584647630527,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1035445,LiMg14FeO16,1.5461592211584012,0.7587417749039227,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Fe,0.0,True,15.0,6.0,2.04719615548923,2.124431205,2.0729411719928206,0.036408951502895866,0.07723504951077009,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1035457,NaMg14FeO16,1.4062985472475584,0.9684942798120492,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Fe,0.0,True,15.0,6.0,2.0458506266329852,2.1444264550000005,2.0787092360886574,0.04646909113293131,0.09857582836701528,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1035481,NaMg14FeO16,1.2971906888870992,1.1152686673712342,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Fe,0.0,True,15.0,6.0,1.968607939680214,2.1452853,2.072717655084156,0.07549789873631758,0.17667736031978576,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1035796,Mg14FeCuO16,1.7675068093035449,0.5000549169475926,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Fe,0.0,True,14.0,6.0,2.049738885461176,2.1759355601743455,2.11522577021184,0.05163019564251509,0.12619667471316953,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1037298,Mg30FeCuO32,1.1943455080827703,1.3757607547431556,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Fe,0.0,True,30.0,6.0,2.075375220218999,2.1857276539679997,2.1489435093849996,0.05202063614957155,0.11035243374900094,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1037357,Mg30FeCuO32,1.4091061204665452,0.9722787172316432,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Fe,0.0,True,30.0,6.0,2.076980046498,2.095269520344001,2.0830765377800002,0.00862174065389363,0.01828947384600088,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1037593,LiMg30FeO32,2.201771429972033e-05,2.9229035946973143,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Fe,0.0,True,31.0,6.0,2.002106292871999,2.0683762348320003,2.024196273525333,0.03123995023250335,0.06626994196000124,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1037604,KMg30FeO32,0.2811015815266073,2.569050585587205,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Fe,0.0,True,31.0,6.0,1.9263138225879999,2.1323698091620003,2.063684480304,0.09713572360703975,0.20605598657400037,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1037677,LiMg30FeO32,1.5594837127509111,0.7351532673359915,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Fe,0.0,True,31.0,6.0,2.0302599704449995,2.089250432,2.069586944815,0.02780837026057639,0.05899046155500054,72.0,36.0,0.0,90.0,6.0,1.0,1,Octahedron
mp-1038379,Mg30AlFeO32,0.97726690174536,0.7213721952599836,[6.0],1.0,1.0,1.0,Octahedron,1b,1,6.0,Fe,0.0,True,31.0,6.0,2.2134376178640003,2.3977180458810015,2.2748644272030005,0.08687062686051993,0.18428042801700117,84.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1040459,NaFe3P3O13,1.9007802921486303,0.2161870346939191,"[5.0, 6.0]",3.333333333333333,3.0,4.0,"Octahedron, Square pyramid","2a, 2e",2,5.0,Fe,1.0,False,4.0,5.0,1.903244875505939,2.000090518894736,1.9630267224944684,0.03600438287289653,0.0968456433887972,83.06899609910094,33.58049387899122,4.918173100870822,151.2106678404447,5.0,1.0,1,"Octahedron, Square pyramid"
mp-1040459,NaFe3P3O13,1.9007802921486303,0.2161870346939191,"[5.0, 6.0]",3.333333333333333,3.0,4.0,"Octahedron, Square pyramid","2a, 2e",2,5.0,Fe,1.0,False,6.0,5.0,1.9032448755059426,2.0000905188947384,1.9630267224944693,0.036004382872896305,0.09684564338879587,83.06899609910094,33.58049387899123,4.918173100870822,151.21066784044473,5.0,1.0,2,"Octahedron, Square pyramid"
mp-1040459,NaFe3P3O13,1.9007802921486303,0.2161870346939191,"[5.0, 6.0]",3.333333333333333,3.0,4.0,"Octahedron, Square pyramid","2a, 2e",2,6.0,Fe,1.0,False,2.0,6.0,1.9484529825396404,2.209645843771687,2.0333511778276487,0.08789837398271676,0.26119286123204644,93.12409696744106,34.4149438196194,2.9525809069692293,163.36736267576214,6.0,1.0,1,"Octahedron, Square pyramid"
mp-1040459,NaFe3P3O13,1.9007802921486303,0.2161870346939191,"[5.0, 6.0]",3.333333333333333,3.0,4.0,"Octahedron, Square pyramid","2a, 2e",2,6.0,Fe,1.0,False,3.0,6.0,1.9484529825396404,2.2096458437716873,2.0333511778276487,0.08789837398271733,0.2611928612320469,93.12409696744106,34.41494381961943,2.952580906969106,163.36736267576214,6.0,1.0,2,"Octahedron, Square pyramid"
