material_id,status,file_path,error,updated_at
mp-1020596,downloaded,out/12/Ga/structures_cif/mp-1020596.cif,,2026-04-13T17:46:00
mp-1020613,downloaded,out/12/Ga/structures_cif/mp-1020613.cif,,2026-04-13T17:46:00
mp-1020709,downloaded,out/12/Ga/structures_cif/mp-1020709.cif,,2026-04-13T17:46:00
mp-1020723,downloaded,out/12/Ga/structures_cif/mp-1020723.cif,,2026-04-13T17:46:00
mp-1031142,downloaded,out/12/Ga/structures_cif/mp-1031142.cif,,2026-04-13T17:46:00
mp-1034314,downloaded,out/12/Ga/structures_cif/mp-1034314.cif,,2026-04-13T17:46:00
mp-1034608,downloaded,out/12/Ga/structures_cif/mp-1034608.cif,,2026-04-13T17:46:00
mp-1035108,downloaded,out/12/Ga/structures_cif/mp-1035108.cif,,2026-04-13T17:46:01
mp-1035113,downloaded,out/12/Ga/structures_cif/mp-1035113.cif,,2026-04-13T17:46:01
mp-1039695,downloaded,out/12/Ga/structures_cif/mp-1039695.cif,,2026-04-13T17:46:01
mp-1039783,downloaded,out/12/Ga/structures_cif/mp-1039783.cif,,2026-04-13T17:46:01
mp-1040051,downloaded,out/12/Ga/structures_cif/mp-1040051.cif,,2026-04-13T17:46:01
mp-1097025,downloaded,out/12/Ga/structures_cif/mp-1097025.cif,,2026-04-13T17:46:02
mp-1101038,downloaded,out/12/Ga/structures_cif/mp-1101038.cif,,2026-04-13T17:46:02
mp-1101269,downloaded,out/12/Ga/structures_cif/mp-1101269.cif,,2026-04-13T17:46:02
mp-1106089,downloaded,out/12/Ga/structures_cif/mp-1106089.cif,,2026-04-13T17:46:02
mp-1153970,downloaded,out/12/Ga/structures_cif/mp-1153970.cif,,2026-04-13T17:46:02
mp-1173092,downloaded,out/12/Ga/structures_cif/mp-1173092.cif,,2026-04-13T17:46:02
mp-1173145,downloaded,out/12/Ga/structures_cif/mp-1173145.cif,,2026-04-13T17:46:02
mp-1173173,downloaded,out/12/Ga/structures_cif/mp-1173173.cif,,2026-04-13T17:46:03
mp-1173241,downloaded,out/12/Ga/structures_cif/mp-1173241.cif,,2026-04-13T17:46:03
mp-1173259,downloaded,out/12/Ga/structures_cif/mp-1173259.cif,,2026-04-13T17:46:03
mp-1173829,downloaded,out/12/Ga/structures_cif/mp-1173829.cif,,2026-04-13T17:46:03
mp-11773,downloaded,out/12/Ga/structures_cif/mp-11773.cif,,2026-04-13T17:46:03
mp-1178206,downloaded,out/12/Ga/structures_cif/mp-1178206.cif,,2026-04-13T17:46:03
mp-1178283,downloaded,out/12/Ga/structures_cif/mp-1178283.cif,,2026-04-13T17:46:03
mp-1178422,downloaded,out/12/Ga/structures_cif/mp-1178422.cif,,2026-04-13T17:46:04
mp-1180739,downloaded,out/12/Ga/structures_cif/mp-1180739.cif,,2026-04-13T17:46:04
mp-1181313,downloaded,out/12/Ga/structures_cif/mp-1181313.cif,,2026-04-13T17:46:04
mp-1186921,downloaded,out/12/Ga/structures_cif/mp-1186921.cif,,2026-04-13T17:46:04
mp-1187872,downloaded,out/12/Ga/structures_cif/mp-1187872.cif,,2026-04-13T17:46:04
mp-1192369,downloaded,out/12/Ga/structures_cif/mp-1192369.cif,,2026-04-13T17:46:04
mp-1192501,downloaded,out/12/Ga/structures_cif/mp-1192501.cif,,2026-04-13T17:46:04
mp-1194398,downloaded,out/12/Ga/structures_cif/mp-1194398.cif,,2026-04-13T17:46:05
mp-1194652,downloaded,out/12/Ga/structures_cif/mp-1194652.cif,,2026-04-13T17:46:05
mp-1195154,downloaded,out/12/Ga/structures_cif/mp-1195154.cif,,2026-04-13T17:46:05
mp-1195176,downloaded,out/12/Ga/structures_cif/mp-1195176.cif,,2026-04-13T17:46:05
mp-1195423,downloaded,out/12/Ga/structures_cif/mp-1195423.cif,,2026-04-13T17:46:05
mp-1195440,downloaded,out/12/Ga/structures_cif/mp-1195440.cif,,2026-04-13T17:46:06
mp-1195660,downloaded,out/12/Ga/structures_cif/mp-1195660.cif,,2026-04-13T17:46:06
mp-1195697,downloaded,out/12/Ga/structures_cif/mp-1195697.cif,,2026-04-13T17:46:06
mp-1195913,downloaded,out/12/Ga/structures_cif/mp-1195913.cif,,2026-04-13T17:46:06
mp-1196063,downloaded,out/12/Ga/structures_cif/mp-1196063.cif,,2026-04-13T17:46:06
mp-1197280,downloaded,out/12/Ga/structures_cif/mp-1197280.cif,,2026-04-13T17:46:06
