material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ga_wyckoff,num_Ga_chemenvs,CN,element,charge_range,is_single_charge
mp-1020596,NaGa(GeO3)2,1.673396723295155,0.5480457387676398,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Ga,0.0,True
mp-1020613,Rb5GaO4,1.945188272835097,-0.1565864331450746,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True
mp-1020709,Sr5(Ga3O7)2,1.7762290576726971,0.3505258058305404,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True
mp-1020723,Sr2Ga2O5,1.6677464588313011,0.7438473053163044,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True
mp-1031142,LiMg6GaO8,1.3364076272938088,1.0319481768863366,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,Ga,0.0,True
mp-1034314,NaMg14GaO16,1.2030043113397262,1.235749934485343,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,Ga,0.0,True
mp-1034608,NaMg14GaO16,1.1135649577138749,1.3538664335392907,[6.0],3.0,3.0,3.0,Octahedron,1e,1,6.0,Ga,0.0,True
mp-1035108,LiMg14GaO16,1.348257788775071,1.011926916959265,[6.0],3.0,3.0,3.0,Octahedron,1e,1,6.0,Ga,0.0,True
mp-1035113,LiMg14GaO16,1.3569296883738238,1.0045238296082293,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,Ga,0.0,True
mp-1039695,NaMg30GaO32,0.8352371176009749,1.7560734575109418,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,Ga,0.0,True
mp-1039783,NaMg30GaO32,0.8543562982742229,1.7197111497506548,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,Ga,0.0,True
mp-1040051,LiMg30GaO32,1.2990682853769713,1.080015557704902,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,Ga,0.0,True
mp-1097025,GaFe2BO5,1.75072311233337,0.4234558470375912,[6.0],3.0,3.0,3.0,Octahedron,4g,1,6.0,Ga,0.0,True
mp-1101038,TiGa2O5,1.837717932957328,0.2627560326065853,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Ga,0.0,True
mp-1101269,TmGaO3,2.156307219769543,-0.3422490445109249,[5.0],3.0,3.0,3.0,Trigonal bipyramid,2c,1,5.0,Ga,0.0,True
mp-1106089,Ba2InGaO5,1.7333252239761556,0.4687803298606687,[4.0],3.0,3.0,3.0,Tetrahedron,2b,1,4.0,Ga,0.0,True
mp-1153970,Zn4InGaO7,1.8044892683065328,0.2881229503538994,[5.0],3.0,3.0,3.0,Trigonal bipyramid,2d,1,5.0,Ga,0.0,True
mp-1173092,NaCaGaSi2O7,1.7677764934678897,0.2923538570612741,[4.0],3.0,3.0,3.0,Tetrahedron,4a,1,4.0,Ga,0.0,True
mp-1173145,SrPrGaCuO5,1.49571133835371,1.3401605680473945,[4.0],3.0,3.0,3.0,Tetrahedron,1a,1,4.0,Ga,0.0,True
mp-1173173,SrLaGaCuO5,1.6148112440327371,0.9101258323123328,[4.0],3.0,3.0,3.0,Tetrahedron,1a,1,4.0,Ga,0.0,True
