CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Tetrahedron,3.0,4,1,1.9226946193725545,1.9226946193725545,0.0,1.0,1.0
2.0,Tetrahedron,3.0,3,2,1.9329215216329336,1.9526458542881797,0.01972433265524609,1.0,1.0
3.0,Tetrahedron,3.0,10,2,1.9066115657462017,1.9926585826145433,0.11359632985360324,1.0,1.0
3.0,"Tetrahedron, Octahedron",3.0,3,2,1.912556072999644,1.926099261798343,0.009764668036730597,1.0,1.0
4.0,Octahedron,3.0,16,4,1.9385898042255587,1.972087324406723,0.03189042866755115,1.0,1.0
4.0,Tetrahedron,3.0,1035,189,1.8399997723317165,1.866810025667467,0.023292394274781865,0.9731075697211156,1.0
4.0,"Tetrahedron, Octahedron",3.0,342,57,1.8617826762055596,1.8732697261726026,0.009790720107358049,0.9918397626112759,0.9771428571428571
4.0,"Tetrahedron, Octahedron",2.6666666666666665,8,1,1.8735169905825775,1.9034042245424316,0.01830108161910181,1.0,0.022857142857142857
4.0,"Tetrahedron, Octahedron, Trigonal bipyramid",3.0,18,6,1.861822286149858,1.8821344250927416,0.013883224041803914,0.984375,1.0
4.0,"Tetrahedron, Square pyramid",3.0,1,1,,,,,1.0
4.0,"Tetrahedron, Trigonal bipyramid",3.0,4,1,1.8954461270219056,1.898706591149704,0.005644444693494611,1.0,1.0
4.0,Trigonal bipyramid,3.0,1,1,,,,,1.0
5.0,Square pyramid,3.0,4,3,1.8986646718799989,1.9703483292147703,0.03584182866738574,1.0,1.0
5.0,"Square pyramid, Octahedron",3.0,4,1,1.9025026634269726,1.9365334983463554,0.0250278041554137,1.0,1.0
5.0,"Tetrahedron, Octahedron",3.0,3,1,1.9930995072750692,2.043538734031472,0.04202534071194381,1.0,1.0
5.0,"Tetrahedron, Octahedron, Trigonal bipyramid",3.0,11,6,1.8533149676023934,2.0072833825548524,0.21094272321328106,1.0,1.0
5.0,"Tetrahedron, Square pyramid",3.0,4,1,1.837300664860408,2.1119108733895775,0.5013066503843857,1.0,1.0
5.0,"Tetrahedron, Trigonal bipyramid",3.0,2,1,1.8619054083427322,2.022118762883728,0.20723725127397447,1.0,1.0
5.0,Trigonal bipyramid,3.0,122,36,1.8860791187705535,1.950689811776895,0.05540023528655683,0.9384615384615385,1.0
6.0,Octahedron,3.0,1353,249,1.9254822595699705,2.003674041179089,0.05927371472690463,0.9995061728395062,1.0
6.0,"Square pyramid, Octahedron",3.0,2,1,1.973398358687945,2.010166765601967,0.026042729964660012,1.0,1.0
6.0,"Tetrahedron, Octahedron",3.0,359,56,1.9647698205932826,2.0395461659868395,0.08065670755422141,0.9986072423398329,0.9624664879356568
6.0,"Tetrahedron, Octahedron",2.6666666666666665,14,1,1.9533709058859288,2.0323644178032176,0.06422426883704226,1.0,0.03753351206434316
6.0,"Tetrahedron, Octahedron, Trigonal bipyramid",3.0,62,6,1.903120469655777,2.054021475854182,0.16776368884743556,1.0,1.0
