CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,Tetrahedron,4,1,1.9226946193725545,1.9226946193725545,0.0,1.0,1.0
2.0,Tetrahedron,3,2,1.9329215216329336,1.9526458542881797,0.01972433265524609,1.0,1.0
3.0,Tetrahedron,10,2,1.9066115657462017,1.9926585826145433,0.11359632985360324,1.0,0.7692307692307693
3.0,"Tetrahedron, Octahedron",3,2,1.912556072999644,1.926099261798343,0.009764668036730597,1.0,0.23076923076923078
4.0,Tetrahedron,1035,189,1.8399997723317165,1.866810025667467,0.023292394274781865,0.9731075697211156,0.7263157894736842
4.0,"Tetrahedron, Octahedron",350,58,1.8620547762490849,1.8739684971492945,0.009988061823572397,0.9920289855072464,0.24561403508771928
4.0,"Tetrahedron, Octahedron, Trigonal bipyramid",18,6,1.861822286149858,1.8821344250927416,0.013883224041803914,0.984375,0.01263157894736842
4.0,Octahedron,16,4,1.9385898042255587,1.972087324406723,0.03189042866755115,1.0,0.011228070175438596
4.0,"Tetrahedron, Trigonal bipyramid",4,1,1.8954461270219056,1.898706591149704,0.005644444693494611,1.0,0.002807017543859649
4.0,"Tetrahedron, Square pyramid",1,1,,,,,0.0007017543859649122
4.0,Trigonal bipyramid,1,1,,,,,0.0007017543859649122
5.0,Trigonal bipyramid,122,36,1.8860791187705535,1.950689811776895,0.05540023528655683,0.9384615384615385,0.8133333333333334
5.0,"Tetrahedron, Octahedron, Trigonal bipyramid",11,6,1.8533149676023934,2.0072833825548524,0.21094272321328106,1.0,0.07333333333333333
5.0,Square pyramid,4,3,1.8986646718799989,1.9703483292147703,0.03584182866738574,1.0,0.02666666666666667
5.0,"Square pyramid, Octahedron",4,1,1.9025026634269726,1.9365334983463554,0.0250278041554137,1.0,0.02666666666666667
5.0,"Tetrahedron, Square pyramid",4,1,1.837300664860408,2.1119108733895775,0.5013066503843857,1.0,0.02666666666666667
5.0,"Tetrahedron, Octahedron",3,1,1.9930995072750692,2.043538734031472,0.04202534071194381,1.0,0.02
5.0,"Tetrahedron, Trigonal bipyramid",2,1,1.8619054083427322,2.022118762883728,0.20723725127397447,1.0,0.013333333333333334
6.0,Octahedron,1353,249,1.9254822595699705,2.003674041179089,0.05927371472690463,0.9995061728395062,0.7558659217877095
6.0,"Tetrahedron, Octahedron",373,57,1.9643419792905936,2.039276609754746,0.08003994041738359,0.9986595174262735,0.20837988826815643
6.0,"Tetrahedron, Octahedron, Trigonal bipyramid",62,6,1.903120469655777,2.054021475854182,0.16776368884743556,1.0,0.034636871508379886
6.0,"Square pyramid, Octahedron",2,1,1.973398358687945,2.010166765601967,0.026042729964660012,1.0,0.0011173184357541898
