material_id,status,file_path,error,updated_at
mp-10080,downloaded,out/12/Ge/structures_cif/mp-10080.cif,,2026-04-13T17:47:23
mp-1019548,downloaded,out/12/Ge/structures_cif/mp-1019548.cif,,2026-04-13T17:47:23
mp-1019566,downloaded,out/12/Ge/structures_cif/mp-1019566.cif,,2026-04-13T17:47:23
mp-1019739,downloaded,out/12/Ge/structures_cif/mp-1019739.cif,,2026-04-13T17:47:23
mp-1020012,downloaded,out/12/Ge/structures_cif/mp-1020012.cif,,2026-04-13T17:47:24
mp-1020030,downloaded,out/12/Ge/structures_cif/mp-1020030.cif,,2026-04-13T17:47:24
mp-1020596,downloaded,out/12/Ge/structures_cif/mp-1020596.cif,,2026-04-13T17:47:24
mp-1020628,downloaded,out/12/Ge/structures_cif/mp-1020628.cif,,2026-04-13T17:47:24
mp-1020650,downloaded,out/12/Ge/structures_cif/mp-1020650.cif,,2026-04-13T17:47:24
mp-1020704,downloaded,out/12/Ge/structures_cif/mp-1020704.cif,,2026-04-13T17:47:24
mp-1020707,downloaded,out/12/Ge/structures_cif/mp-1020707.cif,,2026-04-13T17:47:24
mp-1020896,downloaded,out/12/Ge/structures_cif/mp-1020896.cif,,2026-04-13T17:47:24
mp-1021510,downloaded,out/12/Ge/structures_cif/mp-1021510.cif,,2026-04-13T17:47:25
mp-1021514,downloaded,out/12/Ge/structures_cif/mp-1021514.cif,,2026-04-13T17:47:25
mp-1042864,downloaded,out/12/Ge/structures_cif/mp-1042864.cif,,2026-04-13T17:47:25
mp-1042873,downloaded,out/12/Ge/structures_cif/mp-1042873.cif,,2026-04-13T17:47:25
mp-1042982,downloaded,out/12/Ge/structures_cif/mp-1042982.cif,,2026-04-13T17:47:25
mp-1043032,downloaded,out/12/Ge/structures_cif/mp-1043032.cif,,2026-04-13T17:47:25
mp-1043139,downloaded,out/12/Ge/structures_cif/mp-1043139.cif,,2026-04-13T17:47:25
mp-1043149,downloaded,out/12/Ge/structures_cif/mp-1043149.cif,,2026-04-13T17:47:26
mp-1043162,downloaded,out/12/Ge/structures_cif/mp-1043162.cif,,2026-04-13T17:47:26
mp-1043165,downloaded,out/12/Ge/structures_cif/mp-1043165.cif,,2026-04-13T17:47:26
