material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ge_wyckoff,num_Ge_chemenvs,CN,element,charge_range,is_single_charge
mp-10080,PrGeBO5,1.7479217273897507,0.2526667300297363,[4.0],4.0,4.0,4.0,Tetrahedron,3a,1,4.0,Ge,0.0,True
mp-1019548,BaGe(S2O7)3,1.87842776366918,0.005414111513511,[6.0],4.0,4.0,4.0,Octahedron,4a,1,6.0,Ge,0.0,True
mp-1019566,Ca3ZnGe5O14,1.7914430770140384,0.3133640009791813,[4.0],4.0,4.0,4.0,Tetrahedron,"2c, 1b",1,4.0,Ge,0.0,True
mp-1019739,Eu2Ge(BO4)2,1.7736447904048669,0.5209854615736875,[4.0],4.0,4.0,4.0,Tetrahedron,4c,1,4.0,Ge,0.0,True
mp-1020012,Li2Ge4O9,1.7848878805817818,0.3001800861784729,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron",4a,2,4.0,Ge,0.0,True
mp-1020012,Li2Ge4O9,1.7848878805817818,0.3001800861784729,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron",4a,2,6.0,Ge,0.0,True
mp-1020030,LiAl(GeO3)2,1.7286150118722894,0.932175162778968,"[4.0, 5.0]",4.0,4.0,4.0,"Tetrahedron, Trigonal bipyramid",4e,2,4.0,Ge,0.0,True
mp-1020030,LiAl(GeO3)2,1.7286150118722894,0.932175162778968,"[4.0, 5.0]",4.0,4.0,4.0,"Tetrahedron, Trigonal bipyramid",4e,2,5.0,Ge,0.0,True
mp-1020596,NaGa(GeO3)2,1.7762689215003842,0.2643388433766034,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Ge,0.0,True
mp-1020628,SrGe(PO4)2,1.6475730960168171,0.5462654613212766,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Ge,0.0,True
mp-1020650,Sr3Ge2(B3O8)2,1.7681398796209322,0.1614143972943415,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-1020704,Sr2Ge(S2O7)4,1.6752038227844674,0.5027173973109105,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Ge,0.0,True
mp-1020707,Rb2GeB4O9,1.7722529012983417,0.3223029599226182,[4.0],4.0,4.0,4.0,Tetrahedron,2a,1,4.0,Ge,0.0,True
mp-1020896,Rb4Ge3B6O17,1.7733070755119826,0.4173931748783094,[4.0],4.0,4.0,4.0,Tetrahedron,2a,1,4.0,Ge,0.0,True
mp-1021510,LiGe2(PO4)3,1.752060513844858,0.3288057044234502,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Ge,0.0,True
mp-1021514,NaGe2(PO4)3,1.774803615141045,0.2745410680573466,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Ge,0.0,True
mp-1042864,Ti(GeO3)2,1.7689498168875233,0.0608514367117558,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Ge,0.0,True
mp-1042873,Sn(GeO3)2,1.7720342421005413,0.2786038830887209,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Ge,0.0,True
mp-1042982,CaTi(GeO3)2,1.9708567099548189,-0.0208328683930851,"[3.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Triangular non-coplanar",4e,2,3.0,Ge,0.0,True
mp-1042982,CaTi(GeO3)2,1.9708567099548189,-0.0208328683930851,"[3.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Triangular non-coplanar",4e,2,5.0,Ge,0.0,True
mp-1043032,Ti(GeO3)2,1.7692953343731346,0.0479639862181809,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-1043139,CaNi(GeO3)2,1.7828450358548724,0.7734394105579371,"[4.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Tetrahedron",4e,2,4.0,Ge,0.0,True
mp-1043139,CaNi(GeO3)2,1.7828450358548724,0.7734394105579371,"[4.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Tetrahedron",4e,2,5.0,Ge,0.0,True
mp-1043149,MgCo(GeO3)2,1.7860131552669531,0.3630826381536762,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-1043162,MgNi(GeO3)2,1.7863787482598816,0.4108287299635549,[4.0],4.0,4.0,4.0,Tetrahedron,8f,1,4.0,Ge,0.0,True
mp-1043165,CaNi(GeO3)2,1.7855377037978597,0.360947142512087,[4.0],4.0,4.0,4.0,Tetrahedron,8f,1,4.0,Ge,0.0,True
mp-1043166,ZnNi(GeO3)2,1.7834223820814523,0.3004325957390463,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Ge,0.0,True
mp-1043170,CaCo(GeO3)2,1.788203576612506,0.8072929609945436,"[4.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Tetrahedron",4e,2,4.0,Ge,0.0,True
mp-1043170,CaCo(GeO3)2,1.788203576612506,0.8072929609945436,"[4.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Tetrahedron",4e,2,5.0,Ge,0.0,True
