CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
3.0,Triangular non-coplanar,2.0,2,1,1.956953422598669,1.956953504674126,6.17669306742737e-08,1.0,1.0
3.0,"Trigonal bipyramid, Triangular non-coplanar",4.0,4,1,1.907889383596798,1.9472273915553915,0.028896347629952582,1.0,1.0
4.0,"Octahedron, Square pyramid, Tetrahedron",4.0,1,1,,,,,1.0
4.0,"Octahedron, Tetrahedron",4.0,60,36,1.7585703908251062,1.7739681211989005,0.009750898300698162,1.0,1.0
4.0,"Octahedron, Tetrahedron, Trigonal bipyramid",4.0,1,1,,,,,1.0
4.0,Tetrahedron,4.0,1766,365,1.7469228411965834,1.7760312055616885,0.023212026934767753,0.932372175980975,0.9971767363071711
4.0,Tetrahedron,3.0,4,1,1.7648089720899978,1.7726731672106462,0.005243243586952599,1.0,0.002258610954263128
4.0,Tetrahedron,3.66666667,1,1,,,,,0.000564652738565782
4.0,"Tetrahedron, Trigonal bipyramid",4.0,6,3,1.7292011057676298,1.7572839171368968,0.021159712729996723,1.0,1.0
4.0,"Trigonal bipyramid, Tetrahedron",4.0,51,22,1.730117816157871,1.7730154975539927,0.031276726565868815,1.0,1.0
5.0,"Octahedron, Square pyramid",4.0,1,1,,,,,1.0
5.0,"Octahedron, Square pyramid, Tetrahedron",4.0,1,1,,,,,1.0
5.0,"Octahedron, Tetrahedron, Trigonal bipyramid",4.0,1,1,,,,,1.0
5.0,Square pyramid,4.0,25,13,1.7577184346974009,1.8560875249945452,0.0634144268222931,1.0,1.0
5.0,Tetrahedron,4.0,8,1,1.7424838717009747,2.0185779116998916,0.47349051612089593,1.0,1.0
5.0,"Tetrahedron, Trigonal bipyramid",4.0,20,3,1.748067524661197,1.926954940064818,0.2914923892033654,1.0,1.0
5.0,Trigonal bipyramid,4.0,4,1,1.7549315792704328,1.8906313934858217,0.11852460500783113,1.0,1.0
5.0,"Trigonal bipyramid, Tetrahedron",4.0,80,22,1.7694005202315173,1.943111128496959,0.3034977884158212,1.0,1.0
5.0,"Trigonal bipyramid, Triangular non-coplanar",4.0,1,1,,,,,1.0
6.0,Octahedron,4.0,548,93,1.8593640161881726,1.9139003302574362,0.04437675325918735,1.0,1.0
6.0,"Octahedron, Square pyramid",4.0,8,1,1.8536741658758897,1.9773997302378417,0.2359455385105411,1.0,1.0
6.0,"Octahedron, Square pyramid, Tetrahedron",4.0,6,1,1.7923098849335666,2.054107905513782,0.3793916431762488,1.0,1.0
6.0,"Octahedron, Tetrahedron",4.0,487,36,1.8033287897914918,2.0761617986970835,0.361533165165837,1.0,1.0
6.0,"Octahedron, Tetrahedron, Trigonal bipyramid",4.0,8,1,1.7922408210680139,2.055590469054822,0.37243543885618596,0.9166666666666666,1.0
