material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Hf_wyckoff,num_Hf_chemenvs,CN,element,charge_range,is_single_charge
mp-1101177,Y2Hf2O7,1.9065213715782516,0.8707041726521828,[5.0],4.0,4.0,4.0,Trigonal bipyramid,2i,1,5.0,Hf,0.0,True
mp-1178405,Cs2HfO3,1.6655496660383586,1.666413077027686,[5.0],4.0,4.0,4.0,Square pyramid,2c,1,5.0,Hf,0.0,True
mp-1178408,Cs2HfO3,1.9648093756007672,0.5925035520135816,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Hf,0.0,True
mp-1198622,Li7La3Hf2O12,1.9902722135894728,0.2307351717193426,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Hf,0.0,True
mp-1201301,K2Hf2O5,1.6882487300412194,1.061028808512304,[6.0],4.0,4.0,4.0,Octahedron,8e,1,6.0,Hf,0.0,True
mp-1205471,K10Hf3Mo12PbO48,0.9989918353740596,2.664924278634266,[6.0],4.0,4.0,4.0,Octahedron,"2c, 1a",1,6.0,Hf,0.0,True
mp-1207897,Y2Hf2(MoO4)7,1.9570706338456767,0.3030558330564129,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Hf,0.0,True
mp-1208737,Tb2Hf2(MoO4)7,1.9432864866396624,0.3408779137702364,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Hf,0.0,True
mp-1209249,Sm2Hf2(MoO4)7,1.9308477665513135,0.3800370342333574,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Hf,0.0,True
mp-1209493,Rb8Hf(MoO4)6,0.8638091195141161,3.0118522903345797,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Hf,0.0,True
mp-1210635,Na2Hf(MoO4)3,1.7146891260462347,0.7832526756489728,[8.0],4.0,4.0,4.0,Dodecahedron with triangular faces - p2345 plane normalized,2e,1,8.0,Hf,0.0,True
mp-1211649,K4HfO4,1.956357922378031,0.1461194673506482,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Hf,0.0,True
mp-1212158,Hf3GeO8,1.9615717001168895,0.3237805072083661,[8.0],4.0,4.0,4.0,"Cube, Dodecahedron with triangular faces - p2345 plane normalized","2d, 1b",2,8.0,Hf,0.0,True
mp-1212404,HfCdO3,2.1669191270453863,-0.2147307092355125,[6.0],4.0,4.0,4.0,Octahedron,4a,1,6.0,Hf,0.0,True
mp-1212595,Ho2Hf2(MoO4)7,1.9454814268692624,0.33116177943188,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Hf,0.0,True
mp-1213333,Gd2Hf2(MoO4)7,1.9649549670631452,0.2900005148944712,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Hf,0.0,True
mp-1213558,Eu2Hf2(MoO4)7,1.969359478777061,0.2927542018414352,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Hf,0.0,True
