CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,"Trigonal prism, Octahedron",4.0,121,33,2.255575054957136,2.255575054957136,0.0,1.0,1.0
2.0,Octahedron,4.0,1,1,2.0590692986221852,2.1104478744794184,0.051378575857233155,1.0,1.0
2.0,"Trigonal prism, Octahedron",4.0,242,33,2.19207436646124,2.2164333678486203,0.02435900138738047,1.0,1.0
3.0,Octahedron,4.0,9,3,2.055328311653224,2.1710618531605568,0.11726715815649857,1.0,1.0
3.0,"Trigonal prism, Octahedron",4.0,137,33,2.12603551498343,2.1720979996885297,0.040294849400334766,1.0,1.0
4.0,Octahedron,4.0,8,3,2.0658321453433937,2.1159627521061655,0.04393816766659278,1.0,1.0
4.0,Tetrahedron,4.0,10,3,1.9405833011995306,1.961095501958671,0.019988986650252106,0.2,1.0
4.0,"Trigonal prism, Octahedron",4.0,10,10,2.090270298322382,2.1475193347538286,0.04197640064579776,1.0,1.0
5.0,Square pyramid,4.0,18,6,1.9483332335469359,2.023915965068725,0.03989423487569401,0.8888888888888888,1.0
5.0,Trigonal bipyramid,4.0,2,1,1.9510521548212,2.0508825180845287,0.1357549920624168,1.0,1.0
6.0,"Cube, Pentagonal bipyramid, Square-face capped trigonal prism, Octahedron",4.0,12,1,2.053927701215145,2.0798809976793984,0.022366201619156836,1.0,1.0
6.0,"Cube, Square-face capped trigonal prism, Octahedron",4.0,6,1,2.020094278686721,2.0786683432572497,0.04110086441384353,1.0,1.0
6.0,Octahedron,4.0,2122,331,1.9999594407220278,2.077776759785364,0.05641017444946446,0.9957587181903864,1.0
6.0,"Pentagonal bipyramid, Octahedron",4.0,2,1,1.9927488958306345,2.0545913425068543,0.048048845274479085,1.0,1.0
6.0,"Square-face capped trigonal prism, Octahedron",4.0,11,7,2.05655161565019,2.077908280772846,0.014961362111924925,1.0,1.0
6.0,"Trigonal prism, Octahedron",4.0,5,1,2.007502372039377,2.1027216171400767,0.09521616162844197,1.0,1.0
6.0,no_data,4.0,113,14,2.005197806070089,2.075572209725846,0.060055186347657594,1.0,1.0
7.0,"Cube, Pentagonal bipyramid, Square-face capped trigonal prism, Octahedron",4.0,24,1,2.0516989430883776,2.17308463674131,0.08941508362389783,1.0,1.0
7.0,"Cube, Square-face capped trigonal prism, Octahedron",4.0,20,1,2.080211416351253,2.161492217608987,0.06528285291503004,1.0,1.0
7.0,Pentagonal bipyramid,4.0,4,1,1.922384769100426,2.1294552104281737,0.11404111487871907,1.0,1.0
7.0,"Pentagonal bipyramid, Octahedron",4.0,2,1,2.034821054665624,2.1395307974269477,0.11476581642137014,1.0,1.0
7.0,Square-face capped trigonal prism,4.0,24,4,2.034341780288403,2.1354815932269577,0.06098665895414527,1.0,1.0
7.0,"Square-face capped trigonal prism, Octahedron",4.0,46,7,2.04056285993227,2.167109301460629,0.12587622362858122,1.0,1.0
8.0,"Cube, Dodecahedron with triangular faces - p2345 plane normalized",4.0,3,1,2.0702482229177805,2.2132011267033556,0.14295290361518784,1.0,1.0
8.0,"Cube, Pentagonal bipyramid, Square-face capped trigonal prism, Octahedron",4.0,2,1,2.2100211292504577,2.291841820648246,0.14171753027968706,1.0,1.0
8.0,"Cube, Square-face capped trigonal prism, Octahedron",4.0,6,1,2.0636956673095237,2.3025297008033183,0.30036799888706983,1.0,1.0
8.0,Dodecahedron with triangular faces - p2345 plane normalized,4.0,6,3,2.1215639173606995,2.2110684618449077,0.08449629225035542,1.0,1.0
8.0,Square antiprism,4.0,4,1,2.0683223699656574,2.204839471175746,0.10016880400984465,1.0,1.0
