material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-1205446,Hg8Br3O4,7,"[1, 2, 3, 4]",1.5248168979428358,1.110336212673736,"Single neighbor, Linear, See-saw, T-shaped, Angular",1.4285714285714286,1.0,2.0
mp-642625,Hg12SbBr(ClO3)2,6,"[1, 2]",2.115617216994032,0.526229047686522,"Single neighbor, Triangular non-coplanar, Angular",1.0,1.0,1.0
mp-29958,Hg7(PO5)2,4,"[2, 3, 4]",2.179554936261728,0.1808052966751926,"See-saw, Triangular non-coplanar, Linear",1.5,1.0,2.0
mp-541193,Hg7Cl2O3,4,"[1, 2, 3]",1.6721439111738905,0.8272736593626014,"Single neighbor, Linear, Angular",1.25,1.0,2.0
mp-558934,Hg3ClO,4,"[1, 2]",1.6825219365282134,0.8882952527600375,"Triangular non-coplanar, Angular",1.0,1.0,1.0
mp-667291,ReHg2O5,4,"[1, 5, 6]",2.040953524374811,0.406152605332076,"See-saw, Square pyramid, Octahedron",1.5,1.0,2.0
mp-1198489,Hg3H4(IO6)2,3,"[2, 3, 4]",2.169474412220231,0.21389144402548058,"Face-capped octahedron, Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2.0,2.0,2.0
mp-1203433,Hg3AsO5,3,"[4, 5, 6]",2.106390425078348,0.3922496626766993,"Tetrahedron, Square pyramid, Octahedron",1.6666666666666667,1.0,2.0
mp-1212477,Hg3BI2(OF2)2,3,[2],2.078886070806806,0.1123134847828628,"See-saw, T-shaped",2.0,2.0,2.0
mp-23358,Hg5(ClO2)2,3,"[2, 4]",0.6789869613684653,2.5117702009509086,"Tetrahedron, See-saw, Linear",2.0,2.0,2.0
mp-23395,Hg2ClO,3,[2],1.934892478237014,0.5841334031887397,"See-saw, Triangular non-coplanar, Linear",1.6666666666666667,1.0,2.0
mp-23543,Hg5(BrO2)2,3,"[2, 4]",0.6097023854327682,2.661671598094076,"See-saw, Linear",2.0,2.0,2.0
mp-29112,CrHg5O6,3,"[1, 3, 6]",2.1269493602648395,0.5251156548960416,"Triangular non-coplanar, Octahedron",1.3333333333333333,1.0,2.0
mp-29189,V(HgO2)2,3,"[1, 4, 6]",2.008505806485594,0.4013964272323578,"See-saw, Square pyramid, Octahedron",1.3333333333333333,1.0,2.0
mp-540645,Hg3(ClO)2,3,"[2, 3]",1.9934473732398053,0.5084445506881211,"Linear, Tetrahedron, T-shaped, Trigonal bipyramid, Trigonal prism",2.0,2.0,2.0
mp-541164,Hg9(AsO4)4,3,"[3, 4]",2.4942788465267984,0.0073214958496388,See-saw,1.3333333333333333,1.0,2.0
mp-555759,Re2(HgO2)5,3,"[4, 5, 6]",2.195426198669174,0.2792226969091196,"See-saw, Octahedron",1.3333333333333333,1.0,2.0
mp-565679,Hg4Se4O9,3,"[3, 4, 7]",2.5009566237878724,0.0329860634507445,no_data,2.0,2.0,2.0
mp-754598,Hg3SeO6,3,"[2, 6, 7]",2.097246031071799,0.394074735568081,"Face-capped octahedron, Square pyramid, Trigonal prism",2.0,2.0,2.0
mp-1184786,Hg2P2O7,2,"[6, 7]",1.8872029801671533,0.4989499487199104,"Octahedron, Square-face capped trigonal prism",2.0,2.0,2.0
mp-1193677,Hg3As2(HO4)2,2,"[1, 6]",2.221631431011548,0.234752140040651,"Triangular non-coplanar, Octahedron",1.5,1.0,2.0
mp-1194584,Hg3Te2SeO10,2,"[6, 8]",2.3289384891526064,0.1713601018998631,"Dodecahedron with triangular faces, Octahedron, Square-face capped trigonal prism",2.0,2.0,2.0
mp-1202858,Hg2GeS6Cl2O21,2,"[4, 5]",2.45327254943755,0.2255282562445614,"Cube, Square-face capped trigonal prism",2.0,2.0,2.0
mp-1228161,Ba6Ca3Cu6Hg3O19,2,"[3, 4]",1.645026858663531,1.2410554781290248,"T-shaped, Square plane",2.0,2.0,2.0
