CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
1.0,1,11,0.8461538461538461,0.8461538461538461
1.0,2,2,0.15384615384615385,0.3076923076923077
2.0,1,11,0.3793103448275862,0.3793103448275862
2.0,2,18,0.6206896551724138,1.2413793103448276
3.0,1,10,0.37037037037037035,0.37037037037037035
3.0,2,17,0.6296296296296297,1.2592592592592593
4.0,1,3,0.1111111111111111,0.1111111111111111
4.0,2,24,0.8888888888888888,1.7777777777777777
5.0,1,3,0.2727272727272727,0.2727272727272727
5.0,2,8,0.7272727272727273,1.4545454545454546
6.0,2,22,1.0,2.0
7.0,2,12,1.0,2.0
8.0,2,7,1.0,2.0
