CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Angular,1.0,1,1,,,,,1.0
1.0,"See-saw, Square pyramid, Octahedron",1.3333333333333333,1,1,,,,,0.5
1.0,"See-saw, Square pyramid, Octahedron",1.5,1,1,,,,,0.5
1.0,"Single neighbor, Linear, Angular",1.25,4,1,2.3382232919330903,2.3382232919330903,0.0,1.0,1.0
1.0,"Single neighbor, Linear, See-saw, T-shaped, Angular",1.4285714285714286,24,1,2.1861820445499687,2.1861820445499687,0.0,1.0,1.0
1.0,"Single neighbor, Triangular non-coplanar, Angular",1.0,72,1,2.2565938059364483,2.2565938059364483,0.0,1.0,1.0
1.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2.0,16,1,2.1613041590779005,2.1613041590779005,0.0,1.0,1.0
1.0,Triangular non-coplanar,1.0,1,1,,,,,1.0
1.0,"Triangular non-coplanar, Angular",1.0,74,3,2.185232982267632,2.185232982267632,0.0,1.0,1.0
1.0,"Triangular non-coplanar, Octahedron",1.3333333333333333,1,1,,,,,0.5
1.0,"Triangular non-coplanar, Octahedron",1.5,1,1,,,,,0.5
2.0,Angular,1.0,1,1,,,,,1.0
2.0,"Angular, Square pyramid, Triangular non-coplanar",1.0,1,1,,,,,1.0
2.0,"Face-capped octahedron, Square pyramid, Trigonal prism",2.0,1,1,,,,,1.0
2.0,"Face-capped octahedron, Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2.0,1,1,,,,,1.0
2.0,Linear,2.0,1,1,,,,,1.0
2.0,"Linear, Octahedron",2.0,1,1,,,,,1.0
2.0,"Linear, Tetrahedron, T-shaped, Trigonal bipyramid, Trigonal prism",2.0,16,1,2.1301569896274724,2.2466725525887155,0.11651556296124296,1.0,1.0
2.0,"Octahedron, Trigonal prism",2.0,1,1,,,,,1.0
2.0,"See-saw, Linear",2.0,4,1,2.0973036620707184,2.097435707722568,0.00013204565184987693,1.0,1.0
2.0,"See-saw, Octahedron",2.0,1,1,,,,,1.0
2.0,"See-saw, T-shaped",2.0,36,1,2.117645916448403,2.1799237409073196,0.06227782445891686,1.0,0.972972972972973
2.0,"See-saw, T-shaped",1.0,1,1,,,,,0.02702702702702703
2.0,"See-saw, Triangular non-coplanar, Linear",1.6666666666666667,24,1,2.2483504724406465,2.3116561547149588,0.0633056822743126,1.0,0.96
2.0,"See-saw, Triangular non-coplanar, Linear",1.5,1,1,,,,,0.04
2.0,"Single neighbor, Linear, Angular",1.25,40,1,2.167689086718166,2.309412233263626,0.1417231465454601,1.0,1.0
2.0,"Single neighbor, Linear, See-saw, T-shaped, Angular",1.4285714285714286,36,1,2.155029401722649,2.2777511317271855,0.12272173000453655,1.0,1.0
2.0,"Single neighbor, Triangular non-coplanar, Angular",1.0,36,1,2.2802954090031475,2.496661406596536,0.21636599759338868,1.0,1.0
2.0,"Square pyramid, Linear",2.0,2,1,2.1095492528491446,2.1095492528491446,3.790538507934088e-16,1.0,1.0
2.0,"T-shaped, Linear",2.0,2,2,2.0021920023128628,2.002192002312863,5.495323605393213e-16,0.0,1.0
2.0,"T-shaped, Square pyramid, Linear",2.0,1,1,,,,,1.0
2.0,"Tetrahedron, See-saw, Linear",2.0,4,1,2.0822937251797358,2.082374634695422,8.090951568634486e-05,1.0,1.0
2.0,Triangular non-coplanar,1.0,2,2,,,,,1.0
2.0,"Triangular non-coplanar, Angular",1.0,18,4,2.2283601616316053,2.3910326210453583,0.16267245941375302,1.0,1.0
