material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-40373,In14Ga3Pt2O8F15,3,"[0, 1, 3]",2.170851780068524,0.11895109804152841,"Octahedron, Trigonal bipyramid",1.85714286,1.85714286,1.85714286
mp-682284,Zn3In2O6,3,"[4, 5, 6]",1.9968402459547343,0.324206574367028,"Octahedron, Trigonal bipyramid",3.0,3.0,3.0
mp-757574,Ba8In8O19,3,"[3, 4, 6]",1.968364671520409,0.3537357144346072,"Tetrahedron, Octahedron, Triangular non-coplanar",2.6666666666666665,2.0,3.0
mp-778848,In3NO3,3,"[3, 4, 6]",2.044046755708416,0.2723840634450025,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-863430,Zn3In2O6,3,"[4, 5, 6]",2.032379961829938,0.2787698429922696,"Octahedron, Trigonal bipyramid",3.0,3.0,3.0
mp-1006588,Zn3In2O6,2,"[5, 6]",1.8749125267093785,0.6103925088662606,"Octahedron, Trigonal bipyramid",3.0,3.0,3.0
mp-1191856,In2As2Cl2O5,2,"[4, 5]",2.1713198629783568,0.0588714741765267,Octahedron,3.0,3.0,3.0
mp-1193780,MnInO3,2,"[6, 7]",1.7572939462942023,0.6499468374523099,"Octahedron, Face-capped octahedron",3.0,3.0,3.0
mp-1194952,Ba2In2Si3SO10,2,"[4, 5]",1.8579927686911408,0.5582190737891196,Octahedron,3.0,3.0,3.0
mp-1223964,In4(SnO4)3,2,"[6, 7]",1.904920093961827,0.4579838899572626,Square-face capped trigonal prism,3.0,3.0,3.0
mp-17100,In2P2O7,2,"[4, 6]",2.551469666093703,-0.1547913611626573,"Tridiminished icosahedron, Octahedron",2.0,2.0,2.0
mp-20546,Ba2In2O5,2,"[4, 6]",1.951053176588322,0.4197588015717401,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-22512,Sr2In2O5,2,"[4, 6]",2.029553715588006,0.2802606290356487,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-27563,Rb2In4O7,2,"[4, 6]",1.952022420092695,0.3410981563673926,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-31232,In2PO5,2,"[5, 6]",1.8114367666608595,0.5430581224783821,"Octahedron, Square pyramid",2.5,2.0,3.0
mp-554506,K3In3(PO4)4,2,"[6, 7]",1.8655362445004933,0.4628702192104176,"Octahedron, Pentagonal bipyramid",3.0,3.0,3.0
mp-557237,K5In3(SiO3)7,2,"[5, 6]",1.851449264883344,0.5154091586678329,"Octahedron, Trigonal bipyramid",3.0,3.0,3.0
