CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,"Octahedron, Trigonal bipyramid",6,1,2.2585686561314695,2.2585686561314695,0.0,1.0,1.0
3.0,"Octahedron, Trigonal bipyramid",6,1,2.262723868673624,2.270715197441491,0.007639998594457291,1.0,0.6
3.0,"Tetrahedron, Octahedron",2,1,2.1519082913374064,2.1519085144231975,1.5774547541103099e-07,1.0,0.2
3.0,"Tetrahedron, Octahedron, Triangular non-coplanar",2,1,2.093960256929976,2.099646528754972,0.008041602734248464,1.0,0.2
4.0,Tetrahedron,66,11,2.075423700385837,2.101583745808567,0.023684073655733936,0.6212121212121212,0.5546218487394958
4.0,Octahedron,26,6,2.1544834219433335,2.180578542496334,0.024696609039931445,1.0,0.2184873949579832
4.0,"Tetrahedron, Octahedron",21,7,2.111173429132512,2.1237094774489558,0.011068502458383972,1.0,0.17647058823529413
4.0,"Octahedron, Trigonal bipyramid",2,2,,,,,0.01680672268907563
4.0,"Tetrahedron, Octahedron, Triangular non-coplanar",2,1,2.0444420174205007,2.0617893851964886,0.01745399349722377,1.0,0.01680672268907563
4.0,See-saw,1,1,,,,,0.008403361344537815
4.0,"Tridiminished icosahedron, Octahedron",1,1,,,,,0.008403361344537815
5.0,Trigonal bipyramid,32,7,2.089240379799107,2.1179196159500404,0.016554629246570692,1.0,0.36363636363636365
5.0,Square pyramid,19,9,2.102473835413438,2.153264388077971,0.03127512958934709,0.431578947368421,0.2159090909090909
5.0,"Octahedron, Trigonal bipyramid",16,4,2.074968113983652,2.172752988933229,0.1418710963124609,1.0,0.18181818181818182
5.0,Octahedron,12,6,2.1224804665973704,2.2005953906971145,0.07127174282604157,0.64,0.13636363636363635
5.0,"Octahedron, Trigonal bipyramid, Square pyramid",8,1,2.0761125277689105,2.2036269939328497,0.10268112287904935,1.0,0.09090909090909091
5.0,"Octahedron, Square pyramid",1,1,,,,,0.011363636363636364
6.0,Octahedron,1958,369,2.1013789608733062,2.16799637194841,0.05027291244424063,0.999828972122456,0.9323809523809524
6.0,"Tetrahedron, Octahedron",44,7,2.1950763212262263,2.210938260263522,0.015032080629260662,1.0,0.02095238095238095
6.0,"Octahedron, Trigonal bipyramid",20,4,2.1842222253369643,2.224951094795863,0.03913058052937664,1.0,0.009523809523809525
6.0,no_data,20,2,2.147329932496847,2.157295668504716,0.009965736007868417,1.0,0.009523809523809525
6.0,"Octahedron, Trigonal prism",15,1,2.1502072264564833,2.201610873971069,0.039263733724546356,1.0,0.007142857142857143
6.0,"Octahedron, Face-capped octahedron",11,4,2.16344671962505,2.2271491385796227,0.05866430712278864,1.0,0.005238095238095238
6.0,"Octahedron, Pentagonal bipyramid",8,1,2.1072283630284354,2.177037274671694,0.051150092420799514,1.0,0.0038095238095238095
6.0,"Octahedron, Dodecahedron with triangular faces, Square antiprism",4,1,2.141491216091344,2.187681163761667,0.06755837874877599,1.0,0.0019047619047619048
6.0,"Octahedron, Square pyramid",4,1,2.1540841278422427,2.3195121886620633,0.1785632608099461,1.0,0.0019047619047619048
6.0,"Octahedron, Trigonal bipyramid, Square pyramid",4,1,2.098096626189082,2.202121721628741,0.1472839173040524,1.0,0.0019047619047619048
6.0,"Tetrahedron, Octahedron, Triangular non-coplanar",4,1,2.126325335674323,2.2081461072031114,0.08413624934410308,1.0,0.0019047619047619048
6.0,"Tridiminished icosahedron, Octahedron",4,1,2.105034989796413,2.140510712093928,0.026432899686244113,1.0,0.0019047619047619048
6.0,Trigonal prism,2,1,2.1569833514151164,2.2218548296601437,0.052807247002155236,1.0,0.0009523809523809524
6.0,Square-face capped trigonal prism,1,1,,,,,0.0004761904761904762
6.0,"Trigonal prism, Square-face capped trigonal prism",1,1,,,,,0.0004761904761904762
7.0,Square-face capped trigonal prism,26,4,2.1214917714389285,2.2898760742140634,0.1758569845967713,1.0,0.43333333333333335
7.0,"Octahedron, Face-capped octahedron",13,4,2.1823254500673612,2.297600295641725,0.14481465694078693,1.0,0.21666666666666667
7.0,"Trigonal prism, Square-face capped trigonal prism",11,1,2.0945788416276794,2.2715764417049424,0.17799477981448406,1.0,0.18333333333333332
7.0,"Octahedron, Pentagonal bipyramid",4,1,2.1445849782103408,2.2809346945235687,0.09785528892007149,1.0,0.06666666666666667
7.0,Face-capped octahedron,3,2,2.204718202381463,2.2599606410855646,0.09428446777519232,1.0,0.05
7.0,Pentagonal bipyramid,3,2,2.141456222547566,2.256030207069084,0.06729372009569773,1.0,0.05
8.0,Cube,20,5,2.1513712394424425,2.360030864959791,0.12573804768005423,1.0,0.625
8.0,"Octahedron, Dodecahedron with triangular faces, Square antiprism",4,1,2.154805337600413,2.4160572258332103,0.2798417573241593,1.0,0.125
8.0,Square-face bicapped trigonal prism,4,1,2.2264993609608723,2.386920548229879,0.18697251725519898,1.0,0.125
8.0,Bicapped octahedron (opposed cap faces),2,1,2.3605932629011583,2.451842052487232,0.15804741944031914,1.0,0.0625
8.0,Dodecahedron with triangular faces - p2345 plane normalized,2,1,2.27227736139197,2.3353346683901304,0.0630550354533056,1.0,0.0625
