material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,In_wyckoff,num_In_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1006588,Zn3In2O6,1.8749125267093785,0.6103925088662606,"[5.0, 6.0]",3.0,3.0,3.0,"Octahedron, Trigonal bipyramid","2e, 2a",2,5.0,In,0.0,True,13.0,5.0,2.0479643917340162,2.4767005345354978,2.1739920872834313,0.1691411358730823,0.42873614280148153,95.87252989568925,37.15340133582213,18.968912581607455,179.46014320420986,5.0,1.0,1,"Octahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,1.8749125267093785,0.6103925088662606,"[5.0, 6.0]",3.0,3.0,3.0,"Octahedron, Trigonal bipyramid","2e, 2a",2,5.0,In,0.0,True,14.0,5.0,2.090748427908302,2.7867567039589063,2.2394146083442403,0.2741434720714727,0.6960082760506041,95.5887408655415,37.444199979329035,19.753365833594646,179.62838552377104,5.0,1.0,2,"Octahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,1.8749125267093785,0.6103925088662606,"[5.0, 6.0]",3.0,3.0,3.0,"Octahedron, Trigonal bipyramid","2e, 2a",2,5.0,In,0.0,True,18.0,5.0,2.090748427908301,2.7867567039589014,2.23941460834424,0.2741434720714707,0.6960082760506006,95.58874086554171,37.44419997932947,19.753365833594664,179.628385523773,5.0,1.0,3,"Octahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,1.8749125267093785,0.6103925088662606,"[5.0, 6.0]",3.0,3.0,3.0,"Octahedron, Trigonal bipyramid","2e, 2a",2,5.0,In,0.0,True,19.0,5.0,2.0479643917340167,2.4767005345355013,2.173992087283432,0.16914113587308327,0.42873614280148464,95.87252989568933,37.15340133582228,18.968912581607494,179.46014320421057,5.0,1.0,4,"Octahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,1.8749125267093785,0.6103925088662606,"[5.0, 6.0]",3.0,3.0,3.0,"Octahedron, Trigonal bipyramid","2e, 2a",2,6.0,In,0.0,True,12.0,6.0,2.2338103033504386,2.255044356956864,2.2410328903574315,0.009909185056656361,0.021234053606425274,49.11164760372867,20.94332397914264,13.52567155451443,75.80962269391532,6.0,1.0,1,"Octahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,1.8749125267093785,0.6103925088662606,"[5.0, 6.0]",3.0,3.0,3.0,"Octahedron, Trigonal bipyramid","2e, 2a",2,6.0,In,0.0,True,15.0,6.0,2.2313886892611254,2.267208529177799,2.2433504460285802,0.012248031015817428,0.03581983991667359,61.58863324800721,27.799242965076633,13.531716515207508,100.81211073623419,6.0,1.0,2,"Octahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,1.8749125267093785,0.6103925088662606,"[5.0, 6.0]",3.0,3.0,3.0,"Octahedron, Trigonal bipyramid","2e, 2a",2,6.0,In,0.0,True,16.0,6.0,2.2338103033504386,2.2550443569568634,2.241032890357432,0.009909185056656207,0.02123405360642483,42.91956093586,20.038117659127558,13.453999305665599,69.43672806209632,6.0,1.0,3,"Octahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,1.8749125267093785,0.6103925088662606,"[5.0, 6.0]",3.0,3.0,3.0,"Octahedron, Trigonal bipyramid","2e, 2a",2,6.0,In,0.0,True,17.0,6.0,2.2313886892611268,2.2672085291777972,2.2433504460285807,0.012248031015816731,0.03581983991667048,61.58863324800723,27.799242965076644,13.531716515207481,100.81211073623422,6.0,1.0,4,"Octahedron, Trigonal bipyramid"
mp-1078748,Sr2TaInO6,2.2000821112035305,-0.0294214877830623,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,In,0.0,True,3.0,6.0,2.1771290318392023,2.184225969588394,2.1794946777555992,0.0033455285387413553,0.007096937749191845,19.646649339215866,5.964261530564715,9.255466242104498,29.656871745271594,6.0,1.0,1,Octahedron
mp-1086666,Sr2TaInO6,2.205896411712565,-0.0434744276638131,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,In,0.0,True,3.0,6.0,2.1695373081592235,2.178570881906171,2.1755596905479884,0.004258467425994012,0.009033573746947354,56.453413969255145,31.03911720574487,8.537736462515939e-07,96.30415585357963,6.0,1.0,1,Octahedron
mp-1105130,PrInO3,2.194222986913104,-0.0217530488868402,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,In,0.0,True,4.0,6.0,2.1584465075004835,2.1815677873405144,2.1726130914791777,0.010133154450322587,0.023121279840030873,51.14701060318893,20.432130843978374,19.496248873051414,89.39019871585612,6.0,1.0,1,Octahedron
mp-1105130,PrInO3,2.194222986913104,-0.0217530488868402,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,In,0.0,True,5.0,6.0,2.1584465075004844,2.1815677873405157,2.1726130914791786,0.010133154450322522,0.023121279840031317,60.25606661859971,27.294314134158327,13.662336111418574,103.1649100693298,6.0,1.0,2,Octahedron
mp-1105130,PrInO3,2.194222986913104,-0.0217530488868402,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,In,0.0,True,6.0,6.0,2.158446507500484,2.1815677873405144,2.1726130914791777,0.010133154450322559,0.02312127984003043,59.98505425751154,24.073606461420514,23.2525120564777,94.35285554549594,6.0,1.0,3,Octahedron
mp-1105130,PrInO3,2.194222986913104,-0.0217530488868402,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,In,0.0,True,7.0,6.0,2.1584465075004844,2.181567787340515,2.1726130914791786,0.01013315445032239,0.02312127984003043,48.33633718475842,24.030873436194316,11.426011238367952,87.42531852373078,6.0,1.0,4,Octahedron
mp-1105143,NaIn(GeO3)2,1.8774763558262928,0.474670071010692,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,In,0.0,True,2.0,6.0,2.094623799850272,2.2178902928142157,2.162959233986744,0.05120817011620842,0.12326649296394354,67.27497193751938,36.39394042810451,7.687729017882247,106.10553894591006,6.0,1.0,1,Octahedron
mp-1105143,NaIn(GeO3)2,1.8774763558262928,0.474670071010692,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,In,0.0,True,3.0,6.0,2.0946237998502717,2.2178902928142157,2.162959233986743,0.05120817011620878,0.12326649296394399,67.27497193751938,36.393940428104514,7.687729017882247,106.10553894591006,6.0,1.0,2,Octahedron
mp-1105283,Sr2InOsO6,2.141047301739468,0.0596889380702998,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,In,0.0,True,4.0,6.0,2.1779143075815792,2.1868480550053864,2.182510180803086,0.0036517469224582834,0.008933747423807148,65.03885953457683,31.940618774092965,19.439336346637905,119.9471604541363,6.0,1.0,1,Octahedron
mp-1105283,Sr2InOsO6,2.141047301739468,0.0596889380702998,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,In,0.0,True,5.0,6.0,2.177914307581579,2.186848055005386,2.1825101808030865,0.00365174692245848,0.008933747423807148,50.53162781181238,26.035895495576675,10.098605106313597,89.22937032185186,6.0,1.0,2,Octahedron
mp-1105721,NaCr2In(H2O5)2,2.4300385581708435,-0.3894038766227229,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,In,0.0,True,3.0,6.0,2.153467511951024,2.173106482601326,2.1600138355370073,0.009257899522862089,0.0196389706503024,54.49319600089743,23.12068098451925,24.816547948682423,91.47193113812912,6.0,1.0,1,Octahedron
mp-11623,LaInO3,2.204062253030519,-0.0361148417800257,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,In,0.0,True,4.0,6.0,2.165033899355873,2.1830461679035644,2.1749738042878755,0.007471110470098716,0.018012268547691335,48.48485243284228,24.257412782846483,10.90042951042123,87.45526439269936,6.0,1.0,1,Octahedron
