material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ir_wyckoff,num_Ir_chemenvs,CN,element,charge_range,is_single_charge
mp-10254,Sr2IrO4,2.339250756322369,-0.8573053942232256,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Ir,0.0,True
mp-1047130,Zn2NiIrO6,1.894634760289361,0.3584106544941082,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ir,0.0,True
mp-1047142,Ca2NiIrO6,1.949032163350901,0.0589331651344043,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1079568,NaIrO3,1.7670390105388143,1.1114974995941478,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1103777,K(IrO2)4,1.7964328734114594,0.5297878964829638,[6.0],3.75,3.75,3.75,Octahedron,4h,1,6.0,Ir,0.0,True
mp-1105160,SrIrO3,1.9818756574365763,0.1723997655863623,[6.0],4.0,4.0,4.0,Octahedron,4b,1,6.0,Ir,0.0,True
mp-1106213,Nd2MgIrO6,1.9875874661884017,0.1349828213214125,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-1182400,Ba3LaIr2O9,1.539596865540095,1.6642997183611974,[6.0],4.5,4.5,4.5,Octahedron,4f,1,6.0,Ir,0.0,True
mp-1188236,Gd2MgIrO6,1.984243725606944,0.1527811010593549,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-1188397,Pr2MgIrO6,1.9883694171357769,0.1235308737435338,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-11903,LiEu2IrO6,1.9532202098165192,0.0963615534960616,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-11904,LiSm2IrO6,2.023172230448412,-0.2283901806659655,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-11905,LiNd2IrO6,1.9791902476733607,0.0988093000153508,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-11906,LiPr2IrO6,1.9884581486698576,0.0492975900258826,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-1191066,La3IrO7,1.9466355333417424,0.2577478841924333,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ir,0.0,True
mp-11912,NaNd2IrO6,2.0002421357842466,-0.0158238028358343,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-11913,NaPr2IrO6,1.9947963584758603,0.0180090710957633,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-11914,NaLa2IrO6,2.013180265956436,-0.0739963021990192,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-1193907,SrIrO3,1.7926243825367003,0.5810805180684916,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Ir,0.0,True
mp-1194190,Ba3BiIr2O9,1.851984984384244,0.6159460218336499,[6.0],4.5,4.5,4.5,Octahedron,4f,1,6.0,Ir,0.0,True
mp-1195131,Sr3CaIr2O9,1.890940633295862,0.582042218742522,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ir,0.0,True
mp-1198098,La3IrO7,1.9377396713123392,0.3813069687978847,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ir,0.0,True
mp-1198129,Nd3IrO7,1.9579950964962527,0.1795172973382864,[6.0],5.0,5.0,5.0,Octahedron,"2c, 2a",1,6.0,Ir,0.0,True
mp-1199190,Ba4Bi(IrO4)3,1.854729290214518,0.5473307874266734,[6.0],4.33,4.33,4.33,Octahedron,"2i, 1c",1,6.0,Ir,0.0,True
mp-11992,LiLa2IrO6,1.9945786008775304,0.014053982211259,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-1205402,Ba3SmIr2O9,1.6092423136163478,1.419501724151213,[6.0],4.5,4.5,4.5,Octahedron,4f,1,6.0,Ir,0.0,True
mp-1210185,Na4Y2(IrO4)3,1.982941287038391,0.1207175822040542,[6.0],4.67,4.67,4.67,Octahedron,3f,1,6.0,Ir,0.0,True
mp-1210209,Na4Er2(IrO4)3,1.9881539028331985,0.0918954074367479,[6.0],4.67,4.67,4.67,Octahedron,3f,1,6.0,Ir,0.0,True
mp-1210216,Na4Dy2(IrO4)3,1.987163793263764,0.1053037790913461,[6.0],4.67,4.67,4.67,Octahedron,3f,1,6.0,Ir,0.0,True
mp-1210223,Na4Tb2(IrO4)3,2.0378057735166704,-0.0561606060977202,[6.0],4.0,4.0,4.0,Octahedron,3f,1,6.0,Ir,0.0,True
mp-1210234,Na4Ho2(IrO4)3,1.9926292918351207,0.0703619789258932,[6.0],4.67,4.67,4.67,Octahedron,3f,1,6.0,Ir,0.0,True
mp-1211597,La2CuIrO6,2.039845151317436,-0.0185834271109802,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Ir,0.0,True
mp-1214535,Ba3NdIr2O9,1.6077344246550165,1.440740080205943,[6.0],4.5,4.5,4.5,Octahedron,4f,1,6.0,Ir,0.0,True
mp-1214618,Ba3CdIr2O9,1.9027529498986089,0.5463586415610173,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ir,0.0,True
mp-1214637,Ba3CoIr2O9,1.8607275837321864,0.8539919109133525,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ir,0.0,True
mp-1214660,Ba4Nd(IrO4)3,1.7969247669332329,0.7196508114766372,[6.0],4.33,4.33,4.33,Octahedron,"2i, 1d",1,6.0,Ir,0.0,True
mp-1218532,Sr6Ir2RuO12,2.400071897755409,-0.9513734074059008,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Ir,0.0,True
mp-1218538,Sr4Zn(IrO4)3,1.900360942207072,0.4779670906231456,[6.0],4.67,4.67,4.67,Octahedron,"1f, 1d, 1g",1,6.0,Ir,0.0,True
mp-1218568,Sr4Co(IrO4)3,1.9468498921711213,0.2185495767792271,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1f, 1d, 1g",1,6.0,Ir,1.0,False
mp-1218568,Sr4Co(IrO4)3,1.9468498921711213,0.2185495767792271,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1f, 1d, 1g",1,6.0,Ir,1.0,False
mp-1218745,Sr4CuIr2O9,1.7705491038186814,0.6786937749130791,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Ir,0.0,True
