CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
4.0,4.0,4,2,1.9380813221939377,1.940655826722486,0.0025745045285480617,1.0
6.0,4.0,193,53,2.003565333273589,2.0381088159603373,0.029839139539186026,0.3580705009276438
6.0,5.0,152,46,1.9589993169637354,1.9927196344590887,0.02922267016323463,0.2820037105751391
6.0,3.5,72,1,2.0223362119533785,2.0274458075287347,0.004170735303191671,0.13358070500927643
6.0,4.5,48,10,1.9741050323986584,2.021976443551153,0.04057685269782959,0.08905380333951762
6.0,4.33,30,4,1.9961488063015733,2.020811422261079,0.02519756779400969,0.055658627087198514
6.0,3.83,12,1,1.9663002118348196,2.0196818890902777,0.033404253088976786,0.022263450834879406
6.0,6.0,10,5,1.9425934300161192,1.9693195274937252,0.02698342724690268,0.01855287569573284
6.0,3.75,8,2,1.9779829263467124,2.0381978358210526,0.037709103287785144,0.014842300556586271
6.0,5.5,8,1,1.9541525381189175,1.9822853158426488,0.023185323109550807,0.014842300556586271
6.0,4.67,6,2,1.9915248056103712,2.017637325097645,0.024922894198756734,0.011131725417439703
