material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-531717,La5Mn5O16,5,"[6, 8, 9, 10, 11]",2.233689441949676,0.379601208257169,"Square-face bicapped square antiprism, Diminished icosahedron, Tridiminished icosahedron",3.0,3.0,3.0
mp-554286,La6Ti2S8O5,5,"[0, 1, 2, 3, 4]",2.197394876633827,0.4537414764459258,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps), Face-capped octahedron",3.0,3.0,3.0
mp-691028,Sr6La14Mg7Ti13O60,5,"[6, 7, 8, 9, 10]",2.1807627653937014,0.44895341544436895,"Tricapped triangular prism (two square-face caps and one triangular-face cap), Square-face bicapped square antiprism",3.0,3.0,3.0
mp-778375,La2Nb2N2O5,5,"[4, 5, 6, 8, 9]",2.3179467863928336,0.2422555627301967,"Tricapped triangular prism (two square-face caps and one triangular-face cap), Square-face capped trigonal prism, Square-face bicapped trigonal prism",3.0,3.0,3.0
mp-849661,La2Nb2N2O5,5,"[4, 5, 6, 7, 8]",2.3055867128203102,0.2478956745926638,"Tricapped triangular prism (two square-face caps and one triangular-face cap), Square-face capped trigonal prism, Square-face bicapped trigonal prism",3.0,3.0,3.0
mp-1019896,La5S4NO2,4,"[0, 1, 3, 4]",2.43020650787395,0.0036545954864614,"Square antiprism, Square-face capped trigonal prism, Face-capped octahedron, Trigonal prism",3.0,3.0,3.0
mp-1172881,La6Ti3Se9O5,4,"[0, 1, 3, 5]",2.3193118184447847,0.2870517790750863,"Square antiprism, Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps), Square-face capped trigonal prism",3.0,3.0,3.0
mp-1200169,La14Sb8CO7,4,"[0, 1, 3, 4]",2.080422909720134,0.4949419923315307,"Single neighbor, See-saw",3.0,3.0,3.0
mp-12192,La2Ti2O7,4,"[7, 8, 9, 10]",2.130743405800368,0.4230052332849336,"Tricapped triangular prism (two square-face caps and one triangular-face cap), Square-face bicapped trigonal prism, Face-capped octahedron, Bicapped square prism (adjacent faces)",3.0,3.0,3.0
mp-1265516,La13Al12Si18(N13O5)3,4,"[0, 2, 3, 4]",2.261429436595125,0.4100912095581447,"Tricapped triangular prism (two square-face caps and one triangular-face cap), Square-face bicapped square antiprism, Triangular cupola",3.0,3.0,3.0
mp-1330058,La6Ti3Se9O5,4,"[0, 1, 3, 5]",2.319358426478495,0.2774330006040704,"Square antiprism, Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps), Square-face capped trigonal prism",3.0,3.0,3.0
