CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
0.0,3,13,1.0,3.0
1.0,3,24,1.0,3.0
2.0,3,8,1.0,3.0
3.0,3,24,1.0,3.0
4.0,3,27,1.0,3.0
5.0,3,30,1.0,3.0
6.0,3,134,1.0,3.0
7.0,3,150,1.0,3.0
8.0,2,4,0.009852216748768473,0.019704433497536946
8.0,3,402,0.9901477832512315,2.970443349753695
9.0,2,1,0.0045662100456621,0.0091324200913242
9.0,3,218,0.9954337899543378,2.9863013698630136
10.0,2,3,0.04838709677419355,0.0967741935483871
10.0,3,59,0.9516129032258065,2.8548387096774195
11.0,2,2,0.08333333333333333,0.16666666666666666
11.0,3,22,0.9166666666666666,2.75
12.0,2,4,0.037037037037037035,0.07407407407407407
12.0,3,104,0.9629629629629629,2.888888888888889
