CN,dominant_geometry,dominant_count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,dominant_fraction
1.0,"Square-face bicapped trigonal prism, Tetrahedron",56,6,2.404113447955143,2.404113447955143,0.0,1.0,0.32748538011695905
2.0,"Octahedron, Dodecahedron with triangular faces - p2345 plane normalized, Hexagonal prism",9,1,2.677806978848753,2.677809347589306,2.3687405530092465e-06,0.6666666666666666,0.3333333333333333
3.0,"Square antiprism, Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps), Square-face capped trigonal prism",18,3,2.4178247258497345,2.460531880171198,0.05799163991432906,1.0,0.15254237288135594
4.0,Tetrahedron,22,4,2.253094986953329,2.312741335865808,0.05259749232429401,0.8636363636363636,0.17054263565891473
5.0,"Square antiprism, Square-face bicapped trigonal prism",8,1,2.3567767601622585,2.622417812645778,0.21669309898239486,1.0,0.1111111111111111
6.0,Octahedron,311,62,2.306489680699726,2.3931619464610687,0.05933782059332614,0.9978494623655914,0.5901328273244781
7.0,Square-face capped trigonal prism,118,21,2.3747097136248563,2.513970456200314,0.10163981569914207,0.9963680387409201,0.18125960061443933
8.0,Square-face bicapped trigonal prism,401,111,2.3914867039419065,2.5851330515761104,0.15950023139369424,1.0,0.2778932778932779
9.0,Tricapped triangular prism (three square-face caps),399,85,2.3667068098577024,2.632077419242826,0.12776347303125052,0.9938427092079485,0.43846153846153846
10.0,Square-face bicapped square antiprism,60,14,2.4508435195792813,2.6489832326733356,0.15174978254345856,1.0,0.3
11.0,Diminished icosahedron,16,8,2.4060810914409223,2.7217482806354405,0.17093818618435466,1.0,0.2191780821917808
12.0,Cuboctahedron,224,84,2.611565514735856,2.743276891046872,0.08875589398694751,1.0,0.6934984520123839
