CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,3.0,161,24,2.486438975580493,2.486438975580493,0.0,0.9415204678362573
1.0,2.333333333333333,10,1,2.3947677593962444,2.3947677593962444,0.0,0.05847953216374269
2.0,3.0,27,8,2.5527659301663967,2.582741234334985,0.029975304168588332,1.0
3.0,3.0,118,24,2.41281554117975,2.460273476646704,0.050667526540689754,1.0
4.0,3.0,121,27,2.3841580880886584,2.465309086805715,0.07385393662182818,0.937984496124031
4.0,2.333333333333333,8,1,2.3205826013864845,2.4394182079357103,0.11978387638179575,0.06201550387596899
5.0,3.0,72,30,2.41235656884853,2.550919248608144,0.11022932841933757,1.0
6.0,3.0,523,134,2.3554631675064632,2.4460273234267507,0.06765135864437123,0.9924098671726755
6.0,2.5,3,1,2.366105619987408,2.43329969693225,0.08298741927090934,0.0056925996204933585
6.0,2.6666666666666665,1,1,,,,0.0018975332068311196
7.0,3.0,614,149,2.376901100434613,2.52039367878113,0.11475431235501894,0.9431643625192012
7.0,2.6666666666666665,32,3,2.332791740640229,2.5387889762789677,0.14106115377783857,0.04915514592933948
7.0,2.5,5,1,2.458882854194387,2.565950719654146,0.08763798698796187,0.007680491551459293
8.0,3.0,1412,396,2.399535841919562,2.5801530381750966,0.14947569920999712,0.9785169785169785
8.0,2.5,16,5,2.411690995433726,2.5353310893136918,0.08863477792707973,0.011088011088011088
8.0,2.6666666666666665,10,3,2.3793314683404287,2.5859149657850082,0.19980251105666483,0.00693000693000693
8.0,2.0,5,4,2.4711225015123417,2.659820677561781,0.11270435287612544,0.003465003465003465
9.0,3.0,869,216,2.3910145521467805,2.6304954983202804,0.148738200387126,0.954945054945055
9.0,2.6666666666666665,27,4,2.45472296025439,2.649019335956828,0.187505175851254,0.02967032967032967
9.0,2.5,13,3,2.4034668223614486,2.658271081862412,0.23124831735878582,0.014285714285714285
9.0,2.0,1,1,,,,0.001098901098901099
10.0,3.0,188,59,2.4387350733923094,2.6700573113609076,0.1701455493419377,0.94
10.0,2.0,9,3,2.498592655520809,2.6872821345794886,0.19451026074880134,0.045
10.0,2.6666666666666665,2,1,2.5659285992459226,2.6659483781749644,0.0865582941369883,0.01
10.0,2.5,1,1,2.545705422462923,2.753645648170301,0.10486530078261465,0.005
11.0,3.0,67,22,2.409655539444264,2.7316276047039856,0.2149194681695877,0.9178082191780822
11.0,2.0,4,2,2.5064974788939955,2.7476004295263348,0.1155618139242306,0.0547945205479452
11.0,2.5,2,1,2.378410438333633,2.7584832887950603,0.20427248948364796,0.0273972602739726
12.0,3.0,305,104,2.582009693084899,2.73975429441914,0.10945429534228714,0.9442724458204335
12.0,2.5,8,2,2.675904469992293,2.7302902564750737,0.052005168891542955,0.02476780185758514
12.0,2.0,7,4,2.6811812986316497,2.7803422334818473,0.06775686124623238,0.021671826625386997
12.0,2.6666666666666665,3,1,2.5066075228656097,2.756139334877122,0.20487800834697187,0.009287925696594427
