CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
0.0,13,13,3.0,inf,s_avg > 1,3+:1.0000
1.0,24,24,3.0,3.0,s_avg > 1,3+:1.0000
2.0,8,8,3.0,1.5,s_avg > 1,3+:1.0000
3.0,24,24,3.0,1.0,s_avg ≤ 1,3+:1.0000
4.0,27,27,3.0,0.75,s_avg ≤ 1,3+:1.0000
5.0,30,30,3.0,0.6,s_avg ≤ 1,3+:1.0000
6.0,134,134,3.0,0.5,s_avg ≤ 1,3+:1.0000
7.0,150,150,3.0,0.42857142857142855,s_avg ≤ 1,3+:1.0000
8.0,406,406,2.9901477832512318,0.37376847290640397,s_avg ≤ 1,2+:0.0099; 3+:0.9901
9.0,219,219,2.9954337899543377,0.3328259766615931,s_avg ≤ 1,2+:0.0046; 3+:0.9954
10.0,62,62,2.9516129032258065,0.29516129032258065,s_avg ≤ 1,2+:0.0484; 3+:0.9516
11.0,24,24,2.9166666666666665,0.26515151515151514,s_avg ≤ 1,2+:0.0833; 3+:0.9167
12.0,108,108,2.962962962962963,0.24691358024691357,s_avg ≤ 1,2+:0.0370; 3+:0.9630
