CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
1.0,24,24,3.0,3.0,s_avg > 1,3+:1.0000
3.0,24,24,3.0,1.0,s_avg ≤ 1,3+:1.0000
4.0,27,27,3.0,0.75,s_avg ≤ 1,3+:1.0000
5.0,30,30,3.0,0.6,s_avg ≤ 1,3+:1.0000
6.0,134,134,3.0,0.5,s_avg ≤ 1,3+:1.0000
7.0,150,150,3.0,0.4285714285714285,s_avg ≤ 1,3+:1.0000
8.0,406,406,2.990147783251232,0.3737684729064039,s_avg ≤ 1,2+:0.0099; 3+:0.9901
9.0,219,219,2.9954337899543377,0.3328259766615931,s_avg ≤ 1,2+:0.0046; 3+:0.9954
10.0,62,62,2.9516129032258065,0.2951612903225806,s_avg ≤ 1,2+:0.0484; 3+:0.9516
11.0,24,24,2.9166666666666665,0.2651515151515151,s_avg ≤ 1,2+:0.0833; 3+:0.9167
12.0,108,108,2.962962962962963,0.2469135802469135,s_avg ≤ 1,2+:0.0370; 3+:0.9630
