CN,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean
1.0,171,25,2.481078085745157,2.481078085745157,0.0,0.9883040935672515
2.0,27,8,2.5527659301663967,2.582741234334985,0.029975304168588332,0.88
3.0,118,24,2.41281554117975,2.460273476646704,0.050667526540689754,1.0
4.0,129,28,2.380215422246663,2.4637034509068,0.07670230497903546,0.9689922480620154
5.0,72,30,2.41235656884853,2.550919248608144,0.11022932841933757,0.9593220338983051
6.0,527,136,2.3555277977846876,2.445950030148444,0.06774449261578745,0.9966261808367071
7.0,651,153,2.375256452249684,2.5217342940919605,0.11591397951215347,0.9910860896082571
8.0,1443,408,2.399702927204494,2.5798398192808034,0.14901219629088744,0.9994489346069066
9.0,910,224,2.3931733907859045,2.6314579124296253,0.15109019777880198,0.9971773158840134
10.0,200,64,2.4434229673503007,2.6712572794828073,0.17007694331950307,1.0
11.0,73,25,2.4144331505557,2.733357055696214,0.2087617538408626,1.0
12.0,323,111,2.585784160402015,2.7405516888193273,0.10801403555509119,1.0
