CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Octahedron,2.333333333333333,146,21,1.9910786605082236,1.9910786605082236,0.0,1.0,0.7121951219512195
1.0,Octahedron,2.5,28,5,2.0199248819534232,2.0199248819534232,0.0,1.0,0.13658536585365855
1.0,Octahedron,2.25,24,3,2.0079692976008343,2.0079692976008343,0.0,1.0,0.11707317073170732
1.0,Octahedron,3.5,4,1,1.8680395052381384,1.8680395052381384,0.0,1.0,0.01951219512195122
1.0,Octahedron,3.0,2,1,1.9298399841012388,1.9298399841012388,0.0,1.0,0.00975609756097561
1.0,Octahedron,2.75,1,1,1.8823054990545434,1.8823054990545434,0.0,1.0,0.004878048780487805
1.0,"Pentagonal bipyramid, Octahedron, Trigonal prism",3.0,6,1,1.93851502408919,1.93851502408919,0.0,1.0,1.0
1.0,no_data,2.333333333333333,24,2,1.993281817845882,1.993281817845882,0.0,1.0,1.0
2.0,Linear,2.0,6,1,2.0608054085092125,2.062195191927569,0.001389783418356642,1.0,1.0
2.0,Octahedron,2.5,47,10,1.9694374830064436,1.9725964863417496,0.0031590033353060378,1.0,0.5465116279069767
2.0,Octahedron,2.333333333333333,20,9,1.9687075414675916,1.9728182797338782,0.004110738266286709,1.0,0.23255813953488372
2.0,Octahedron,3.0,14,7,2.0151767900567985,2.0163775235907964,0.0012007335339977673,1.0,0.16279069767441862
2.0,Octahedron,2.25,3,3,1.9287652773034027,1.9287652773034036,7.401486830834377e-16,1.0,0.03488372093023256
2.0,Octahedron,2.75,2,1,1.9210764493168606,1.9260948292859554,0.005018379969094766,1.0,0.023255813953488372
2.0,"T-shaped, Tetrahedron",2.0,2,1,2.0451802225823315,2.0472453117041383,0.002065089121806696,1.0,1.0
3.0,Octahedron,3.0,4,1,1.9410353151615642,2.0281287051860053,0.06313242505500574,1.0,0.6666666666666666
3.0,Octahedron,2.75,2,1,1.9602203200441308,1.971231513291508,0.008787174786714518,1.0,0.3333333333333333
3.0,"Pentagonal pyramid, Square pyramid, Octahedron, See-saw",2.0,1,1,,,,,1.0
3.0,Square pyramid,3.0,1,1,,,,,1.0
3.0,"Square pyramid, T-shaped",2.0,2,1,1.995983776037849,2.066254778723183,0.0578820152500993,1.0,1.0
3.0,"T-shaped, Trigonal prism",2.0,2,1,2.0424986831195313,2.1073521297908364,0.07995651467955316,1.0,1.0
3.0,Trigonal plane,2.0,8,1,1.977428836442645,1.9885556120907473,0.007867818513514445,1.0,1.0
3.0,"Trigonal plane, Tetrahedron",2.0,2,1,2.001492308717521,2.014505304466613,0.015969798775285475,1.0,1.0
4.0,"Cube, Octahedron",3.29,1,1,,,,,1.0
4.0,"Cube, Octahedron, Square plane",2.5,24,2,1.8783547724227851,1.9053505071239565,0.026981571657419646,1.0,0.5
4.0,"Cube, Octahedron, Square plane",2.333333333333333,12,1,1.9026706380166676,1.9289309073245768,0.026260269364500738,1.0,0.25
4.0,"Cube, Octahedron, Square plane",3.07,12,1,1.8923290729514513,1.9000296540743256,0.0077005811228919195,1.0,0.25
4.0,"Cube, Square plane",2.5,4,2,,,,,1.0
4.0,"Cube, Tetrahedron, Trigonal prism",2.0,2,1,2.031585975838552,2.03158597592678,8.778492009528875e-11,1.0,1.0
4.0,"Cube, Trigonal prism",2.0,1,1,,,,,1.0
4.0,Octahedron,3.0,85,31,1.9486009810606117,1.9945272219169545,0.04784091315211518,1.0,0.5414012738853503
4.0,Octahedron,2.0,32,10,2.1456189432605677,2.18791248628246,0.04299226598724789,1.0,0.20382165605095542
4.0,Octahedron,3.5,20,2,1.9206555809564025,1.9599933421782403,0.045967103402314226,1.0,0.12738853503184713
4.0,Octahedron,2.5,16,3,1.98509094015167,2.0403358778136,0.0591729646331275,1.0,0.10191082802547771
4.0,Octahedron,3.25,3,1,1.9427497151701238,1.96518763165402,0.02099142205064743,1.0,0.01910828025477707
4.0,Octahedron,2.75,1,1,1.976755192778461,1.9775953272319584,0.0008401344534969546,1.0,0.006369426751592357
4.0,"Octahedron, Pentagonal pyramid",2.0,2,2,,,,,1.0
4.0,"Octahedron, See-saw",2.0,3,2,2.0437806577727438,2.0875231976472453,0.029988801995698963,1.0,0.42857142857142855
4.0,"Octahedron, See-saw",3.0,2,1,1.8963175336420899,1.9367180689836996,0.049384953871667206,1.0,0.2857142857142857
4.0,"Octahedron, See-saw",3.6,2,1,1.8818796300416398,1.9016488229382422,0.014295844777634629,1.0,0.2857142857142857
4.0,"Octahedron, Square plane",3.0,6,6,,,,,0.375
4.0,"Octahedron, Square plane",3.333333333333333,5,5,,,,,0.3125
4.0,"Octahedron, Square plane",3.14,4,4,,,,,0.25
4.0,"Octahedron, Square plane",2.5,1,1,,,,,0.0625
4.0,"Pentagonal pyramid, Square pyramid, Octahedron, See-saw",2.0,1,1,,,,,1.0
4.0,See-saw,3.0,12,3,1.854585413767305,1.9045762264770365,0.047181831206138565,0.6666666666666666,1.0
4.0,Square plane,3.0,21,4,1.8808052320497055,1.9207767367948343,0.03979866965834343,1.0,0.4666666666666667
4.0,Square plane,2.5,16,1,1.9406064355148875,1.9462652288773643,0.005658793362476752,1.0,0.35555555555555557
4.0,Square plane,2.0,8,2,2.0326734858269195,2.097536960132843,0.06454396225227906,1.0,0.17777777777777778
4.0,"Square pyramid, Octahedron",3.0,1,1,,,,,1.0
4.0,"Square pyramid, Octahedron, Square plane",3.0,2,2,,,,,0.6666666666666666
4.0,"Square pyramid, Octahedron, Square plane",2.0,1,1,,,,,0.3333333333333333
