material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Mo_wyckoff,num_Mo_chemenvs,CN,element,charge_range,is_single_charge
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False
mp-1012678,NaMo3P3O13,2.058290065089308,0.0890246675799636,"[6.0, 5.0]",3.5,3.0,4.0,"Square pyramid, Octahedron","2a, 2e",2,6.0,Mo,1.0,False
mp-1012678,NaMo3P3O13,2.058290065089308,0.0890246675799636,"[6.0, 5.0]",3.5,3.0,4.0,"Square pyramid, Octahedron","2a, 2e",2,5.0,Mo,1.0,False
mp-1013843,NaMo2P2O9,2.1850115960676684,-0.1405455005384922,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False
mp-1013843,NaMo2P2O9,2.1850115960676684,-0.1405455005384922,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False
mp-1013898,LiMo3P3O13,2.060252583288307,0.085237927179587,"[6.0, 5.0]",3.5,3.0,4.0,"Square pyramid, Octahedron","2a, 2e",2,6.0,Mo,1.0,False
mp-1013898,LiMo3P3O13,2.060252583288307,0.085237927179587,"[6.0, 5.0]",3.5,3.0,4.0,"Square pyramid, Octahedron","2a, 2e",2,5.0,Mo,1.0,False
mp-1040870,MgMo2P2O9,1.9888991153634272,0.2314615975960894,[6.0],3.0,3.0,3.0,Octahedron,"4c, 4a",1,6.0,Mo,0.0,True
mp-1040876,CaMo2P2O9,1.929966221977084,0.3343273217538528,[6.0],3.0,3.0,3.0,Octahedron,"4c, 4a",1,6.0,Mo,0.0,True
mp-1040930,Mo2P2O9,1.9625800593649545,0.2784023229731575,[6.0],4.0,4.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,0.0,True
mp-1041036,ZnMo2P2O9,2.069473515653188,0.115665061183728,[6.0],3.0,3.0,3.0,Octahedron,"4c, 4a",1,6.0,Mo,0.0,True
