CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
2.0,Octahedron,6,2,1.7456597614274914,1.7612354860238737,0.015575724596382493,1.0,1.0
3.0,Octahedron,8,1,1.7314304802960312,1.9054219633329907,0.12303055752413829,0.6666666666666666,0.8888888888888888
3.0,"Tetrahedron, Octahedron",1,1,1.8062206963333969,1.8062207024894332,8.705949831200552e-09,1.0,0.1111111111111111
4.0,Tetrahedron,2216,446,1.7682439283123823,1.7978583393085952,0.027461768043715345,0.8261396702230844,0.8663017982799062
4.0,no_data,164,16,1.7747516865184398,1.7994891857301414,0.021894833619447933,0.865625,0.06411258795934324
4.0,"Tetrahedron, Octahedron",83,21,1.7681321129870529,1.7950470219304968,0.021779321584227008,0.68125,0.03244722439405786
4.0,"Tetrahedron, Trigonal bipyramid",60,12,1.7742997713192605,1.7966241609513856,0.02280349121028532,0.9423076923076923,0.023455824863174355
4.0,"Tetrahedron, Octahedron, Trigonal bipyramid",14,3,1.7603142313559865,1.7795381502160836,0.019131698755039565,1.0,0.00547302580140735
4.0,"Tetrahedron, Square pyramid",11,5,1.7602018407619724,1.781471182920695,0.024654587663021296,1.0,0.004300234558248631
4.0,"Tetrahedron, Square pyramid, Octahedron",5,4,1.7779584695978268,1.7954003663915996,0.010236084134278085,1.0,0.001954652071931196
4.0,Octahedron,4,3,1.807534772482303,1.8834311105095396,0.07095888872623883,0.75,0.001563721657544957
4.0,"Tetrahedron, Square pyramid, Trigonal bipyramid",1,1,,,,,0.00039093041438623924
5.0,Trigonal bipyramid,88,27,1.7803299070531664,1.9190832372984115,0.16614427663003473,0.8493506493506494,0.2953020134228188
5.0,"Tetrahedron, Trigonal bipyramid",58,10,1.7675068440533892,1.9729527121748496,0.3191555796136619,0.8509090909090908,0.19463087248322147
5.0,"Octahedron, Trigonal bipyramid",33,12,1.765424922025171,1.9195725307295939,0.12453259006554494,0.709090909090909,0.11073825503355705
5.0,Square pyramid,33,18,1.737543329026577,1.8997083620677957,0.09572555221819433,0.8727272727272727,0.11073825503355705
5.0,"Square pyramid, Octahedron",26,20,2.011948192120967,2.087021733916199,0.04663368224564432,0.9666666666666667,0.087248322147651
5.0,Octahedron,18,3,1.784483312951065,1.905604054710302,0.0970538285351847,1.0,0.06040268456375839
5.0,"Tetrahedron, Octahedron, Trigonal bipyramid",12,3,1.7567725430399594,1.9743628533831388,0.37485667615577456,1.0,0.040268456375838924
5.0,"Square pyramid, Octahedron, Trigonal bipyramid",10,6,1.717956383184172,1.8912141822110946,0.1396796793402005,0.9,0.03355704697986577
5.0,"Tetrahedron, Octahedron",8,1,1.7691003663953362,2.017142196252371,0.3775724183270994,0.4,0.026845637583892617
5.0,"Tetrahedron, Square pyramid",5,2,1.7312914649021192,2.027401006895576,0.43917743478691745,0.8,0.016778523489932886
5.0,"Tetrahedron, Square pyramid, Octahedron",3,3,,,,,0.010067114093959731
5.0,Tetrahedron,2,2,,,,,0.006711409395973154
5.0,"Tetrahedron, Square pyramid, Trigonal bipyramid",1,1,,,,,0.003355704697986577
5.0,no_data,1,1,,,,,0.003355704697986577
6.0,Octahedron,3050,440,1.8414222188446954,2.022933727917305,0.13244116571901,0.9174321959755031,0.6936547646122356
6.0,"Square pyramid, Octahedron",508,43,1.7527622683288724,2.023660240629283,0.24450278018788132,0.8464566929133859,0.11553331817148056
6.0,"Tetrahedron, Octahedron",166,19,1.814553831857485,1.9876652026455763,0.16727445541893035,0.9578313253012049,0.03775301341823971
6.0,"Octahedron, Pentagonal bipyramid",162,4,1.8101350632211364,1.97487782302364,0.1267590245717338,0.6666666666666666,0.036843302251535134
6.0,"Tetrahedron, Square pyramid, Octahedron",144,4,1.7177971939296044,2.031554646989255,0.26574055383661455,0.8541666666666666,0.032749602001364564
6.0,no_data,120,13,1.7741821108784825,2.003969376805521,0.16346117247756548,0.9027777777777778,0.02729133500113714
6.0,Square pyramid,89,16,1.7331238948910772,2.0068043965647866,0.26759457144619087,0.9128787878787878,0.020241073459176712
6.0,"Octahedron, Trigonal bipyramid",60,12,1.7738835131405526,2.032017346364548,0.16337602454688435,0.8666666666666667,0.01364566750056857
6.0,"Square pyramid, Octahedron, Trigonal bipyramid",56,6,1.7246303074231402,2.0234936144891806,0.23335157657938396,0.875,0.012735956333863999
6.0,"Tetrahedron, Square pyramid",32,4,1.748858839622987,2.0947022298144513,0.4035166790937905,0.8645833333333334,0.00727768933363657
6.0,"Tetrahedron, Octahedron, Trigonal bipyramid",10,3,1.739878421846989,2.059154275026775,0.371784249915159,1.0,0.0022742779167614284
7.0,"Octahedron, Pentagonal bipyramid",16,4,1.8342219661990842,2.028028920126853,0.11397979531272859,0.7142857142857143,0.8
7.0,Pentagonal bipyramid,4,1,1.6662106852835497,2.0306172096243618,0.2067316307069475,0.8571428571428571,0.2
