CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
2.0,6.0,6,2,1.7456597614274914,1.7612354860238737,0.015575724596382493,1.0
3.0,5.0,8,1,1.7314304802960312,1.9054219633329907,0.12303055752413829,0.8888888888888888
3.0,6.0,1,1,1.8062206963333969,1.8062207024894332,8.705949831200552e-09,0.1111111111111111
4.0,6.0,2139,475,1.7672146951716443,1.796611125397856,0.02667156738650858,0.8362001563721657
4.0,5.5,385,23,1.7769246626621984,1.8041872622437876,0.02815235554634109,0.15050820953870211
4.0,5.666666666666667,16,4,1.7622164004832679,1.783827956202773,0.01496301084952659,0.006254886630179828
4.0,5.0,11,5,1.7685500676817418,1.7997869585622879,0.021544777483490908,0.004300234558248631
4.0,5.56,4,1,1.7765223728501955,1.7928662627771095,0.011021432915327997,0.001563721657544957
4.0,5.333333333333333,2,2,1.8467616120546453,1.9048529437851833,0.04499579958672573,0.0007818608287724785
4.0,5.75,1,1,,,,0.00039093041438623924
5.0,6.0,214,78,1.7611334753154464,1.937490838724886,0.2382661961513461,0.7181208053691275
5.0,5.0,24,6,1.7775174482661915,1.9565250903104598,0.14281210422845805,0.08053691275167785
5.0,5.333333333333333,16,2,1.7917285809388253,1.8984410265432854,0.0794975589890443,0.053691275167785234
5.0,5.5,16,8,1.7181199928733046,1.8995228757502378,0.14199867161268095,0.053691275167785234
5.0,5.666666666666667,12,7,1.7228622946242187,1.9004370314414012,0.14268210384381702,0.040268456375838924
5.0,3.0,11,5,2.062617277215152,2.1026357313172466,0.027942926300251605,0.03691275167785235
5.0,3.5,3,2,2.078438607187394,2.1184413123463397,0.03331142074003943,0.010067114093959731
5.0,3.6666666666666665,2,1,2.0671271106981592,2.102315046263616,0.03868654424144745,0.006711409395973154
6.0,6.0,1465,242,1.7451851694573437,2.0057603891195193,0.23663305934696616,0.33318171480554926
6.0,5.5,1116,54,1.7584437002021784,1.9965976872122975,0.17252385269314244,0.2538094155105754
6.0,5.0,408,73,1.7747428490465686,2.01232132244978,0.12253939559717657,0.09279053900386627
6.0,3.5,310,29,2.0360205338606336,2.1041982692049643,0.04737088472546821,0.07050261541960427
6.0,3.0,220,55,2.0906366112897206,2.1451708532252827,0.03912914750717241,0.05003411416875142
6.0,4.0,215,54,1.9866281495282943,2.0610834378746916,0.05199465276293937,0.04889697521037071
6.0,4.5,212,24,1.9357860282022428,2.014012512981136,0.056075527075757366,0.04821469183534228
6.0,5.666666666666667,174,11,1.7853698546261108,1.9940763565737967,0.17048806441154282,0.03957243575164885
6.0,5.333333333333333,128,2,1.8106757263304674,1.971862053193738,0.12256817380159685,0.02911075733454628
6.0,5.7,30,3,1.7254278331799058,2.0054788901970553,0.2106258922359078,0.006822833750284285
6.0,5.43,24,1,1.831703758316575,1.9785904837306054,0.1096280461423842,0.005458267000227428
6.0,5.25,16,1,1.723724924225246,2.0138116321718966,0.15836511895781005,0.003638844666818285
6.0,5.56,14,1,1.8291806510734703,1.9855085495925464,0.14466767713559303,0.0031839890834659997
6.0,2.0,12,7,2.1189473159652112,2.1381696857653605,0.014378337565022624,0.002729133500113714
6.0,4.33,12,1,2.015324610408133,2.0486509072769006,0.02208203792296971,0.002729133500113714
6.0,5.4,10,1,1.93723538563331,1.980669233599356,0.02952169507994379,0.0022742779167614284
6.0,3.6666666666666665,8,1,2.007172279796987,2.0819077006642086,0.06540175735289733,0.0018194223334091425
6.0,3.75,8,1,2.0359262038010297,2.0781813527077055,0.03322384641621282,0.0018194223334091425
6.0,5.57,7,1,1.8606252848036857,1.9959548852561269,0.1270303582379096,0.0015919945417329998
6.0,4.25,4,1,1.9852461251866016,2.031962165360013,0.03107681325332613,0.0009097111667045713
6.0,5.75,4,1,1.6980008484565974,1.9904041972411628,0.16890062733091,0.0009097111667045713
7.0,5.333333333333333,8,2,1.8347325968642882,2.020379723197697,0.10274821046819119,0.4
7.0,6.0,8,2,1.708091829798339,2.031103975282148,0.19824620528180936,0.4
7.0,5.43,4,1,1.9174496967546317,2.0397654931720828,0.06066198045786071,0.2
