CN,n_rows,n_unique_materials,R0_mean,B_mean,mean_charge_mean
0.0,2,1,2.364625210155228,-0.1017095811090393,3.5
1.0,7,6,2.329080911748068,-0.2623818832613503,4.214285714285714
2.0,6,6,1.9305425764696864,0.5763205463498383,4.5
3.0,10,9,1.9603935168714468,0.39539095995769036,4.7
4.0,60,47,2.039469723304019,0.25355161141321875,3.6791666666666667
5.0,83,76,2.0042190273589324,0.24929557194818533,3.950441767068273
6.0,1206,1155,1.928904002827036,0.5636777608479268,4.893493642896628
7.0,23,23,1.9483830434040075,0.5049187218356201,4.952608695652174
8.0,5,5,1.8141179631170314,0.6259129360804456,5.0
9.0,1,1,1.9624637563089844,0.3133208858900959,4.5
