material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Nb_wyckoff,num_Nb_chemenvs,CN,element,charge_range,is_single_charge
mp-10062,Ba2NdNb(CuO4)2,1.9967618794807405,0.0196332189284944,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-1022808,Ba2NbFeO6,1.8384990136570127,1.0636693095636685,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True
mp-1022809,Ba4NbFeO8,1.684223229559088,2.0308118463214297,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Nb,0.0,True
mp-1046744,Mg2Nb2CoO8,1.948261373320306,0.7882775365360489,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True
mp-1046751,Nb2Zn2FeO8,1.953358306576776,0.6281131579473458,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True
mp-1046836,Mg2Nb2VO8,1.9521576396102096,0.7739681393530393,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True
mp-1046839,Mg2Nb2CrO8,1.951312344844244,0.7344534637219478,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True
mp-1046844,Mg2MnNb2O8,1.947015185936152,0.7958832961651636,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True
mp-1046848,Mg2Nb2NiO8,1.949319102164889,0.7948315807546437,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True
mp-1046861,Nb2Zn2CoO8,1.959098558269441,0.6372006588453667,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True
mp-1046866,Nb2VZn2O8,1.95577458594692,0.5782274132699783,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True
mp-1046973,Nb2Zn2NiO8,1.9449334950300967,0.6478226154732629,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Nb,0.0,True
mp-1048464,Mg2Nb2FeO8,1.9469647442440627,0.8207612263586798,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Nb,0.0,True
