CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
1.0,5,4,1.0,5.0
2.0,5,4,1.0,5.0
3.0,5,8,1.0,5.0
4.0,4,1,0.04,0.16
4.0,5,24,0.96,4.8
5.0,3,3,0.06976744186046512,0.20930232558139533
5.0,4,2,0.046511627906976744,0.18604651162790697
5.0,5,38,0.8837209302325582,4.4186046511627906
6.0,2,2,0.0018587360594795538,0.0037174721189591076
6.0,3,5,0.004646840148698885,0.013940520446096654
6.0,4,11,0.010223048327137546,0.040892193308550186
6.0,5,1057,0.9823420074349443,4.911710037174721
6.0,7,1,0.0009293680297397769,0.006505576208178439
7.0,4,1,0.045454545454545456,0.18181818181818182
7.0,5,21,0.9545454545454546,4.772727272727273
8.0,5,5,1.0,5.0
