CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Octahedron,5.0,20,2,1.838298257032306,1.838298257032306,0.0,0.4,1.0
1.0,"Octahedron, Pentagonal bipyramid",5.0,4,1,1.7586245949803867,1.7586245949803867,0.0,0.0,1.0
1.0,"Octahedron, Trigonal prism",3.5,20,1,2.2687916092086877,2.2687916092086877,0.0,1.0,1.0
1.0,"Pentagonal bipyramid, Angular",5.0,8,1,2.089562232100782,2.089562232100782,0.0,1.0,1.0
1.0,Square pyramid,2.5,8,1,2.0530304276577658,2.0530304276577658,0.0,1.0,1.0
2.0,Octahedron,4.5,4,1,2.008669150864279,2.0086691508642796,4.4357322175972823e-16,1.0,0.5
2.0,Octahedron,5.0,4,3,2.0631434387704624,2.251987521408016,0.18884408263755376,1.0,0.5
2.0,"Octahedron, Pentagonal bipyramid",5.0,4,1,1.7863026135602291,1.848978951713739,0.06267633815350984,0.5,1.0
2.0,Square pyramid,2.5,4,1,2.0931071467549653,2.096476730113025,0.003369583358059647,1.0,1.0
3.0,Octahedron,3.5,8,1,1.9867134753597486,2.0493071315342037,0.04432133380325938,1.0,0.6153846153846154
3.0,Octahedron,5.0,5,3,1.8704309060950277,1.9720937766455369,0.07722432144984168,1.0,0.38461538461538464
3.0,"Octahedron, Pentagonal bipyramid",5.0,4,1,1.7870811362105017,1.9136997046692101,0.09492622841928477,0.6666666666666666,1.0
3.0,"Octahedron, Square pyramid",5.0,12,3,1.8128017852415492,1.9235850377773194,0.08562340501602661,1.0,1.0
3.0,Square-face capped trigonal prism,5.0,7,1,2.0335413304641112,2.1138703605404947,0.06776907747560486,1.0,1.0
4.0,Octahedron,5.0,14,5,1.8903421448564575,2.0304560600362804,0.12283787227390974,1.0,0.7777777777777778
4.0,Octahedron,4.0,4,1,1.8903605197072282,2.0428506795909467,0.09639281065963842,1.0,0.2222222222222222
4.0,"Octahedron, Square non-coplanar",3.5,16,1,2.0521291616671493,2.0521291616671498,5.216774414253198e-16,1.0,0.8
4.0,"Octahedron, Square non-coplanar",3.333333333333333,4,1,2.0330664328042634,2.0453470137824064,0.012280580978142719,1.0,0.2
4.0,"Octahedron, Square pyramid",5.0,6,3,1.8689990600832627,2.0230895607957318,0.1540905007164462,1.0,1.0
4.0,"Octahedron, Square pyramid, Square plane",2.75,23,4,2.1070883939286134,2.123882653598218,0.018607746860513107,1.0,0.696969696969697
4.0,"Octahedron, Square pyramid, Square plane",2.6666666666666665,6,3,2.098408175972307,2.12614436479519,0.027736185463214297,1.0,0.18181818181818182
4.0,"Octahedron, Square pyramid, Square plane",2.5,4,1,2.1179050186460193,2.1278184334973194,0.00991341485129979,1.0,0.12121212121212122
4.0,"Octahedron, Square pyramid, Tetrahedron",5.0,1,1,1.8633065045154047,1.8720003629289201,0.008693858413514222,1.0,1.0
4.0,"Octahedron, Tetrahedron",5.0,7,3,1.8617119328306833,1.879203959544569,0.01829377060960611,0.5714285714285714,1.0
4.0,Square pyramid,5.0,4,1,1.9283989284852554,1.9906594768368162,0.08209048423263014,1.0,1.0
4.0,"Square pyramid, See-saw",2.5,8,1,2.160832522257823,2.179618648419866,0.012396410073826053,1.0,1.0
4.0,"Square pyramid, Square plane",2.5,102,7,2.09460939595193,2.1061846485409244,0.010715557139956408,1.0,0.8360655737704918
4.0,"Square pyramid, Square plane",2.6666666666666665,20,2,2.057557068983121,2.1040481073922765,0.028286622940624895,1.0,0.16393442622950818
4.0,Square-face capped trigonal prism,5.0,1,1,1.97757514636892,2.1417443510656136,0.10743328278871123,1.0,1.0
4.0,Tetrahedron,5.0,34,9,1.874395889111166,1.8975077494276642,0.023554840855294273,0.9044117647058824,0.5862068965517241
4.0,Tetrahedron,4.5,24,1,1.8687587943141215,1.8814537939341924,0.008005716380226758,1.0,0.41379310344827586
4.0,Trigonal prism,5.0,4,1,1.9344576665411455,1.990862948434636,0.07093942865179868,1.0,1.0
4.0,no_data,2.5,32,1,2.0956288148063025,2.105372114155767,0.010297962752809083,1.0,1.0
5.0,Octahedron,5.0,42,13,1.8679405681342853,2.009686377486559,0.10404456043914098,0.8666666666666666,0.9130434782608695
5.0,Octahedron,4.0,2,1,1.855790182294749,2.09435906488377,0.1353031272931649,1.0,0.043478260869565216
5.0,Octahedron,4.67,2,1,1.856143487453739,1.9721817870529414,0.058019149799601225,0.2,0.043478260869565216
5.0,"Octahedron, Square pyramid",3.5,204,10,2.0684969616115922,2.13808546999277,0.056410518469909875,1.0,0.6144578313253012
