CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,Octahedron,20,2,1.838298257032306,1.838298257032306,0.0,0.4,0.3333333333333333
1.0,"Octahedron, Trigonal prism",20,1,2.2687916092086877,2.2687916092086877,0.0,1.0,0.3333333333333333
1.0,"Pentagonal bipyramid, Angular",8,1,2.089562232100782,2.089562232100782,0.0,1.0,0.13333333333333333
1.0,Square pyramid,8,1,2.0530304276577658,2.0530304276577658,0.0,1.0,0.13333333333333333
1.0,"Octahedron, Pentagonal bipyramid",4,1,1.7586245949803867,1.7586245949803867,0.0,0.0,0.06666666666666667
2.0,Octahedron,8,4,2.0359062948173707,2.130328336136148,0.0944220413187771,1.0,0.5
2.0,"Octahedron, Pentagonal bipyramid",4,1,1.7863026135602291,1.848978951713739,0.06267633815350984,0.5,0.25
2.0,Square pyramid,4,1,2.0931071467549653,2.096476730113025,0.003369583358059647,1.0,0.25
3.0,Octahedron,13,4,1.941989410257933,2.0196096873462546,0.05697632905194488,1.0,0.3611111111111111
3.0,"Octahedron, Square pyramid",12,3,1.8128017852415492,1.9235850377773194,0.08562340501602661,1.0,0.3333333333333333
3.0,Square-face capped trigonal prism,7,1,2.0335413304641112,2.1138703605404947,0.06776907747560486,1.0,0.19444444444444445
3.0,"Octahedron, Pentagonal bipyramid",4,1,1.7870811362105017,1.9136997046692101,0.09492622841928477,0.6666666666666666,0.1111111111111111
4.0,"Square pyramid, Square plane",122,9,2.0885352439898304,2.105834395893605,0.013596059730229931,1.0,0.3885350318471338
4.0,Tetrahedron,58,10,1.8720632981606646,1.8908647333614,0.01712072038285254,0.9439655172413793,0.18471337579617833
4.0,"Octahedron, Square pyramid, Square plane",33,8,2.1068212785083644,2.1247709380460433,0.01921360454473595,1.0,0.10509554140127389
4.0,no_data,32,1,2.0956288148063025,2.105372114155767,0.010297962752809083,1.0,0.10191082802547771
4.0,"Octahedron, Square non-coplanar",20,2,2.048316615894572,2.050772732090201,0.0024561161956289613,1.0,0.06369426751592357
4.0,Octahedron,18,6,1.8903462281566286,2.0332104199373173,0.11696119191518278,1.0,0.05732484076433121
4.0,"Square pyramid, See-saw",8,1,2.160832522257823,2.179618648419866,0.012396410073826053,1.0,0.025477707006369428
4.0,"Octahedron, Tetrahedron",7,3,1.8617119328306833,1.879203959544569,0.01829377060960611,0.5714285714285714,0.022292993630573247
4.0,"Octahedron, Square pyramid",6,3,1.8689990600832627,2.0230895607957318,0.1540905007164462,1.0,0.01910828025477707
4.0,Square pyramid,4,1,1.9283989284852554,1.9906594768368162,0.08209048423263014,1.0,0.012738853503184714
4.0,Trigonal prism,4,1,1.9344576665411455,1.990862948434636,0.07093942865179868,1.0,0.012738853503184714
4.0,"Octahedron, Square pyramid, Tetrahedron",1,1,1.8633065045154047,1.8720003629289201,0.008693858413514222,1.0,0.0031847133757961785
4.0,Square-face capped trigonal prism,1,1,1.97757514636892,2.1417443510656136,0.10743328278871123,1.0,0.0031847133757961785
5.0,"Octahedron, Square pyramid",332,20,2.0557124812937198,2.1274962362115275,0.05718372835743281,1.0,0.5865724381625441
5.0,Square pyramid,54,16,1.9583622461790178,2.0551272829308087,0.06293972006149727,0.9153846153846155,0.09540636042402827
