CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,5.0,32,4,1.8911550430429351,1.8911550430429351,0.0,0.5333333333333333
1.0,3.5,20,1,2.2687916092086877,2.2687916092086877,0.0,0.3333333333333333
1.0,2.5,8,1,2.0530304276577658,2.0530304276577658,0.0,0.13333333333333333
2.0,5.0,8,4,1.9247230261653459,2.0504832365608774,0.1257602103955318,0.5
2.0,2.5,4,1,2.0931071467549653,2.096476730113025,0.003369583358059647,0.25
2.0,4.5,4,1,2.008669150864279,2.0086691508642796,4.4357322175972823e-16,0.25
3.0,5.0,28,8,1.8746032075523043,1.9784064528219936,0.08098896155171074,0.7777777777777778
3.0,3.5,8,1,1.9867134753597486,2.0493071315342037,0.04432133380325938,0.2222222222222222
4.0,2.5,146,10,2.0990997309146935,2.1106230460651165,0.010694154632611315,0.46496815286624205
4.0,5.0,71,24,1.8835568475925963,1.9461189833481016,0.06058367594676904,0.22611464968152867
4.0,2.6666666666666665,26,5,2.066984247519087,2.109147243716026,0.028159598907376297,0.08280254777070063
4.0,4.5,24,1,1.8687587943141215,1.8814537939341924,0.008005716380226758,0.07643312101910828
4.0,2.75,23,4,2.1070883939286134,2.123882653598218,0.018607746860513107,0.0732484076433121
4.0,3.5,16,1,2.0521291616671493,2.0521291616671498,5.216774414253198e-16,0.050955414012738856
4.0,3.333333333333333,4,1,2.0330664328042634,2.0453470137824064,0.012280580978142719,0.012738853503184714
4.0,4.0,4,1,1.8903605197072282,2.0428506795909467,0.09639281065963842,0.012738853503184714
5.0,3.5,204,10,2.0684969616115922,2.13808546999277,0.056410518469909875,0.36042402826855124
5.0,5.0,108,38,1.8583348434719882,1.9878815485677728,0.08692260336081249,0.19081272084805653
5.0,3.6666666666666665,48,1,2.046670262512933,2.1158936742860504,0.05197644026092731,0.08480565371024736
5.0,3.0,44,3,2.0599134334287315,2.130797298633075,0.06412175271455495,0.07773851590106007
5.0,2.5,42,7,2.096948301834616,2.1203739947468945,0.024455638421215918,0.07420494699646643
5.0,2.75,34,4,2.1045818624181596,2.1236263611036534,0.03139187525330214,0.06007067137809187
5.0,3.38,24,2,2.0534394261042563,2.117961714648271,0.04166528431019237,0.04240282685512368
5.0,2.6666666666666665,22,5,2.063053444288682,2.1030398029898616,0.03278736238610603,0.038869257950530034
5.0,2.67,18,2,2.097996665290557,2.15266556650143,0.05296402812749652,0.03180212014134275
5.0,3.2,12,1,2.0753801958562526,2.13330576461435,0.06189506886466958,0.02120141342756184
5.0,4.0,8,2,2.0055021724237267,2.1169001903556635,0.07656128616286827,0.014134275618374558
5.0,4.67,2,1,1.856143487453739,1.9721817870529414,0.058019149799601225,0.0035335689045936395
6.0,5.0,6124,1055,1.9099554871700632,2.021936065492682,0.0873966318855361,0.8399396516252915
6.0,4.5,848,47,1.9286020047026295,2.033294067235893,0.07814095521011409,0.11630777671101358
6.0,3.5,152,13,1.9787445639084817,2.0610013933073867,0.064327805582996,0.020847620353860924
6.0,4.0,41,11,2.0011312829950136,2.0484806540533844,0.03771362387354038,0.005623371279659855
6.0,3.0,22,5,2.0918810079965966,2.12467892372481,0.02770841731276341,0.003017418735427239
6.0,3.333333333333333,16,1,1.9987233544261915,2.086478944683246,0.08104791551253099,0.002194486353037992
6.0,4.88,16,1,1.955183169965921,2.0295686095792846,0.07270802498977619,0.002194486353037992
6.0,3.42,12,1,2.1035777972373575,2.130909136959318,0.01759077335976435,0.001645864764778494
6.0,4.67,10,3,1.9159955179069776,2.0367360519445614,0.12116882043747193,0.001371553970648745
6.0,3.2,8,1,2.038667217673896,2.089924364399294,0.0513869964420738,0.001097243176518996
6.0,3.38,8,2,1.9837929352326273,2.032196408993907,0.03232181298680928,0.001097243176518996
6.0,4.29,7,1,2.008491786080917,2.0251304344157566,0.010173275664976252,0.0009600877794541216
6.0,2.75,5,4,1.9916783209519537,2.0584915781095368,0.04261289183933331,0.0006857769853243725
6.0,3.6666666666666665,4,1,1.9532508125699959,2.041346293075221,0.060000311905037615,0.000548621588259498
6.0,4.25,4,1,2.018634439106731,2.0412560372617268,0.0226206548886284,0.000548621588259498
6.0,4.91,4,1,1.9639742056730516,2.0224412118125397,0.058466927824434044,0.000548621588259498
6.0,7.0,4,1,1.7778735589864603,2.015798530068895,0.12231329307847766,0.000548621588259498
6.0,2.6666666666666665,3,3,1.972029939841125,2.056309840763312,0.0595362016252812,0.0004114661911946235
6.0,2.0,2,2,1.9919712322634995,2.015747297227245,0.01721872887945603,0.000274310794129749
6.0,2.5,1,1,2.0056658117591635,2.0479270421170335,0.02988320256733598,0.0001371553970648745
7.0,5.0,129,21,1.9285096560414474,2.101743936451058,0.16494112823085044,0.8657718120805369
7.0,4.91,18,1,1.9476451233090448,2.099460891909493,0.17178958715291262,0.12080536912751678
7.0,4.0,2,1,1.762397643591224,2.1219797868053165,0.15085188398150073,0.013422818791946308
8.0,5.0,10,5,2.0826217603853867,2.1099853498583707,0.022342465922188474,1.0
9.0,4.5,2,1,2.0849391949110743,2.2279378323729393,0.15223359430242506,1.0
