material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ni_wyckoff,num_Ni_chemenvs,CN,element,charge_range,is_single_charge
mp-1038314,Mg30AlNiO32,0.4153644428978875,1.0240390650945987,[6.0],1.0,1.0,1.0,Octahedron,1b,1,6.0,Ni,0.0,True
mp-1040914,CaNi2(PO4)2,1.6764105960193032,0.4283958219748646,"[4.0, 5.0, 6.0]",2.0,2.0,2.0,"Square pyramid, Octahedron, Trigonal prism","4f, 2c, 2e",3,4.0,Ni,0.0,True
mp-1040914,CaNi2(PO4)2,1.6764105960193032,0.4283958219748646,"[4.0, 5.0, 6.0]",2.0,2.0,2.0,"Square pyramid, Octahedron, Trigonal prism","4f, 2c, 2e",3,5.0,Ni,0.0,True
mp-1040914,CaNi2(PO4)2,1.6764105960193032,0.4283958219748646,"[4.0, 5.0, 6.0]",2.0,2.0,2.0,"Square pyramid, Octahedron, Trigonal prism","4f, 2c, 2e",3,6.0,Ni,0.0,True
mp-1040979,Zn(NiO2)2,1.8966882210791725,0.1222867762578885,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron",1a,2,4.0,Ni,0.0,True
mp-1040979,Zn(NiO2)2,1.8966882210791725,0.1222867762578885,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron",1a,2,6.0,Ni,0.0,True
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,4.0,Ni,0.0,True
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","3d, 1a, 1b",2,6.0,Ni,0.0,True
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,4.0,Ni,0.0,True
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2b, 1a",2,6.0,Ni,0.0,True
mp-1041663,Ca(NiO2)2,1.209645511979027,1.4822643423179336,[6.0],3.0,3.0,3.0,Octahedron,8e,1,6.0,Ni,0.0,True
mp-1041887,MgSi2NiO6,1.553978361349889,0.5820845835077568,[5.0],2.0,2.0,2.0,Octahedron,8c,1,5.0,Ni,0.0,True
