material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-1040914,CaNi2(PO4)2,3,"[4, 5, 6]",1.6764105960193032,0.42839582197486453,"Square pyramid, Octahedron, Trigonal prism",2.0,2.0,2.0
mp-1194971,Ni5Se4(ClO6)2,3,"[4, 5, 6]",1.9976936634845284,0.0863357831705281,Octahedron,2.0,2.0,2.0
mp-26922,Ni5(PO4)4,3,"[5, 6]",1.937229306298956,0.1302718971887058,"Octahedron, Trigonal bipyramid",2.333333333333333,2.0,3.0
mp-530428,Sr9(NiO3)7,3,"[4, 6]",1.7779499806061712,0.3115976443899912,"Octahedron, Trigonal prism, Square plane",3.3333333333333335,3.0,4.0
mp-555343,Ni5Se4(BrO6)2,3,"[4, 5]",2.026881207926836,0.045259243121981506,"Square pyramid, Octahedron",2.0,2.0,2.0
mp-754449,Li5Cu2Ni5O12,3,[6],1.9191038496229755,0.1302707837542687,Octahedron,2.6666666666666665,2.0,3.0
mp-754507,Ni6OF11,3,"[0, 1]",1.926727802399056,0.0692650470153892,Octahedron,2.333333333333333,2.0,3.0
mp-755301,Ni6OF11,3,"[0, 1, 2]",2.011012302335691,-0.1285304117876748,Octahedron,2.333333333333333,2.0,3.0
mp-759105,Ni6OF11,3,"[0, 1, 2]",1.935953306356473,0.1200808209696864,Octahedron,2.333333333333333,2.0,3.0
mp-759670,Ni6OF11,3,"[0, 1, 2]",1.9529513391453583,0.0395138833146144,Octahedron,2.333333333333333,2.0,3.0
mp-764733,Li5Ni5O9F,3,"[5, 6]",1.8144566186586626,0.2207968708676591,Octahedron,2.6666666666666665,2.0,3.0
mp-765602,Na5Ni9O16,3,[6],1.8794902831009825,0.1640309022895552,Octahedron,2.6666666666666665,2.0,3.0
mp-778386,Ni7(P2O7)4,3,"[5, 6]",1.865429595241246,0.2381671833625697,Octahedron,2.333333333333333,2.0,3.0
mp-849377,Ni6OF11,3,"[0, 1]",1.96872754980575,-0.0056671960874209,Octahedron,2.333333333333333,2.0,3.0
mp-850285,Ni6OF11,3,"[0, 1]",1.963015403272525,-0.0058570349434101,Octahedron,2.333333333333333,2.0,3.0
mp-850936,Ni6OF11,3,"[0, 1]",2.0385716748272253,-0.1940278380960844,Octahedron,2.333333333333333,2.0,3.0
mp-886210,Li5Ni6(P2O7)4,3,"[5, 6]",2.1459705622741168,-0.0107403551602614,"Square pyramid, Octahedron",1.6666666666666667,1.0,2.0
mp-1040979,Zn(NiO2)2,2,"[4, 6]",1.8966882210791725,0.1222867762578885,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-1041000,Mg(NiO2)2,2,"[4, 6]",1.7456834190858808,0.3591169279534734,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-1041166,Mg(NiO2)2,2,"[4, 6]",1.8582403830328864,0.1928485085051763,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-1043722,Ca(Ni2O3)2,2,[6],1.9061324731050728,0.1625965762782111,Octahedron,2.5,2.0,3.0
mp-1044564,Al4Si2Ni13(SbO14)2,2,"[5, 6]",1.5983772691566438,0.5037501384463873,"Octahedron, Trigonal bipyramid",2.0,2.0,2.0
mp-1045516,Li(NiO2)2,2,[6],1.6851780502163378,0.4698559816566332,Octahedron,3.5,3.0,4.0
