CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
0.0,2,1,1.0,2.0
3.0,2,2,1.0,2.0
4.0,2,36,0.782608695652174,1.565217391304348
4.0,3,8,0.17391304347826086,0.5217391304347826
4.0,4,2,0.043478260869565216,0.17391304347826086
5.0,2,65,0.8666666666666667,1.7333333333333334
5.0,3,10,0.13333333333333333,0.4
6.0,1,2,0.003115264797507788,0.003115264797507788
6.0,2,497,0.7741433021806854,1.5482866043613708
6.0,3,131,0.20404984423676012,0.6121495327102804
6.0,4,12,0.018691588785046728,0.07476635514018691
8.0,2,2,1.0,2.0
