CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Octahedron,2.333333333333333,27,7,1.961449891399537,1.961449891399537,0.0,1.0,1.0
2.0,Octahedron,2.333333333333333,3,3,1.9702231422710188,1.970223142271019,2.003661519061467e-16,1.0,1.0
3.0,Octahedron,2.0,1,1,2.0241738781183773,2.0398559775562837,0.022177837711570305,1.0,1.0
3.0,Trigonal plane,2.0,8,1,1.8643008109835648,1.8655169808416145,0.001611289096012239,1.0,1.0
4.0,Octahedron,2.0,40,8,2.0329360637511034,2.055103237278078,0.020755758208393073,1.0,0.7142857142857143
4.0,Octahedron,2.5,16,1,1.9980493786872016,2.0440370150552116,0.045987636368009295,1.0,0.2857142857142857
4.0,"Octahedron, Trigonal prism, Square plane",3.333333333333333,1,1,,,,,1.0
4.0,Square plane,2.5,38,4,1.8601669261975233,1.8776542334204382,0.015471307971829239,1.0,0.8260869565217391
4.0,Square plane,2.0,4,3,1.9218684645376418,1.926204576158444,0.004335398294218759,1.0,0.08695652173913043
4.0,Square plane,3.0,4,1,1.8116494684302922,1.8615817641012098,0.03872700914311078,1.0,0.08695652173913043
4.0,"Square pyramid, Octahedron",2.0,2,1,2.037830061964858,2.0585305368743927,0.02069046918056349,1.0,1.0
4.0,"Square pyramid, Octahedron, Trigonal prism",2.0,1,1,,,,,1.0
4.0,Tetrahedron,2.0,34,11,1.9687057347742039,1.983875828592608,0.01205653552386602,1.0,0.4788732394366197
4.0,Tetrahedron,2.5,24,2,1.9381618469519257,1.9765590125454136,0.032306606508306156,1.0,0.3380281690140845
4.0,Tetrahedron,3.0,9,4,1.8395236556192753,1.8748331992042766,0.046459851642840666,1.0,0.1267605633802817
4.0,Tetrahedron,4.0,4,2,1.8282796368592873,1.8586878727391216,0.034868887985234895,1.0,0.056338028169014086
4.0,"Tetrahedron, Octahedron",2.0,10,8,1.9445028213467463,1.9610339976991198,0.01753942567463735,1.0,0.7142857142857143
4.0,"Tetrahedron, Octahedron",3.0,4,3,1.9011499139705974,1.9162651651722171,0.020252070816908357,1.0,0.2857142857142857
4.0,Trigonal bipyramid,2.0,2,2,,,,,1.0
4.0,"Trigonal bipyramid, Square plane",2.0,1,1,,,,,1.0
4.0,no_data,2.0,2,1,1.9393131646654624,1.9527948613513315,0.015183175868071462,1.0,1.0
5.0,"Face-capped octahedron, Octahedron, Trigonal prism",2.0,1,1,,,,,1.0
5.0,Octahedron,2.0,48,18,2.05091992706926,2.0903649232521606,0.033420947058103244,1.0,0.8571428571428571
5.0,Octahedron,2.6666666666666665,6,1,1.9279771027121881,1.9737680041746837,0.038856393468072986,1.0,0.10714285714285714
5.0,Octahedron,2.333333333333333,1,1,,,,,0.017857142857142856
5.0,Octahedron,3.0,1,1,1.9381679977260562,1.9536142367633929,0.03089247806746178,0.2,0.017857142857142856
5.0,"Octahedron, Trigonal bipyramid",2.0,16,9,1.9896632381046198,2.0510717054322716,0.07230443936882791,1.0,0.9411764705882353
5.0,"Octahedron, Trigonal bipyramid",2.333333333333333,1,1,,,,,0.058823529411764705
5.0,Square pyramid,2.0,29,16,1.9996049390627697,2.048335375701682,0.04380410390132053,1.0,0.5918367346938775
5.0,Square pyramid,3.0,20,8,1.9488539876553381,1.9846771794939198,0.03328950152819698,1.0,0.40816326530612246
5.0,"Square pyramid, Octahedron",2.0,24,6,2.010033743261776,2.0722908091781633,0.05825981518652917,1.0,0.96
5.0,"Square pyramid, Octahedron",1.6666666666666667,1,1,,,,,0.04
5.0,"Square pyramid, Octahedron, Trigonal prism",2.0,1,1,,,,,1.0
5.0,"Square pyramid, Trigonal bipyramid",2.0,12,1,1.935916007208012,2.040974353224754,0.06324073691551343,1.0,1.0
5.0,Trigonal bipyramid,2.0,12,9,2.0157557716183296,2.0597168121669838,0.03964466291016293,1.0,0.9230769230769231
5.0,Trigonal bipyramid,3.0,1,1,,,,,0.07692307692307693
5.0,"Trigonal bipyramid, Square plane",2.0,1,1,,,,,1.0
5.0,"Trigonal prism, Octahedron, Trigonal bipyramid",2.0,1,1,,,,,1.0
